Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
DDOT - Progressive Transportation Services Administration,Washington,DC,District of Columbia,345567,0,0,0,0,0,1185958,1115207
Duluth Transit Authority,Duluth,MN,St. Louis,354705,23419,0,0,0,0,0,480480
"Bergen County, dba: Bergen County Community Transportation",Hackensack,NJ,Bergen,0,52648,0,0,0,0,0,0
"University of Georgia, dba: University of Georgia Transit System",Athens,GA,Clarke,253780,4530,0,0,0,0,0,31094
"Rock Island County Metropolitan Mass Transit District, dba: MetroLink",Moline,IL,Rock Island,57586,39663,0,534802,0,0,0,285717
"Greater Lafayette Public Transportation Corporation, dba: CityBus",Lafayette,IN,Tippecanoe,89305,0,0,335196,0,0,0,0
SouthWest Transit,Eden Prairie,MN,Hennepin,137052,31263,0,0,0,0,0,0
Greater Bridgeport Transit Authority,Bridgeport,CT,Greater Bridgeport,476251,1275,0,0,0,0,0,0
"City of Shreveport, dba: Shreveport Area Transit System",Shreveport,LA,Caddo,0,146460,0,287786,0,0,0,265760
Tompkins Consolidated Area Transit,Ithaca,NY,Tompkins,305611,43870,0,0,0,0,0,0
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,Yuma,1441,81264,0,0,159470,0,0,0
"City of Wichita, dba: Wichita Transit",Wichita,KS,Sedgwick,281514,87397,0,0,0,0,0,185000
"Lakeland Bus Lines, Inc.",Dover,NJ,Morris,223164,0,0,0,0,0,0,0
Western Contra Costa Transit Authority,Pinole,CA,Contra Costa,394579,31980,0,0,0,0,0,0
"Senior Citizens United Community Services of Camden County, Inc.",Audubon,NJ,Camden,4238,60494,0,0,0,0,0,0
