MSA,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Shrubland,Woody Wetlands
"Beaumont-Port Arthur, TX",21169.0,211555.0,6346.0,88089.0,369693.0,189470.0,338096.0,986270.0,2267197.0,323164.0,502175.0,377153.0,1174694.0,276027.0,2083713.0
"Beckley, WV",25015.0,665.0,2671482.0,13018.0,103603.0,55079.0,134562.0,3896.0,175157.0,98767.0,176198.0,25567.0,132853.0,57648.0,3440.0
"Bellingham, WA",414387.0,181452.0,144916.0,24863.0,124163.0,63173.0,110139.0,79361.0,3390647.0,206421.0,269343.0,139782.0,317280.0,574122.0,100073.0
"Bend-Redmond, OR",122704.0,49814.0,1910.0,6588.0,121264.0,44763.0,172474.0,56089.0,3422651.0,321641.0,1493.0,69451.0,125453.0,4223149.0,38509.0
"Billings, MT",85735.0,1824465.0,18755.0,33988.0,98579.0,87491.0,133786.0,143969.0,1205935.0,4938471.0,1542.0,85503.0,411996.0,7683596.0,180292.0
"Binghamton, NY",9855.0,80292.0,1191259.0,19200.0,94015.0,52057.0,202290.0,20866.0,144490.0,13514.0,892728.0,39059.0,739108.0,13407.0,50805.0
"Birmingham-Hoover, AL",112073.0,64691.0,4409889.0,106916.0,652625.0,336540.0,1017888.0,33113.0,3261786.0,728565.0,1710591.0,241528.0,1760565.0,564997.0,450989.0
"Bismarck, ND",39233.0,4461522.0,166017.0,16082.0,98350.0,57351.0,345105.0,410606.0,1073.0,9042160.0,2126.0,348768.0,473236.0,161858.0,126966.0
"Blacksburg-Christiansburg-Radford, VA",3278.0,21719.0,1839285.0,18958.0,128343.0,61259.0,199542.0,2977.0,102815.0,52583.0,772639.0,39718.0,949502.0,38595.0,4713.0
"Bloomington, IL",2352.0,3808168.0,123433.0,26904.0,173426.0,88560.0,122188.0,752.0,592.0,5924.0,40939.0,36106.0,137304.0,601.0,12296.0
"Bloomington, IN",10607.0,265621.0,1341541.0,9826.0,46887.0,29222.0,133772.0,4176.0,5472.0,49945.0,100590.0,66171.0,224320.0,5662.0,5995.0
"Bloomsburg-Berwick, PA",5888.0,338488.0,629766.0,8057.0,47669.0,21718.0,114604.0,5171.0,27059.0,5631.0,226575.0,18001.0,327133.0,5322.0,10582.0
"Boise City, ID",29715.0,2038630.0,43299.0,37745.0,312459.0,166087.0,394190.0,164346.0,3416146.0,10548277.0,20161.0,152678.0,442719.0,16198255.0,82979.0
"Boston-Cambridge-Newton, MA-NH",72515.0,116301.0,1140283.0,534677.0,1129984.0,1238459.0,849151.0,280307.0,1101575.0,125591.0,1779072.0,457838.0,291041.0,64310.0,1381426.0
"Boulder, CO",36736.0,117504.0,17869.0,21705.0,101340.0,68799.0,86465.0,39621.0,865315.0,317632.0,1858.0,36591.0,72122.0,291226.0,31789.0
"Bowling Green, KY",5299.0,577847.0,1863166.0,14829.0,74360.0,40536.0,248821.0,9795.0,66659.0,35316.0,395955.0,53371.0,1283905.0,29228.0,17529.0
"Bremerton-Silverdale, WA",11293.0,52.0,63093.0,18234.0,140138.0,62300.0,126551.0,14105.0,441103.0,25153.0,133674.0,105512.0,18487.0,51195.0,38860.0
"Bridgeport-Stamford-Norwalk, CT",3587.0,1910.0,674867.0,71795.0,242243.0,179037.0,341906.0,11703.0,6751.0,7485.0,128084.0,78969.0,25682.0,3811.0,103793.0
"Brownsville-Harlingen, TX",84977.0,1145057.0,17694.0,49151.0,143834.0,125427.0,130063.0,412273.0,8632.0,138163.0,27899.0,261358.0,78805.0,206542.0,68149.0
"Brunswick, GA",19528.0,17162.0,2590.0,13862.0,76341.0,32562.0,169820.0,708917.0,1110801.0,125349.0,356.0,301097.0,59481.0,203925.0,1167078.0
"Buffalo-Cheektowaga-Niagara Falls, NY",20934.0,826231.0,921695.0,110225.0,365997.0,217036.0,386884.0,33364.0,68672.0,20474.0,305759.0,71099.0,676890.0,15373.0,523812.0
"Burlington, NC",1398.0,49777.0,390253.0,14896.0,81456.0,34102.0,127366.0,639.0,87174.0,17494.0,101267.0,20903.0,294090.0,24582.0,4128.0
"Burlington-South Burlington, VT",7426.0,161321.0,1154684.0,26831.0,130604.0,83548.0,129632.0,66967.0,300184.0,7695.0,493911.0,714652.0,761787.0,11012.0,282621.0
"California-Lexington Park, MD",1964.0,189085.0,144149.0,8218.0,44940.0,20994.0,105933.0,15391.0,63624.0,7710.0,257134.0,127405.0,35938.0,11545.0,122887.0
"Canton-Massillon, OH",6856.0,333017.0,888703.0,52571.0,217861.0,112227.0,262180.0,12537.0,17239.0,19461.0,106261.0,32444.0,701480.0,14594.0,41526.0
"Cape Coral-Fort Myers, FL",14187.0,66005.0,436.0,70029.0,438759.0,251943.0,380213.0,128834.0,29491.0,23987.0,5566.0,237522.0,134109.0,27654.0,748715.0
"Cape Girardeau, MO-IL",13239.0,882927.0,1753712.0,13158.0,91125.0,39966.0,145690.0,23139.0,6250.0,11854.0,26806.0,92020.0,932905.0,11959.0,157245.0
"Carbondale-Marion, IL",4397.0,740684.0,1068341.0,11488.0,120197.0,43040.0,141921.0,18554.0,6869.0,14432.0,54836.0,119915.0,490389.0,10273.0,166953.0
"Carson City, NV",193.0,200.0,128.0,9849.0,19245.0,21054.0,8299.0,3547.0,58140.0,16940.0,14.0,35239.0,1550.0,275310.0,2845.0
"Casper, WY",28434.0,57963.0,14622.0,8432.0,53972.0,37969.0,88785.0,98552.0,386701.0,2811293.0,7001.0,67696.0,63421.0,11691454.0,56864.0
"Cedar Rapids, IA",10582.0,3976421.0,384691.0,36702.0,207620.0,121837.0,181193.0,34591.0,4091.0,91695.0,72650.0,43313.0,516793.0,2773.0,128590.0
"Chambersburg-Waynesboro, PA",4161.0,596516.0,771679.0,17428.0,102728.0,38867.0,127565.0,6982.0,12686.0,8435.0,116063.0,4869.0,397563.0,2862.0,15754.0
"Champaign-Urbana, IL",1735.0,4850891.0,50617.0,27096.0,223339.0,92179.0,150176.0,800.0,332.0,2009.0,23242.0,8478.0,71019.0,136.0,35143.0
"Charleston, WV",40173.0,50.0,4070803.0,23444.0,107978.0,71758.0,171181.0,1216.0,34147.0,122457.0,238741.0,28879.0,67783.0,79303.0,1065.0
"Charleston-North Charleston, SC",34833.0,256225.0,50784.0,67393.0,339211.0,183768.0,424535.0,837556.0,2098195.0,146319.0,23699.0,709111.0,173250.0,203147.0,2594927.0
"Charlotte-Concord-Gastonia, NC-SC",32379.0,813447.0,2935257.0,212565.0,1120908.0,528658.0,1646869.0,11162.0,2039826.0,365296.0,1883957.0,297840.0,2480269.0,381054.0,147257.0
"Charlottesville, VA",4640.0,49327.0,2575231.0,12627.0,98239.0,39473.0,319966.0,5323.0,610231.0,325151.0,1175261.0,44391.0,952971.0,186387.0,51678.0
"Chattanooga, TN-GA",8936.0,45224.0,2985475.0,61768.0,292646.0,135305.0,473531.0,7951.0,402123.0,118415.0,474340.0,149562.0,877679.0,96280.0,23397.0
"Cheyenne, WY",4904.0,1071037.0,167.0,15902.0,51015.0,44941.0,124490.0,91240.0,66270.0,5782708.0,25.0,4451.0,56099.0,404263.0,15735.0
"Chicago-Naperville-Elgin, IL-IN-WI",97699.0,9555487.0,1417598.0,1045847.0,2874639.0,2220673.0,1313245.0,225475.0,15780.0,341029.0,91866.0,336229.0,795425.0,51255.0,640569.0
"Chico, CA",16488.0,1246632.0,52895.0,19478.0,82144.0,66779.0,160183.0,81548.0,958215.0,1299489.0,15545.0,67206.0,3986.0,728310.0,27441.0
"Cincinnati, OH-KY-IN",25122.0,1738336.0,3823943.0,209217.0,819788.0,475137.0,1065177.0,12557.0,233044.0,60236.0,978349.0,225184.0,2463991.0,36137.0,34354.0
"Clarksville, TN-KY",5998.0,1182603.0,2007607.0,28263.0,136889.0,74317.0,268563.0,9292.0,47285.0,53542.0,224122.0,134393.0,770519.0,32854.0,56087.0
"Cleveland, TN",3075.0,31462.0,613490.0,12971.0,72027.0,28923.0,145665.0,2929.0,317938.0,38200.0,495470.0,25076.0,398336.0,33887.0,7680.0
"Cleveland-Elyria, OH",15565.0,706741.0,1521491.0,190877.0,900152.0,492441.0,696642.0,17313.0,17285.0,44719.0,147403.0,47445.0,789322.0,10274.0,207700.0
"Coeur d'Alene, ID",5700.0,188220.0,4515.0,9361.0,102557.0,63091.0,96454.0,42488.0,2344960.0,108754.0,7802.0,197404.0,33424.0,511497.0,51601.0
"College Station-Bryan, TX",18644.0,492813.0,780675.0,36336.0,134810.0,119863.0,214390.0,28862.0,172357.0,55420.0,426169.0,86869.0,3168815.0,77259.0,325700.0
"Colorado Springs, CO",23596.0,33696.0,62229.0,55556.0,183784.0,169268.0,332752.0,74610.0,1619529.0,3885416.0,6075.0,13623.0,6186.0,1230391.0,40883.0
"Columbia, MO",5345.0,325844.0,682305.0,17638.0,78557.0,59623.0,79305.0,4781.0,12164.0,8060.0,77056.0,30671.0,576854.0,5637.0,24909.0
"Columbia, SC",40119.0,578494.0,480081.0,82686.0,516379.0,249936.0,653722.0,75210.0,3513026.0,791499.0,1019405.0,388037.0,720886.0,669526.0,1254446.0
"Columbus, GA-AL",21541.0,133236.0,1016477.0,37122.0,196193.0,94350.0,224771.0,13526.0,1704419.0,354573.0,726996.0,84408.0,327862.0,293730.0,410113.0
"Columbus, IN",1319.0,589915.0,301983.0,8434.0,39536.0,23142.0,63944.0,2134.0,759.0,4669.0,26175.0,14014.0,86940.0,3311.0,12233.0
"Columbus, OH",30088.0,5830486.0,3321509.0,222585.0,772553.0,551865.0,844383.0,19148.0,92569.0,50217.0,302681.0,130496.0,1717243.0,31099.0,40771.0
"Corpus Christi, TX",76172.0,2523577.0,96155.0,96720.0,166216.0,214482.0,187396.0,600260.0,34733.0,178814.0,68994.0,215264.0,382662.0,399876.0,138067.0
"Corvallis, OR",490.0,160052.0,24826.0,8490.0,49910.0,26070.0,89218.0,33111.0,803384.0,36085.0,261669.0,8100.0,331402.0,85694.0,33552.0
"Crestview-Fort Walton Beach-Destin, FL",52430.0,251674.0,8221.0,32276.0,172970.0,106126.0,306022.0,50747.0,2550402.0,385194.0,46647.0,436762.0,133320.0,560847.0,1072407.0
"Cumberland, MD-WV",7161.0,16595.0,1444194.0,8525.0,54784.0,27429.0,102051.0,2398.0,13252.0,31950.0,215449.0,16460.0,222603.0,13170.0,2306.0
"Dallas-Fort Worth-Arlington, TX",107969.0,1882804.0,2751256.0,1057906.0,2022758.0,2285353.0,1660487.0,135040.0,509581.0,9731758.0,144006.0,991446.0,3725765.0,337277.0,386767.0
"Dalton, GA",3409.0,21028.0,496159.0,23021.0,79159.0,34996.0,156670.0,5891.0,260638.0,52084.0,323821.0,14826.0,303780.0,45828.0,13855.0
"Danville, IL",3948.0,2037455.0,211580.0,10019.0,92303.0,28637.0,89711.0,3430.0,261.0,8854.0,13253.0,14882.0,60674.0,589.0,18003.0
"Daphne-Fairhope-Foley, AL",27496.0,427992.0,3137.0,17947.0,133394.0,70530.0,231466.0,135262.0,1519165.0,187772.0,52830.0,238736.0,286011.0,231769.0,1272647.0
"Davenport-Moline-Rock Island, IA-IL",8895.0,4556770.0,426954.0,65484.0,292368.0,178005.0,190405.0,44467.0,2530.0,26624.0,183602.0,138154.0,403481.0,2440.0,138156.0
"Dayton, OH",11028.0,1877265.0,428331.0,74968.0,377981.0,230540.0,375209.0,11713.0,8080.0,18586.0,17502.0,27639.0,246627.0,1039.0,6832.0
"Decatur, AL",6559.0,387096.0,1063164.0,19939.0,115241.0,51636.0,181623.0,27038.0,212485.0,44508.0,175347.0,119655.0,1024788.0,43301.0,314870.0
"Decatur, IL",759.0,1288753.0,55407.0,21398.0,106688.0,49357.0,64469.0,1269.0,99.0,2471.0,15029.0,17473.0,47135.0,306.0,15058.0
"Deltona-Daytona Beach-Ormond Beach, FL",18289.0,26484.0,4261.0,38903.0,314393.0,155799.0,391701.0,365298.0,1265602.0,76834.0,13081.0,487927.0,253066.0,155930.0,1536311.0
"Denver-Aurora-Lakewood, CO",81144.0,3210865.0,412605.0,264023.0,706959.0,667765.0,868945.0,404665.0,4842949.0,9563717.0,42379.0,121176.0,46824.0,2734487.0,189498.0
"Des Moines-West Des Moines, IA",19612.0,4368685.0,793544.0,68692.0,361980.0,228627.0,332131.0,88866.0,9191.0,76085.0,148732.0,103282.0,1607362.0,10655.0,161980.0
"Detroit-Warren-Dearborn, MI",40886.0,2176919.0,1796454.0,588207.0,1296527.0,1373833.0,1246369.0,111433.0,46531.0,63413.0,190559.0,344172.0,872557.0,12771.0,1410220.0
"Dothan, AL",3712.0,1328650.0,55390.0,15557.0,129704.0,46257.0,209985.0,30010.0,1238763.0,134699.0,320475.0,47386.0,429147.0,262128.0,723490.0
"Dover, DE",1808.0,772801.0,70453.0,16921.0,76318.0,44907.0,121000.0,167962.0,8153.0,1275.0,21417.0,37613.0,6171.0,2609.0,371393.0
"Dubuque, IA",5666.0,907444.0,252000.0,13785.0,65780.0,42564.0,58629.0,4105.0,3911.0,29014.0,51893.0,23056.0,307825.0,2192.0,6360.0
"Duluth, MN-WI",197461.0,37371.0,4407194.0,53127.0,256075.0,150983.0,466604.0,865640.0,1534397.0,304851.0,5054914.0,1607734.0,715763.0,492499.0,9638579.0
"Durham-Chapel Hill, NC",8637.0,131403.0,1477320.0,33657.0,183184.0,113185.0,472435.0,9971.0,800094.0,106329.0,765936.0,158642.0,723271.0,135408.0,95165.0
"East Stroudsburg, PA",3871.0,22864.0,932982.0,11056.0,63330.0,25737.0,223591.0,5706.0,49686.0,10164.0,175230.0,23516.0,70881.0,9402.0,147688.0
"Eau Claire, WI",4772.0,1806589.0,1209589.0,18151.0,111026.0,55582.0,196725.0,124586.0,77479.0,43916.0,200582.0,108621.0,233719.0,23937.0,638184.0
"El Centro, CA",4309088.0,2088398.0,78.0,18886.0,172614.0,99799.0,124700.0,56117.0,116.0,595565.0,51.0,795724.0,143615.0,4406456.0,82794.0
"El Paso, TX",178555.0,428859.0,110.0,105581.0,172575.0,254411.0,137161.0,4035.0,32888.0,4348676.0,6.0,7186.0,97.0,10375810.0,30458.0
"Elizabethtown-Fort Knox, KY",11077.0,671139.0,1228690.0,15323.0,64465.0,41367.0,191403.0,1858.0,50187.0,21170.0,245851.0,60237.0,852720.0,18160.0,31964.0
"Elkhart-Goshen, IN",4070.0,631321.0,65413.0,48643.0,124965.0,80691.0,108019.0,7394.0,4463.0,3557.0,2579.0,11893.0,138296.0,1183.0,113926.0
"Elmira, NY",2649.0,37178.0,468919.0,8209.0,42508.0,20428.0,69643.0,8417.0,22945.0,4065.0,238182.0,7505.0,232405.0,3915.0,15193.0
"Enid, OK",1383.0,1736114.0,66056.0,12377.0,49819.0,37449.0,110297.0,2441.0,7744.0,999548.0,672.0,13455.0,11215.0,751.0,1355.0
"Erie, PA",4200.0,272677.0,854582.0,26727.0,131656.0,69006.0,141338.0,22162.0,53089.0,8000.0,119273.0,26863.0,406300.0,5900.0,188362.0
"Eugene, OR",102224.0,94350.0,59053.0,47677.0,137940.0,115023.0,261410.0,113355.0,8907138.0,875476.0,854595.0,171824.0,737511.0,713414.0,102911.0
"Evansville, IN-KY",10352.0,2199018.0,728880.0,36414.0,149122.0,94700.0,227800.0,32232.0,14197.0,18706.0,116592.0,164339.0,330389.0,27125.0,204345.0
"Fargo, ND-MN",9557.0,6755056.0,85311.0,41410.0,160833.0,102807.0,267937.0,253198.0,3718.0,51847.0,3060.0,71921.0,213019.0,743.0,96512.0
"Farmington, NM",77364.0,330545.0,8707.0,13800.0,109870.0,55357.0,111051.0,61429.0,1088265.0,2042795.0,585.0,49526.0,125413.0,11791867.0,71263.0
"Fayetteville, NC",46391.0,549154.0,34029.0,30277.0,213230.0,104846.0,218704.0,36488.0,838093.0,97582.0,20317.0,21648.0,24269.0,136479.0,650411.0
"Fayetteville-Springdale-Rogers, AR-MO",20196.0,5526.0,4668040.0,54123.0,231853.0,164581.0,495655.0,2632.0,59608.0,103321.0,242695.0,133314.0,2954213.0,95142.0,15779.0
"Flagstaff, AZ",1026510.0,45.0,21772.0,18404.0,106049.0,71997.0,271566.0,50963.0,12072195.0,6946339.0,2113.0,63264.0,500.0,32939359.0,111572.0
"Flint, MI",3108.0,479366.0,297795.0,51910.0,223889.0,122822.0,222513.0,11871.0,6882.0,12272.0,34100.0,34095.0,187308.0,1808.0,179607.0
"Florence, SC",1513.0,1179865.0,20717.0,22497.0,140187.0,58278.0,237339.0,90445.0,564452.0,90542.0,14178.0,34568.0,20192.0,119700.0,1349708.0
"Florence-Muscle Shoals, AL",7191.0,457001.0,1208234.0,16126.0,110415.0,43755.0,190874.0,14393.0,243898.0,56631.0,163837.0,228693.0,861445.0,104405.0,158576.0
"Fond du Lac, WI",7922.0,1222578.0,72083.0,13784.0,91989.0,40488.0,60291.0,214486.0,7048.0,2191.0,8967.0,122744.0,176894.0,1792.0,160711.0
"Fort Collins, CO",32247.0,249852.0,49786.0,26919.0,136141.0,99414.0,181505.0,86015.0,2543400.0,2068453.0,5118.0,103689.0,69774.0,1772115.0,116533.0
"Fort Smith, AR-OK",20910.0,285826.0,3001059.0,33632.0,213774.0,98254.0,317854.0,52181.0,1318905.0,301981.0,1211292.0,244804.0,2533109.0,196010.0,164339.0
"Fort Wayne, IN",10042.0,2610723.0,308560.0,64215.0,226346.0,173223.0,207125.0,18853.0,4615.0,13804.0,5425.0,34567.0,177827.0,3261.0,78587.0
"Fresno, CA",563024.0,5835205.0,10174.0,115621.0,275628.0,336751.0,311698.0,81006.0,2769247.0,3779063.0,100516.0,140326.0,48479.0,2881488.0,23173.0
"Gadsden, AL",3712.0,39795.0,483350.0,13429.0,91756.0,32382.0,128802.0,4473.0,137444.0,40057.0,171419.0,41629.0,316561.0,43875.0,30380.0
"Gainesville, FL",7197.0,178844.0,13574.0,11369.0,104342.0,48505.0,216910.0,103173.0,1358224.0,128520.0,7027.0,129023.0,772511.0,195038.0,535929.0
"Gainesville, GA",4478.0,855.0,472303.0,20401.0,105580.0,52793.0,139275.0,546.0,52818.0,24927.0,77699.0,99404.0,167831.0,10521.0,6017.0
"Gettysburg, PA",4716.0,363614.0,364632.0,7081.0,62345.0,24101.0,108829.0,3835.0,24736.0,7398.0,117042.0,6450.0,358357.0,9378.0,38355.0
"Glens Falls, NY",10263.0,184627.0,1767323.0,13610.0,98631.0,50437.0,152439.0,51714.0,1109554.0,31703.0,588489.0,215849.0,521754.0,26458.0,292319.0
"Goldsboro, NC",1990.0,675574.0,12556.0,9879.0,68370.0,27622.0,121051.0,18015.0,162654.0,33488.0,51198.0,16674.0,27266.0,38657.0,340006.0
"Grand Forks, ND-MN",7273.0,7578547.0,223851.0,17112.0,131219.0,58882.0,290824.0,498224.0,9983.0,98438.0,23273.0,125665.0,611769.0,2691.0,213843.0
"Grand Island, NE",6440.0,4053503.0,39234.0,19218.0,115179.0,57669.0,172960.0,137977.0,5501.0,1345339.0,683.0,70627.0,53931.0,765.0,163654.0
"Grand Junction, CO",18856.0,353610.0,1629436.0,22298.0,92859.0,72059.0,81938.0,28920.0,2979878.0,357111.0,100582.0,38579.0,26764.0,3697440.0,114949.0
"Grand Rapids-Wyoming, MI",25058.0,2936797.0,1392670.0,139349.0,546299.0,340229.0,519208.0,64049.0,104581.0,75948.0,160422.0,174588.0,277504.0,10761.0,1137460.0
"Grants Pass, OR",3178.0,999.0,1870.0,9542.0,53405.0,24648.0,224208.0,26738.0,2547680.0,414905.0,81072.0,7753.0,119571.0,1175023.0,31505.0
"Great Falls, MT",5423.0,1592690.0,3336.0,9919.0,66206.0,42089.0,79137.0,74768.0,1373785.0,2306744.0,25636.0,41114.0,126377.0,2009792.0,46219.0
"Greeley, CO",22491.0,2994294.0,2054.0,34056.0,142889.0,116648.0,283325.0,135178.0,309.0,7317020.0,563.0,102415.0,208135.0,177426.0,24030.0
"Green Bay, WI",15498.0,2155549.0,743273.0,43948.0,221494.0,117045.0,232106.0,81173.0,74538.0,27529.0,158281.0,76915.0,238788.0,11043.0,1263774.0
"Greensboro-High Point, NC",5848.0,196729.0,2082571.0,78348.0,377345.0,176388.0,591581.0,4285.0,359735.0,114681.0,490301.0,80867.0,1042376.0,162307.0,50679.0
"Greenville, NC",1880.0,707240.0,18154.0,13163.0,70797.0,36994.0,120573.0,34630.0,269054.0,46814.0,50106.0,17148.0,5579.0,51154.0,443201.0
"Greenville-Anderson-Mauldin, SC",16002.0,19805.0,2325228.0,92631.0,483857.0,216351.0,827386.0,9933.0,1023166.0,230692.0,892551.0,214682.0,1374504.0,179320.0,114333.0
"Gulfport-Biloxi-Pascagoula, MS",39688.0,13957.0,4123.0,39353.0,271418.0,127291.0,329372.0,365094.0,1411389.0,120684.0,33312.0,159106.0,245850.0,268463.0,1814644.0
"Hagerstown-Martinsburg, MD-WV",6261.0,281309.0,788020.0,22550.0,132137.0,59386.0,167454.0,4779.0,16930.0,13515.0,187416.0,33267.0,543614.0,5465.0,8617.0
"Hammond, LA",15130.0,3740.0,2156.0,11258.0,77344.0,36865.0,137959.0,111421.0,672646.0,46777.0,22792.0,154799.0,390820.0,104802.0,640300.0
"Hanford-Corcoran, CA",13858.0,2936703.0,6.0,25565.0,67652.0,81389.0,88686.0,24315.0,204.0,692433.0,423.0,25955.0,15006.0,32035.0,288.0
"Harrisburg-Carlisle, PA",7648.0,799302.0,1972567.0,67170.0,275005.0,141393.0,334632.0,9452.0,38826.0,18082.0,318869.0,116101.0,643643.0,14419.0,31789.0
"Harrisonburg, VA",3097.0,196873.0,996604.0,13386.0,76018.0,34352.0,125995.0,340.0,57617.0,10217.0,358091.0,7316.0,618939.0,8482.0,494.0
"Hartford-West Hartford-East Hartford, CT",16571.0,109919.0,1755281.0,97951.0,427712.0,325931.0,474997.0,34802.0,68824.0,31365.0,463252.0,110722.0,146110.0,20806.0,385908.0
"Hattiesburg, MS",21297.0,22867.0,10245.0,18253.0,125178.0,55758.0,202936.0,35979.0,1989702.0,165954.0,428307.0,48668.0,396004.0,245850.0,895847.0
"Hickory-Lenoir-Morganton, NC",4766.0,92110.0,1500570.0,31971.0,250050.0,71661.0,460466.0,1757.0,338935.0,72647.0,1080175.0,76571.0,715766.0,88788.0,15214.0
"Hilton Head Island-Bluffton-Beaufort, SC",17621.0,69734.0,26852.0,10703.0,102907.0,51111.0,220432.0,799853.0,834610.0,79370.0,79954.0,506543.0,39737.0,90557.0,1041770.0
"Hinesville, GA",19389.0,14195.0,2239.0,8147.0,47801.0,25960.0,104495.0,229682.0,907751.0,107201.0,10930.0,89824.0,40053.0,132443.0,980258.0
"Homosassa Springs, FL",8603.0,1414.0,2250.0,8934.0,165924.0,39042.0,254377.0,212843.0,455012.0,24000.0,5424.0,137348.0,169304.0,29862.0,385898.0
"Hot Springs, AR",8058.0,0.0,533880.0,13548.0,65666.0,37468.0,128902.0,1119.0,498043.0,56550.0,390692.0,162194.0,146391.0,70296.0,1559.0
"Houma-Thibodaux, LA",12156.0,279332.0,1561.0,37379.0,177717.0,88482.0,61574.0,3811395.0,1271.0,19691.0,13204.0,1988458.0,273334.0,4840.0,1077504.0
"Houston-The Woodlands-Sugar Land, TX",162976.0,1920931.0,364201.0,1104400.0,1823422.0,2218453.0,1574698.0,1608138.0,1685484.0,556875.0,1056079.0,871176.0,6443164.0,350934.0,3007637.0
"Huntington-Ashland, WV-KY-OH",15603.0,22496.0,5552945.0,42894.0,255991.0,125940.0,333843.0,3305.0,27826.0,71271.0,264197.0,90029.0,509893.0,53216.0,6292.0
"Huntsville, AL",8281.0,825005.0,884179.0,42724.0,279038.0,144303.0,302986.0,21961.0,91962.0,32987.0,92410.0,131541.0,895684.0,25944.0,307340.0
"Idaho Falls, ID",128476.0,2642258.0,161379.0,14130.0,108423.0,70860.0,126363.0,154814.0,1802376.0,1351172.0,4532.0,137252.0,37894.0,8232707.0,120671.0
"Indianapolis-Carmel-Anderson, IN",28716.0,6357956.0,2325860.0,233867.0,902591.0,624055.0,904766.0,23158.0,10450.0,66760.0,124130.0,116667.0,703501.0,7254.0,61642.0
"Iowa City, IA",6962.0,2053827.0,258763.0,18134.0,128157.0,69876.0,85731.0,59260.0,2239.0,112068.0,52309.0,43710.0,447602.0,2014.0,95058.0
"Ithaca, NY",2374.0,143456.0,395649.0,5393.0,42277.0,16799.0,74254.0,9908.0,33696.0,4151.0,228388.0,44884.0,338002.0,9122.0,66111.0
"Jackson, MI",2385.0,672277.0,295775.0,16329.0,100073.0,38858.0,129381.0,44761.0,9949.0,5040.0,30103.0,43725.0,174083.0,1524.0,517725.0
"Jackson, MS",27141.0,1114851.0,1793690.0,60210.0,372606.0,206730.0,581213.0,109520.0,2351109.0,248551.0,2019243.0,267529.0,2237792.0,427815.0,1792516.0
"Jackson, TN",1881.0,1099393.0,696759.0,16141.0,78869.0,36418.0,152868.0,7283.0,80159.0,24841.0,302157.0,15639.0,367948.0,36292.0,278421.0
"Jacksonville, FL",65903.0,92877.0,36763.0,136723.0,647418.0,389404.0,770857.0,420714.0,3171608.0,314782.0,51808.0,617097.0,316636.0,490237.0,2334352.0
"Jacksonville, NC",14654.0,256378.0,4305.0,13113.0,103165.0,51872.0,117330.0,85976.0,576241.0,79883.0,85375.0,139509.0,9069.0,92505.0,678056.0
"Janesville-Beloit, WI",8285.0,1370067.0,163752.0,19009.0,107473.0,45541.0,90341.0,51881.0,4632.0,8606.0,13559.0,18351.0,136952.0,4240.0,46895.0
"Jefferson City, MO",10001.0,781710.0,2416451.0,16541.0,124908.0,62538.0,235075.0,15599.0,51982.0,31619.0,408174.0,96330.0,2203295.0,27000.0,75921.0
"Johnson City, TN",2761.0,11254.0,984589.0,14291.0,102183.0,41983.0,197175.0,182.0,25896.0,8148.0,503064.0,24680.0,557021.0,10654.0,1951.0
"Johnstown, PA",11137.0,98579.0,932990.0,8901.0,67498.0,27274.0,125837.0,1046.0,96748.0,43775.0,333752.0,14784.0,213782.0,13881.0,5608.0
"Jonesboro, AR",5937.0,3140090.0,141480.0,15670.0,94514.0,59020.0,147933.0,13962.0,5021.0,5269.0,61594.0,52486.0,134818.0,2651.0,368066.0
"Joplin, MO",14624.0,446560.0,918844.0,25357.0,129174.0,67541.0,178700.0,1753.0,602.0,17372.0,14690.0,12901.0,1771941.0,20323.0,28767.0
"Kalamazoo-Portage, MI",7476.0,1357624.0,646332.0,35167.0,197973.0,96279.0,220547.0,34098.0,25542.0,22599.0,52743.0,77848.0,70439.0,3774.0,614817.0
"Kankakee, IL",4795.0,1583821.0,67422.0,14749.0,105126.0,43130.0,47523.0,3470.0,397.0,14400.0,8176.0,13519.0,33950.0,1482.0,18511.0
"Kansas City, MO-KS",50421.0,5561713.0,3497181.0,243387.0,1319736.0,621116.0,1023848.0,94468.0,2817.0,82900.0,138350.0,339496.0,7788555.0,37993.0,416492.0
"Kennewick-Richland, WA",3811.0,3613745.0,401.0,25354.0,189535.0,164249.0,154261.0,29347.0,421.0,1929110.0,61.0,246285.0,56548.0,2276036.0,16791.0
"Killeen-Temple, TX",28595.0,793148.0,321778.0,55584.0,193975.0,156641.0,289389.0,6329.0,1159032.0,2853353.0,15855.0,105600.0,288538.0,1827305.0,130621.0
"Kingsport-Bristol-Bristol, TN-VA",8983.0,12092.0,3084404.0,32674.0,209457.0,87551.0,370324.0,3613.0,64452.0,76969.0,321239.0,84683.0,1484942.0,41397.0,9329.0
"Kingston, NY",6382.0,32299.0,1607866.0,11593.0,73288.0,34667.0,176354.0,12803.0,129385.0,11543.0,706718.0,96597.0,212977.0,8778.0,218663.0
