MSA,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Shrubland,Woody Wetlands
"San Jose-Sunnyvale-Santa Clara, CA",6623.0,270215.0,1164.0,141876.0,239382.0,430083.0,221696.0,43978.0,431769.0,2842993.0,1089099.0,65442.0,24298.0,1915714.0,19490.0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",50357.0,455741.0,60.0,13188.0,108356.0,79455.0,393470.0,75583.0,508805.0,4357657.0,698012.0,36005.0,38407.0,2715059.0,34836.0
"Santa Cruz-Watsonville, CA",2573.0,47893.0,300.0,13795.0,42894.0,46657.0,129652.0,3772.0,441814.0,298875.0,155728.0,5492.0,10067.0,81515.0,4836.0
"Santa Fe, NM",5746.0,70645.0,14773.0,6762.0,47321.0,30061.0,144992.0,1661.0,1282579.0,1157079.0,16780.0,2876.0,1054.0,2713727.0,4797.0
"Santa Maria-Santa Barbara, CA",12069.0,329973.0,42.0,16605.0,120720.0,106950.0,232182.0,60491.0,607138.0,1537436.0,416394.0,28671.0,48569.0,4372771.0,28247.0
"Santa Rosa, CA",5170.0,287530.0,33615.0,40476.0,137538.0,137880.0,216600.0,73220.0,1167856.0,1271893.0,290325.0,42874.0,53412.0,801169.0,21560.0
"Savannah, GA",26735.0,107139.0,5470.0,54118.0,173334.0,104555.0,235625.0,564343.0,1011648.0,150234.0,25012.0,262729.0,45985.0,127492.0,1216868.0
"Scranton--Wilkes-Barre--Hazleton, PA",41412.0,87493.0,2586554.0,74574.0,172968.0,163527.0,306087.0,32100.0,85143.0,39970.0,666986.0,85630.0,543068.0,40286.0,186284.0
"Seattle-Tacoma-Bellevue, WA",385943.0,66609.0,361021.0,377436.0,1091902.0,910975.0,866260.0,148023.0,8806395.0,440782.0,1585022.0,361268.0,506472.0,904167.0,342996.0
"Sebastian-Vero Beach, FL",4116.0,342221.0,237.0,12654.0,92465.0,49870.0,103852.0,119299.0,28339.0,9930.0,8718.0,163408.0,177902.0,13074.0,428736.0
"Sebring, FL",5493.0,368852.0,6144.0,8423.0,104708.0,36947.0,172949.0,163075.0,91715.0,28466.0,28113.0,206861.0,1099891.0,160972.0,701345.0
"Sheboygan, WI",4111.0,720759.0,113487.0,16175.0,77200.0,52594.0,57327.0,39398.0,14207.0,7986.0,44141.0,9494.0,145601.0,1810.0,185504.0
"Sherman-Denison, TX",4242.0,342805.0,504382.0,19266.0,78020.0,44281.0,131286.0,5454.0,67561.0,996599.0,8211.0,135560.0,426701.0,43305.0,9632.0
"Shreveport-Bossier City, LA",23873.0,273836.0,276595.0,95310.0,369558.0,223575.0,319765.0,112433.0,3287847.0,402947.0,641308.0,291189.0,1013982.0,455382.0,1746512.0
"Sierra Vista-Douglas, AZ",187953.0,740556.0,2485.0,8381.0,57027.0,35791.0,249527.0,7592.0,1055933.0,2792874.0,72870.0,4784.0,3834.0,12640897.0,33369.0
"Sioux City, IA-NE-SD",18811.0,6494795.0,275107.0,33784.0,156666.0,93588.0,269400.0,89830.0,2844.0,712378.0,8450.0,71846.0,247878.0,3057.0,36754.0
"Sioux Falls, SD",10301.0,5579705.0,68755.0,35844.0,114735.0,94175.0,324337.0,149382.0,332.0,185638.0,3457.0,64473.0,806850.0,457.0,3912.0
