Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal),County Name,MSA
Metropolitan Council,Minneapolis,MN,Hennepin,1999,3716151,0,0,447517,0,0,0,Hennepin,"Minneapolis-St. Paul-Bloomington, MN-WI"
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,Clark,0,0,0,7992456,709409,0,0,0,Clark,"Las Vegas-Henderson-Paradise, NV"
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,Snohomish,2301116,224826,1252,0,95313,0,0,0,Snohomish,"Seattle-Tacoma-Bellevue, WA"
Central Florida Regional Transportation Authority,Orlando,FL,Orange,0,1257105,0,1674607,2439315,0,0,0,Orange,"Orlando-Kissimmee-Sanford, FL"
San Diego Association of Governments,San Diego,CA,San Diego,0,743316,0,0,0,0,0,0,San Diego,"San Diego-Chula Vista-Carlsbad, CA"
Santa Clara Valley Transportation Authority,San Jose,CA,Santa Clara,3333792,379552,59829,0,0,0,22062611,125435,Santa Clara,"San Jose-Sunnyvale-Santa Clara, CA"
San Francisco Bay Area Rapid Transit District,Oakland,CA,Alameda,0,0,0,0,335483,0,304524700,0,Alameda,"San Francisco-Oakland-Berkeley, CA"
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,Broward,4563738,370755,943035,0,0,0,0,0,Broward,"Miami-Fort Lauderdale-Pompano Beach, FL"
"City of Phoenix Public Transit Department, dba: Valley Metro",Phoenix,AZ,Maricopa,1856708,708616,0,4930654,0,463832,0,0,Maricopa,"Phoenix-Mesa-Chandler, AZ"
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,Pierce,126109,387390,0,1145653,0,0,0,529930,Pierce,"Seattle-Tacoma-Bellevue, WA"
Delaware Transit Corporation,Dover,DE,Kent,1875565,409802,1266760,0,0,0,0,269389,Kent,"Dover, DE"
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,St. Louis,4590408,0,0,0,0,0,36496148,0,St. Louis,"St. Louis, MO-IL"
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,St. Louis,4590408,0,0,0,0,0,36496148,0,St. Louis,"St. Louis, MO-IL"
Montachusett Regional Transit Authority,Fitchburg,MA,Worcester,104402,246407,0,0,0,0,0,0,Worcester,"Worcester, MA-CT"
Enterprise Rideshare - Michigan,Farmington Hills,MI,Oakland,0,164696,0,0,0,0,0,0,Oakland,"Detroit-Warren-Dearborn, MI"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran",West Palm Beach,FL,Palm Beach,1828860,1247686,0,0,0,445566,0,0,Palm Beach,"Miami-Fort Lauderdale-Pompano Beach, FL"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,Cuyahoga,1673865,363971,138151,1575490,0,0,32090136,0,Cuyahoga,"Cleveland-Elyria, OH"
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,2175783,524449,0,0,0,0,3318000,0,Hampton,"Virginia Beach-Norfolk-Newport News, VA-NC"
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,Mecklenburg,1958153,60398,0,0,0,0,16788420,0,Mecklenburg,"Charlotte-Concord-Gastonia, NC-SC"
Georgia State Road and Tollway Authority,Atlanta,GA,Fulton,1028058,240929,0,0,0,0,0,0,Fulton,"Atlanta-Sandy Springs-Alpharetta, GA"
