MSA,Cooling Degree Days
"Lubbock, TX",6110
"Lynchburg, VA",4673
"Macon-Bibb County, GA",11042
"Madera, CA",1122
"Madison, WI",2764
"Manchester-Nashua, NH",560
"Manhattan, KS",4095
"Mankato, MN",1579
"Mansfield, OH",773
"McAllen-Edinburg-Mission, TX",4672
"Medford, OR",446
"Memphis, TN-MS-AR",14835
"Merced, CA",1829
"Miami-Fort Lauderdale-Pompano Beach, FL",13973
"Michigan City-La Porte, IN",869
"Midland, MI",728
"Midland, TX",5152
"Milwaukee-Waukesha, WI",2584
"Minneapolis-St. Paul-Bloomington, MN-WI",10269
"Missoula, MT",94
"Mobile, AL",5217
"Modesto, CA",1720
"Monroe, MI",933
"Montgomery, AL",9636
"Morgantown, WV",1423
"Morristown, TN",3828
"Mount Vernon-Anacortes, WA",39
"Muncie, IN",935
"Muskegon, MI",649
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",4019
"Napa, CA",1324
"Naples-Marco Island, FL",4401
"Nashville-Davidson--Murfreesboro--Franklin, TN",19218
"New Bern, NC",5501
"New Haven-Milford, CT",767
"New York-Newark-Jersey City, NY-NJ-PA",24383
"Niles, MI",831
"North Port-Sarasota-Bradenton, FL",8029
"Norwich-New London, CT",734
"Ocala, FL",3676
"Ocean City, NJ",1167
"Odessa, TX",2629
"Ogden-Clearfield, UT",2402
"Oklahoma City, OK",12647
"Olympia-Lacey-Tumwater, WA",155
"Omaha-Council Bluffs, NE-IA",9261
"Orlando-Kissimmee-Sanford, FL",16078
"Oshkosh-Neenah, WI",661
"Owensboro, KY",3780
"Oxnard-Thousand Oaks-Ventura, CA",825
"Palm Bay-Melbourne-Titusville, FL",3997
"Panama City, FL",3118
"Parkersburg-Vienna, WV",2056
"Pensacola-Ferry Pass-Brent, FL",5514
"Peoria, IL",6069
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",12973
"Phoenix-Mesa-Chandler, AZ",8116
"Pine Bluff, AR",5570
"Pittsburgh, PA",5259
"Pittsfield, MA",417
"Pocatello, ID",727
"Port St. Lucie, FL",8716
