Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,Miami-Dade,0,0,0,0
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,Miami-Dade,3407298,0,10550555,0
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,Miami-Dade,0,919282,0,10840477
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,Miami-Dade,0,160002,0,1463534
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,Miami-Dade,0,0,0,0
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,Miami-Dade,337745,314312,1560543,1607273
Denver Regional Transportation District,Denver,CO,Denver,0,0,0,0
Denver Regional Transportation District,Denver,CO,Denver,4032532,0,18607817,0
Denver Regional Transportation District,Denver,CO,Denver,0,0,0,0
Denver Regional Transportation District,Denver,CO,Denver,0,694577,0,7246731
Denver Regional Transportation District,Denver,CO,Denver,2717859,0,12867497,0
Denver Regional Transportation District,Denver,CO,Denver,0,0,0,0
Orange County Transportation Authority,Orange,CA,Orange,0,394270,0,3525843
Orange County Transportation Authority,Orange,CA,Orange,0,0,0,0
Orange County Transportation Authority,Orange,CA,Orange,0,0,0,0
Orange County Transportation Authority,Orange,CA,Orange,0,0,0,0
Orange County Transportation Authority,Orange,CA,Orange,0,0,0,0
Orange County Transportation Authority,Orange,CA,Orange,0,0,0,0
Orange County Transportation Authority,Orange,CA,Orange,0,1124651,0,7008564
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,Cook,11034,2332147,91134,15359100
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,Cook,0,0,0,0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,Queens,35214,0,166942,0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,Queens,45912,0,13902,0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,Queens,5697351,0,0,0
Access Services  ,El Monte,CA,Los Angeles,0,1709256,0,21976516
Access Services  ,El Monte,CA,Los Angeles,0,0,0,0
MTA Bus Company,New York,NY,Queens,9000151,0,13129813,0
Puerto Rico Highway and Transportation Authority - Público,San Juan,PR,San Juan,0,0,0,0
Dallas Area Rapid Transit,Dallas,TX,Dallas,0,42317,0,452178
Dallas Area Rapid Transit,Dallas,TX,Dallas,0,0,0,0
Dallas Area Rapid Transit,Dallas,TX,Dallas,1375987,0,460806,0
Dallas Area Rapid Transit,Dallas,TX,Dallas,0,0,0,0
Dallas Area Rapid Transit,Dallas,TX,Dallas,0,90745,0,0
Dallas Area Rapid Transit,Dallas,TX,Dallas,0,0,0,0
Dallas Area Rapid Transit,Dallas,TX,Dallas,0,0,0,0
Utah Transit Authority,Salt Lake City,UT,Salt Lake,0,0,0,0
Utah Transit Authority,Salt Lake City,UT,Salt Lake,122,30408,19516,703815
Utah Transit Authority,Salt Lake City,UT,Salt Lake,25811,152418,540828,1210980
Utah Transit Authority,Salt Lake City,UT,Salt Lake,1921417,0,850933,0
Utah Transit Authority,Salt Lake City,UT,Salt Lake,251389,0,803228,0
Utah Transit Authority,Salt Lake City,UT,Salt Lake,0,255799,0,5655726
Utah Transit Authority,Salt Lake City,UT,Salt Lake,12100,92766,296341,766902
Utah Transit Authority,Salt Lake City,UT,Salt Lake,2764585,127617,15317556,702897
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,Cook,18100043,0,5202961,0
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,Cook,18100043,0,0,0
MTA Long Island Rail Road,Jamaica,NY,Queens,7034074,0,757533,0
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,Maricopa,0,372540,0,4735123
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,Maricopa,0,0,0,0
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,Maricopa,584671,75058,2820455,423878
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,San Francisco,0,0,16948119,0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,San Francisco,0,0,0,0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,San Francisco,0,0,0,0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,San Francisco,0,0,0,0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,San Francisco,0,0,0,0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,San Francisco,0,381193,0,1835804
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,Multnomah,0,0,22226697,0
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,Multnomah,0,0,0,0
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,Multnomah,0,0,83819,0
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,Multnomah,0,0,5144381,0
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,Multnomah,0,0,0,0
VIA Metropolitan Transit,San Antonio,TX,Bexar,1202975,0,4715477,0
VIA Metropolitan Transit,San Antonio,TX,Bexar,0,0,0,0
VIA Metropolitan Transit,San Antonio,TX,Bexar,0,195770,0,2021101
VIA Metropolitan Transit,San Antonio,TX,Bexar,0,383569,0,5795075
VIA Metropolitan Transit,San Antonio,TX,Bexar,0,61584,0,385953
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,Fulton,2288426,0,9957967,0
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,Fulton,0,0,0,0
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,Fulton,12,1463932,0,7576593
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,Fulton,0,0,0,0
Port Authority of Allegheny County,Pittsburgh,PA,Allegheny,6328318,0,23336857,0
Port Authority of Allegheny County,Pittsburgh,PA,Allegheny,0,0,0,0
Port Authority of Allegheny County,Pittsburgh,PA,Allegheny,0,1027274,0,7930251
Port Authority of Allegheny County,Pittsburgh,PA,Allegheny,0,0,0,0
San Diego Metropolitan Transit System,San Diego,CA,San Diego,0,27177,0,44124
San Diego Metropolitan Transit System,San Diego,CA,San Diego,0,0,0,0
San Diego Metropolitan Transit System,San Diego,CA,San Diego,138709,0,773179,0
San Diego Metropolitan Transit System,San Diego,CA,San Diego,0,0,0,0
San Diego Metropolitan Transit System,San Diego,CA,San Diego,0,205687,0,1312523
San Diego Metropolitan Transit System,San Diego,CA,San Diego,0,0,0,0
"City and County of Honolulu, dba: Department of Transportation Services",Honolulu,HI,Honolulu,0,34715,0,558602
"City and County of Honolulu, dba: Department of Transportation Services",Honolulu,HI,Honolulu,5199156,779,22127139,0
"City and County of Honolulu, dba: Department of Transportation Services",Honolulu,HI,Honolulu,2828,1182409,0,6839898
"City and County of Honolulu, dba: Department of Transportation Services",Honolulu,HI,Honolulu,0,0,0,0
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,Travis,251331,0,1239431,0
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,Travis,4209118,35101,15690037,366924
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,Travis,0,194979,0,308690
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,Travis,282636,349695,2143509,3584060
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,Travis,207920,0,710722,0
"Metro Transit, dba: Metro Transit",Minneapolis,MN,Hennepin,0,0,0,0
"Metro Transit, dba: Metro Transit",Minneapolis,MN,Hennepin,0,0,23206563,0
