Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
Spokane Transit Authority,Spokane,WA,Spokane,31786,77424,2028394,783003
Spokane Transit Authority,Spokane,WA,Spokane,75752,5542,45218,19725
Spokane Transit Authority,Spokane,WA,Spokane,1215653,0,6954599,0
"Montgomery County, Maryland, dba: Ride On - Montgomery County Transit",Rockville,MD,Montgomery,0,7647,0,0
"Montgomery County, Maryland, dba: Ride On - Montgomery County Transit",Rockville,MD,Montgomery,2064931,0,8397024,0
"County of Nassau, dba: Nassau Inter County Express",Mineola,NY,Nassau,56040,92675,810822,692745
"County of Nassau, dba: Nassau Inter County Express",Mineola,NY,Nassau,24691,17480,107294,106633
"City of Detroit, dba: Detroit Department of Transportation",Detroit,MI,Wayne,0,225162,0,0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,Tarrant,0,39620,0,0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,Tarrant,0,256173,0,0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,Tarrant,0,646,0,88431
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,Tarrant,0,0,0,0
"City of Detroit, dba: Detroit Department of Transportation",Detroit,MI,Wayne,2782163,0,13247100,0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,Tarrant,442412,0,2349673,0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,Tarrant,0,0,0,0
Cape Cod Regional Transit Authority,Hyannis,MA,Barnstable,0,0,0,0
Port Authority Trans-Hudson Corporation,New York,NJ,Hudson,282500,0,56316,0
Cape Cod Regional Transit Authority,Hyannis,MA,Barnstable,88957,5269,989603,68724
Port Authority Trans-Hudson Corporation,New York,NJ,Hudson,0,0,0,0
Cape Cod Regional Transit Authority,Hyannis,MA,Barnstable,0,217336,0,1757397
Foothill Transit,West Covina,CA,Los Angeles,0,0,0,0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,0,0,2173433,0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,0,0,0,0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,22195,73772,248830,0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,19722,0,0,0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,0,0,55804,0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,0,4735,0,0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,0,82548,0,425464
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,Wake,0,0,0,0
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,Wake,0,0,0,0
Riverside Transit Agency,Riverside,CA,Riverside,0,400603,0,2812754
Riverside Transit Agency,Riverside,CA,Riverside,0,266693,0,1300481
Riverside Transit Agency,Riverside,CA,Riverside,0,0,0,0
Riverside Transit Agency,Riverside,CA,Riverside,0,0,0,0
Riverside Transit Agency,Riverside,CA,Riverside,0,87278,0,405044
Riverside Transit Agency,Riverside,CA,Riverside,0,0,0,0
Jacksonville Transportation Authority,Jacksonville,FL,Duval,4401,13876,32095,0
Jacksonville Transportation Authority,Jacksonville,FL,Duval,0,0,0,0
Jacksonville Transportation Authority,Jacksonville,FL,Duval,0,8403,0,0
Capital District Transportation Authority,Albany,NY,Albany,0,189546,0,1310742
Capital District Transportation Authority,Albany,NY,Albany,0,21352,0,0
Capital District Transportation Authority,Albany,NY,Albany,0,0,0,0
Capital District Transportation Authority,Albany,NY,Albany,1951603,12712,8632669,32522
Jacksonville Transportation Authority,Jacksonville,FL,Duval,1124141,0,3973315,0
Jacksonville Transportation Authority,Jacksonville,FL,Duval,0,457041,0,3432017
Capital District Transportation Authority,Albany,NY,Albany,90701,0,0,0
Jacksonville Transportation Authority,Jacksonville,FL,Duval,159258,0,10634,0
"Suffolk County, dba: Departmentt of Public Works - Transportation Division",Yaphank,NY,Suffolk,0,882214,0,5499639
"Suffolk County, dba: Departmentt of Public Works - Transportation Division",Yaphank,NY,Suffolk,1191346,223298,4134897,3042669
Intercity Transit,Olympia,WA,Thurston,26764,0,0,0
Intercity Transit,Olympia,WA,Thurston,307787,0,1985837,0
Intercity Transit,Olympia,WA,Thurston,76465,14888,726571,17280
Intercity Transit,Olympia,WA,Thurston,0,104567,0,1768495
Metropolitan Transit Authority,Madison,TN,Davidson,0,409218,0,2019351
Metropolitan Transit Authority,Madison,TN,Davidson,0,0,0,0
Metropolitan Transit Authority,Madison,TN,Davidson,1383851,84858,5193275,1112084
"Central Pennsylvania Transportation Authority, dba: Rabbit Transit",York,PA,York,57590,1732,298218,191022
"Central Pennsylvania Transportation Authority, dba: Rabbit Transit",York,PA,York,0,60051,0,0
"Central Pennsylvania Transportation Authority, dba: Rabbit Transit",York,PA,York,66590,72922,139635,412258
"Central Pennsylvania Transportation Authority, dba: Rabbit Transit",York,PA,York,0,0,0,0
"Central Pennsylvania Transportation Authority, dba: Rabbit Transit",York,PA,York,6004,772434,77881,5695867
Regional Transit Service - Monroe County,Rochester,NY,Monroe,0,2927,0,0
Regional Transit Service - Monroe County,Rochester,NY,Monroe,0,291004,0,2224913
Regional Transit Service - Monroe County,Rochester,NY,Monroe,1349441,0,5594212,0
Pioneer Valley Transit Authority,Springfield,MA,Hampden,1080075,16811,3123717,47761
Pioneer Valley Transit Authority,Springfield,MA,Hampden,0,290873,0,2175928
Kitsap Transit,Bremerton,WA,Kitsap,0,0,2572291,0
Kitsap Transit,Bremerton,WA,Kitsap,0,1289,363481,16742
Kitsap Transit,Bremerton,WA,Kitsap,0,26791,74920,345419
Kitsap Transit,Bremerton,WA,Kitsap,601050,0,149190,0
Kitsap Transit,Bremerton,WA,Kitsap,0,0,0,0
Kitsap Transit,Bremerton,WA,Kitsap,39879,0,25929,0
Omnitrans,San Bernardino,CA,San Bernardino,0,170365,0,1749925
Omnitrans,San Bernardino,CA,San Bernardino,0,0,0,0
Omnitrans,San Bernardino,CA,San Bernardino,0,22346,0,0
Mass Transportation Authority ,Flint,MI,Genesee,95357,0,409225,0
Mass Transportation Authority ,Flint,MI,Genesee,1513,0,14552,0
Mass Transportation Authority ,Flint,MI,Genesee,2028,63687,6295,728046
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,Kent,2230,37223,0,212633
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,Kent,68818,0,374652,0
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,Kent,0,12629,0,291728
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,Kent,670832,0,3206697,0
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,Capitol,264768,0,2559664,0
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,Capitol,2100946,0,6169699,0
"Fairfax County, VA, dba: Fairfax Connector ",Fairfax,VA,Fairfax,2405054,0,11944652,0
Lane Transit District,Eugene,OR,Lane,0,0,0,0
Lane Transit District,Eugene,OR,Lane,614477,0,2662661,0
City of Madison,Madison,WI,Dane,0,0,0,0
Lane Transit District,Eugene,OR,Lane,0,128024,0,929114
Lane Transit District,Eugene,OR,Lane,8732,6835,0,41819
City of Madison,Madison,WI,Dane,861616,0,4459753,0
Lane Transit District,Eugene,OR,Lane,0,16651,0,181071
Lane Transit District,Eugene,OR,Lane,201947,0,720543,0
Indianapolis and Marion County Public Transportation,Indianapolis,IN,Marion,45483,266621,307238,1580064
"Central New York Regional Transportation Authority, dba: CENTRO ",Syracuse,NY,Onondaga,0,113379,0,728196
"Central New York Regional Transportation Authority, dba: CENTRO ",Syracuse,NY,Onondaga,0,89102,0,0
Indianapolis and Marion County Public Transportation,Indianapolis,IN,Marion,0,0,0,0
"Central New York Regional Transportation Authority, dba: CENTRO ",Syracuse,NY,Onondaga,337602,0,1798119,0
Indianapolis and Marion County Public Transportation,Indianapolis,IN,Marion,1743040,0,7326859,0
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,St. Clair,0,0,0,0
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,St. Clair,0,0,0,0
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,St. Clair,0,0,0,0
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,St. Clair,1428,69988,0,0
METRO Regional Transit Authority ,Akron,OH,Summit,103350,0,916625,0
METRO Regional Transit Authority ,Akron,OH,Summit,0,29676,0,0
METRO Regional Transit Authority ,Akron,OH,Summit,276142,0,1075054,0
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,Bernalillo,0,298498,0,2077045
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,Bernalillo,120361,0,0,0
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,Bernalillo,1241197,0,5468644,0
Des Moines Area Regional Transit Authority,Des Moines,IA,Polk,731993,0,3308743,0
Des Moines Area Regional Transit Authority,Des Moines,IA,Polk,0,89216,0,1373094
North County Transit District,Oceanside,CA,San Diego,379200,0,648566,0
North County Transit District,Oceanside,CA,San Diego,0,138303,0,1117337
North County Transit District,Oceanside,CA,San Diego,766773,0,253519,0
Des Moines Area Regional Transit Authority,Des Moines,IA,Polk,92655,2556,662963,16221
Des Moines Area Regional Transit Authority,Des Moines,IA,Polk,0,0,0,0
North County Transit District,Oceanside,CA,San Diego,53522,42039,193747,324738
"City of El Paso, dba: Sun Metro",El Paso,TX,El Paso,0,0,0,0
"City of El Paso, dba: Sun Metro",El Paso,TX,El Paso,0,0,0,0
"City of El Paso, dba: Sun Metro",El Paso,TX,El Paso,0,0,0,0
Toledo Area Regional Transit Authority,Toledo,OH,Lucas,0,0,1008001,0
Toledo Area Regional Transit Authority,Toledo,OH,Lucas,0,0,0,0
Toledo Area Regional Transit Authority,Toledo,OH,Lucas,0,2133,1874553,1
Long Beach Transit,Long Beach,CA,Los Angeles,126276,731596,261621,2151609
Long Beach Transit,Long Beach,CA,Los Angeles,0,1479,0,14582
"Southern California Regional Rail Authority, dba: Metrolink",Los Angeles,CA,Los Angeles,8293151,0,2539026,0
Greater Dayton Regional Transit Authority,Dayton,OH,Montgomery,0,291146,0,1857601
Greater Dayton Regional Transit Authority,Dayton,OH,Montgomery,0,0,0,0
Greater Dayton Regional Transit Authority,Dayton,OH,Montgomery,1032848,0,4736295,0
Hillsborough Area Regional Transit Authority,Tampa,FL,Hillsborough,0,153295,0,1154030
Hillsborough Area Regional Transit Authority,Tampa,FL,Hillsborough,0,0,0,0
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,Los Angeles,0,0,0,0
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,Los Angeles,0,17,0,293
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,Los Angeles,0,0,0,0
Hillsborough Area Regional Transit Authority,Tampa,FL,Hillsborough,1105640,0,4016697,0
"Academy Lines, Inc.",Hoboken,NJ,Hudson,564450,0,2491444,0
Capital Area Transportation Authority,Lansing,MI,Ingham,624562,0,2981373,0
Capital Area Transportation Authority,Lansing,MI,Ingham,0,201179,0,1564162
New Orleans Regional Transit Authority,New Orleans,LA,Orleans,0,148296,0,1116250
Capital Area Transportation Authority,Lansing,MI,Ingham,10068,121687,25188,553653
New Orleans Regional Transit Authority,New Orleans,LA,Orleans,0,0,0,0
New Orleans Regional Transit Authority,New Orleans,LA,Orleans,187312,0,9990,0
New Orleans Regional Transit Authority,New Orleans,LA,Orleans,0,0,5304847,0
South Central Transit Authority,Lancaster,PA,Lancaster,0,0,3286449,0
South Central Transit Authority,Lancaster,PA,Lancaster,0,368313,0,2681787
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,Clark,93603,999,1046484,0
South Central Transit Authority,Lancaster,PA,Lancaster,0,99515,0,709085
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,Clark,0,8659,0,172947
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,Clark,822539,6685,4363818,43790
Tampa Bay Area Regional Transit Authority,Tampa,FL,Hillsborough,0,122960,0,1374923
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,Volusia,9185,265344,81069,1338954
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,Volusia,713596,0,3144734,0
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,Volusia,0,0,0,0
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,Volusia,0,36106,0,0
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,Volusia,0,8180,0,25381
Metropolitan Transportation Commission,San Francisco,CA,San Francisco,0,162005,0,1502837
"Municipality of Anchorage, dba: Public Transportation Department",Anchorage,AK,Anchorage,0,61166,0,629729
"Westmoreland County, dba: Westmoreland Transit",Greensburg,PA,Westmoreland,0,0,0,0
"Westmoreland County, dba: Westmoreland Transit",Greensburg,PA,Westmoreland,0,95138,0,0
"Municipality of Anchorage, dba: Public Transportation Department",Anchorage,AK,Anchorage,404617,37526,1598299,0
"Municipality of Anchorage, dba: Public Transportation Department",Anchorage,AK,Anchorage,0,84518,0,356536
"Westmoreland County, dba: Westmoreland Transit",Greensburg,PA,Westmoreland,125999,0,0,0
"Westmoreland County, dba: Westmoreland Transit",Greensburg,PA,Westmoreland,0,0,492207,0
"City of Gainesville, FL, dba: Regional Transit System",Gainesville,FL,Alachua,0,76702,0,625646
"Hudson Transit Lines, Inc., dba: Short Line",Mahwah,NJ,Bergen,767762,0,4349130,0
"City of Gainesville, FL, dba: Regional Transit System",Gainesville,FL,Alachua,0,9059,0,0
"City of Gainesville, FL, dba: Regional Transit System",Gainesville,FL,Alachua,844994,34102,3312562,0
Lehigh and Northampton Transportation Authority,Allentown,PA,Lehigh,118783,126382,1152136,1128538
Lehigh and Northampton Transportation Authority,Allentown,PA,Lehigh,322360,0,1569523,0
Lehigh and Northampton Transportation Authority,Allentown,PA,Lehigh,1994,0,28064,0
Greater Hartford Transit District,Hartford,CT,Capitol,75279,510929,801774,3340321
"City of Fresno, dba: Fresno Area Express",Fresno,CA,Fresno,0,187704,0,1220246
"City of Fresno, dba: Fresno Area Express",Fresno,CA,Fresno,0,1616,0,4309
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,San Francisco,0,0,164023,0
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,San Francisco,0,49352,0,299999
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,San Francisco,971341,0,4874368,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,765843,0,1721571,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,0,44221,0,0
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,Shelby,131953,108883,245928,820223
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,Shelby,0,0,0,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,0,4546,0,92122
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,0,0,0,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,8561,0,0,0
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,Shelby,1211721,8449,4946200,111894
City of Alexandria ,Alexandria,VA,Alexandria,0,0,0,0
City of Alexandria ,Alexandria,VA,Alexandria,527426,0,2233149,0
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,Contra Costa,610413,0,3083141,0
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,Contra Costa,0,139035,0,905816
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,Contra Costa,0,9923,0,73784
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,San Mateo,9429,91237,0,0
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,San Mateo,3805923,0,1179829,0
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,0,1223,0,0
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,18505,0,0
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,549469,0,2042835,0
Green Mountain Transit Authority,Burlington,VT,Chittenden,298636,39249,1311697,0
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,0,872593,0
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,100878,258148,1218090
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,0,26337,0,235735
Green Mountain Transit Authority,Burlington,VT,Chittenden,3590,45270,740,92619
Green Mountain Transit Authority,Burlington,VT,Chittenden,0,56640,0,394048
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,24240,0,254648
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,0,69981,0,598168
Green Mountain Transit Authority,Burlington,VT,Chittenden,92300,22186,2160580,3306
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,53468,0,277499,0
Madison County Transit District,Granite City,IL,Madison,734789,70911,1666536,427707
Madison County Transit District,Granite City,IL,Madison,0,37149,0,617318
Madison County Transit District,Granite City,IL,Madison,30524,46825,0,0
Minnesota Valley Transit Authority,Burnsville,MN,Dakota,0,27458,3155376,181575
San Joaquin Council,Stockton,CA,San Joaquin,0,140183,0,891458
Denton County Transportation Authority,Lewisville,TX,Denton,194477,0,660297,0
Denton County Transportation Authority,Lewisville,TX,Denton,0,0,0,0
Denton County Transportation Authority,Lewisville,TX,Denton,0,58284,0,607270
Denton County Transportation Authority,Lewisville,TX,Denton,141861,52053,544919,390488
Denton County Transportation Authority,Lewisville,TX,Denton,0,35944,0,293932
Champaign-Urbana Mass Transit District,Urbana,IL,Champaign,0,0,3345301,0
Champaign-Urbana Mass Transit District,Urbana,IL,Champaign,0,23077,0,276923
Champaign-Urbana Mass Transit District,Urbana,IL,Champaign,2293,38284,0,0
Rides Mass Transit District,Harrisburg,IL,Saline,170786,325839,1196352,2532630
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,147367,0,579405,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,0,0,0,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,0,20327,0,187241
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,0,0,0,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,574,8337,3893,63112
Transit Authority of Northern Kentucky,Covington,KY,Kenton,684515,0,2673950,0
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,472810,0,2445458,0
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,0,65221,0,557724
Transit Authority of Northern Kentucky,Covington,KY,Kenton,51344,56000,460281,430171
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,0,9829,0,239740
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,0,0,0,0
Transit Authority of Omaha,Omaha,NE,Douglas,588017,0,2753899,0
"Paratransit, Inc.",Sacramento,CA,Sacramento,0,327583,0,2972556
Transit Authority of Omaha,Omaha,NE,Douglas,0,1753,0,214576
"Paratransit, Inc.",Sacramento,CA,Sacramento,0,0,0,0
"Paratransit, Inc.",Sacramento,CA,Sacramento,0,11133,0,152471
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,433474,0,1478461,0
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,0,117672,0,486038
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,0,98180,0,346554
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,11287,0,64298,0
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,248817,0,959115,0
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,53580,83157,0,532985
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,0,0,0,0
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,17526,49661,375691,340538
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,0,0,465197,0
Mecklenburg County ,Charlotte,NC,Mecklenburg,0,0,0,0
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,Bristol,0,172710,0,1673725
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,Bristol,149348,42172,1152121,100936
Mecklenburg County ,Charlotte,NC,Mecklenburg,0,57453,0,278924
Metropolitan Bus Authority,San Juan,PR,San Juan,936754,0,1709292,0
Metropolitan Bus Authority,San Juan,PR,San Juan,20915,37853,150431,444596
Monterey-Salinas Transit,Monterey,CA,Monterey,596417,0,3096849,13385
Monterey-Salinas Transit,Monterey,CA,Monterey,0,207141,0,1454369
Monterey-Salinas Transit,Monterey,CA,Monterey,11264,158327,23143,675888
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,Los Angeles,25905,249588,0,945498
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,Los Angeles,0,10946,0,0
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,Los Angeles,0,0,0,0
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,0,9963,0,47926
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,282701,0,4667114,0
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,0,26736,0,1251012
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,204821,5446,0,9729
Centre Area Transportation Authority,State College,PA,Centre,0,0,0,0
Centre Area Transportation Authority,State College,PA,Centre,341,48826,5546,653642
Centre Area Transportation Authority,State College,PA,Centre,0,25013,0,180923
"Lexington Transit Authority, dba: Lextran",Lexington,KY,Fayette,0,5921,0,54136
"Lexington Transit Authority, dba: Lextran",Lexington,KY,Fayette,364737,10636,1397435,65646
"Lexington Transit Authority, dba: Lextran",Lexington,KY,Fayette,0,238517,0,0
Erie Metropolitan Transit Authority,Erie,PA,Erie,301128,23168,1279204,237864
"Sarasota County, dba: Sarasota County Area Transit",Sarasota,FL,Sarasota,11179,165210,406563,917529
"Sarasota County, dba: Sarasota County Area Transit",Sarasota,FL,Sarasota,545444,0,2688389,0
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,Johnson,0,0,0,0
Erie Metropolitan Transit Authority,Erie,PA,Erie,4851,164539,24959,700742
"Sarasota County, dba: Sarasota County Area Transit",Sarasota,FL,Sarasota,0,16935,0,120605
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,Johnson,158965,11283,748251,16094
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,Johnson,72425,0,1256394,0
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,Johnson,0,43250,0,332649
"Prince George's County, Maryland, dba: Prince George's County Transit",Largo,MD,Prince George's,877793,0,3073559,0
"Prince George's County, Maryland, dba: Prince George's County Transit",Largo,MD,Prince George's,24085,38138,213790,112845
Birmingham-Jefferson County Transit Authority,Birmingham,AL,Jefferson,4370,0,38268,0
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,Santa Cruz,94464,0,313465,0
Birmingham-Jefferson County Transit Authority,Birmingham,AL,Jefferson,0,0,0,0
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,Santa Cruz,0,62960,0,546052
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,Santa Cruz,38631,0,365462,0
"Lee County Transit, dba: Lee County Transit",Fort Myers,FL,Lee,534466,6522,2630581,35717
Whatcom Transportation Authority,Bellingham,WA,Whatcom,354935,0,1700907,0
Whatcom Transportation Authority,Bellingham,WA,Whatcom,0,72343,0,434396
"Lee County Transit, dba: Lee County Transit",Fort Myers,FL,Lee,25573,36539,324227,59195
Whatcom Transportation Authority,Bellingham,WA,Whatcom,0,0,0,0
"Lee County Transit, dba: Lee County Transit",Fort Myers,FL,Lee,0,9847,0,222013
Whatcom Transportation Authority,Bellingham,WA,Whatcom,0,10633,0,122086
"Suburban Transit Corporation, dba: Coach USA",New Brunswick,NJ,Middlesex,266856,0,1718348,0
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,0,806073,0
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,0,0,0
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,0,0,0
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,855,0,120919
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,3249,0,0
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,0,0,0
Worcester Regional Transit Authority,Worcester,MA,Worcester,323330,19990,1583089,0
Worcester Regional Transit Authority,Worcester,MA,Worcester,0,65354,0,648247
Worcester Regional Transit Authority,Worcester,MA,Worcester,0,0,0,0
Worcester Regional Transit Authority,Worcester,MA,Worcester,0,28652,0,379851
Virginia Railway Express,Alexandria,VA,Alexandria,1430638,0,333956,0
Connecticut Department of Transportation - CTTRANSIT New Haven Division,Hartford,CT,Capitol,1021682,0,3347008,0
Laketran,Painesville,OH,Lake,84718,30378,844384,184005
SunLine Transit Agency,Thousand Palms,CA,Riverside,0,0,0,0
SunLine Transit Agency,Thousand Palms,CA,Riverside,0,11395,0,92554
SunLine Transit Agency,Thousand Palms,CA,Riverside,0,0,0,0
Laketran,Painesville,OH,Lake,134716,1837,900653,13434
Laketran,Painesville,OH,Lake,81724,0,538574,0
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,Contra Costa,521476,0,2385057,0
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,Contra Costa,0,129220,0,741074
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,Contra Costa,0,0,0,0
"Cobb County, dba: CobbLinc",Marietta,GA,Cobb,573687,0,3773948,0
"Cobb County, dba: CobbLinc",Marietta,GA,Cobb,78721,0,511757,0
"Cobb County, dba: CobbLinc",Marietta,GA,Cobb,226183,0,11875,0
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,Arlington,0,0,0,0
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,Arlington,0,0,0,0
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,Arlington,0,24754,0,321841
Santa Barbara Metropolitan Transit District,Santa Barbara,CA,Santa Barbara,585298,0,2736110,0
MetroWest Regional Transit Authority,Framingham,MA,Middlesex,0,84122,0,740781
Metropolitan Tulsa Transit Authority,Tulsa,OK,Tulsa,101722,0,635762,0
MetroWest Regional Transit Authority,Framingham,MA,Middlesex,0,54564,0,384411
Metropolitan Tulsa Transit Authority,Tulsa,OK,Tulsa,0,30121,0,301212
Metropolitan Tulsa Transit Authority,Tulsa,OK,Tulsa,0,0,0,0
Golden Empire Transit District,Bakersfield,CA,Kern,0,0,0,0
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,Loudoun,530527,0,2706324,0
"City of Durham, dba: GoDurham",Durham,NC,Durham,320862,0,2601180,0
Antelope Valley Transit Authority,Lancaster,CA,Los Angeles,173390,0,133904,0
"Greater Peoria Mass Transit District, dba: CityLink",Peoria,IL,Peoria,0,166395,0,1237253
"Greater Peoria Mass Transit District, dba: CityLink",Peoria,IL,Peoria,0,0,2222033,0
"City of Durham, dba: GoDurham",Durham,NC,Durham,0,208327,0,1345348
