MSA,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Daphne-Fairhope-Foley, AL",0,78784,0,0,0,0,0,0,0,507479,0,0,0,0,0
"Davenport-Moline-Rock Island, IA-IL",57586,181445,0,534802,0,0,0,285717,324862,1578031,0,1959230,0,0,132646
"Dayton-Kettering, OH",1032848,453833,0,0,0,0,3188890,0,4736295,3146292,0,0,0,525331,0
"Decatur, AL",0,46877,0,0,0,0,0,0,0,304904,0,0,0,0,0
"Decatur, IL",600,17396,0,0,342610,0,0,0,1478510,149971,0,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach, FL",722781,392361,12913,0,0,0,0,0,3225803,1860438,0,0,79251,0,0
"Denver-Aurora-Lakewood, CO",6750391,726131,0,0,0,0,101468806,883865,31475314,7601036,0,0,0,15639401,263852
"Des Moines-West Des Moines, IA",838324,206173,0,0,0,0,0,0,4056847,2099177,0,0,0,0,0
"Detroit-Warren-Dearborn, MI",5076368,461595,557976,278812,0,0,4764551,0,24006084,2037192,0,1283125,2512687,368693,0
"Dover, DE",1875565,409802,1266760,0,0,0,0,269389,8456644,6887931,0,0,3405093,0,120831
"Duluth, MN-WI",354705,23419,0,0,0,0,0,480480,1607500,188468,0,0,0,0,87240
"Durham-Chapel Hill, NC",1354630,364509,0,0,308279,0,0,0,6832136,2361114,0,0,0,0,0
"East Stroudsburg, PA",84789,129954,0,0,0,0,0,0,462837,801166,0,0,0,0,0
"Eau Claire, WI",124251,16260,0,0,0,0,0,0,566513,0,0,0,0,0,0
"El Centro, CA",129093,92948,0,0,0,0,0,0,633234,640193,0,0,0,0,0
"El Paso, TX",0,0,0,2289191,0,0,427974,0,0,0,0,8826928,0,60022,0
"Elizabethtown-Fort Knox, KY",5240,176637,0,0,0,0,0,0,35311,1152757,0,0,0,0,0
"Erie, PA",305979,187707,0,133824,0,0,0,0,1304163,938606,0,585687,0,0,0
"Eugene-Springfield, OR",825156,151510,0,0,0,0,0,61087,3383204,1152004,0,0,0,0,31841
"Evansville, IN-KY",209550,0,0,449,0,0,0,0,1072693,0,0,1674,0,0,0
"Fargo, ND-MN",217202,43782,0,0,0,0,0,0,1031585,281829,0,0,0,0,0
"Fayetteville, NC",257652,70719,43674,0,0,0,0,0,1138097,63038,0,0,387412,0,0
"Flagstaff, AZ",187692,16095,0,0,0,0,0,0,902660,100270,0,0,0,0,0
"Flint, MI",98898,63687,804642,687422,0,310,0,0,430072,728046,0,2867657,4360360,0,0
"Florence-Muscle Shoals, AL",276,52172,0,0,0,0,0,0,2213,352742,0,0,0,0,0
"Fort Collins, CO",26094,45261,0,401877,4564,0,0,0,108523,915992,0,1373341,0,0,0
"Fort Wayne, IN",298207,20802,0,0,0,0,0,0,1772034,89020,0,0,0,0,0
"Fresno, CA",0,189320,0,1656089,0,0,0,0,0,1224555,0,5327914,0,0,0
"Gainesville, FL",844994,119863,0,0,0,0,0,0,3312562,625646,0,0,0,0,0
"Grand Forks, ND-MN",58861,32588,0,0,5825,0,0,0,209908,119623,0,0,0,0,0
"Grand Rapids-Kentwood, MI",766408,123730,350235,536971,0,0,0,0,3626297,1645529,0,2089758,1559504,0,0
"Great Falls, MT",76327,13780,0,0,0,0,0,0,370674,186712,0,0,0,0,0
"Green Bay, WI",143543,20679,0,0,0,0,0,0,670607,0,0,0,0,0,0
"Greensboro-High Point, NC",610226,400429,0,0,0,0,0,165852,2911373,2727034,0,0,0,0,222221
"Greenville-Anderson, SC",196271,37513,0,0,0,0,0,1174809,811664,160478,0,0,0,0,408875
"Gulfport-Biloxi, MS",130997,37195,4490,0,0,0,0,0,938527,117055,0,0,118607,0,0
"Hanford-Corcoran, CA",0,906449,0,189976,0,0,0,0,0,11010403,0,672264,0,0,0
"Harrisburg-Carlisle, PA",444761,215852,0,0,8846,0,27325354,0,1542759,832592,0,0,0,0,0
"Harrisonburg, VA",173371,21524,0,0,0,0,0,0,638748,121720,0,0,0,0,0
"Hartford-East Hartford-Middletown, CT",1989661,0,0,0,0,0,0,0,1782102,0,0,0,0,0,0
"Hickory-Lenoir-Morganton, NC",58519,90822,0,0,0,0,0,0,363011,814380,0,0,0,0,0
"Houston-The Woodlands-Sugar Land, TX",10348310,2554612,24534,1316039,0,0,20764234,0,48259302,10099192,0,4065763,109176,3420524,0
"Huntington-Ashland, WV-KY-OH",193206,46347,0,0,0,0,0,0,892883,197720,0,0,0,0,0
"Huntsville, AL",146816,84112,0,0,0,0,0,0,767034,625061,0,0,0,0,0
"Indianapolis-Carmel-Anderson, IN",1813652,312511,0,0,0,0,0,4785789,7634097,2049987,0,0,0,0,1450761
