MSA,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
"Reno, NV",0,208748,0,179937,635399,0,0,1332945
"Spokane-Spokane Valley, WA",1323191,123409,0,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2064931,7647,0,1349473,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",80731,110155,0,2665303,0,0,0,0
"Dallas-Fort Worth-Arlington, TX",442412,296439,0,1931716,0,0,0,170812
"Detroit-Warren-Dearborn, MI",2782163,225162,0,0,0,0,0,0
"Barnstable Town, MA",88957,222605,0,0,90193,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",282500,0,0,0,0,0,93567629,0
"Los Angeles-Long Beach-Anaheim, CA",0,0,0,5024392,0,0,0,1517879
"Ann Arbor, MI",41917,161055,0,0,588407,0,0,0
"Raleigh-Cary, NC",0,0,0,479016,679258,0,0,0
"Riverside-San Bernardino-Ontario, CA",0,754574,0,2249104,0,0,0,0
"Jacksonville, FL",1287800,479320,0,1310671,0,0,750850,0
"Albany-Schenectady-Troy, NY",2042304,223610,0,0,0,0,0,42126
"New York-Newark-Jersey City, NY-NJ-PA",1191346,1105512,0,0,0,0,0,0
"Olympia-Lacey-Tumwater, WA",411016,119455,54772,0,0,0,0,0
"Nashville-Davidson--Murfreesboro--Franklin, TN",1383851,494076,0,0,0,0,0,18426
"York-Hanover, PA",130184,907139,0,179394,0,0,0,0
"Rochester, NY",1349441,293931,0,0,0,0,0,0
"Springfield, MA",1080075,307684,0,0,0,0,0,154874
"Bremerton-Silverdale-Port Orchard, WA",640929,28080,144155,0,506050,0,0,14108
"Riverside-San Bernardino-Ontario, CA",0,192711,0,2836169,0,0,0,0
"Flint, MI",98898,63687,804642,687422,0,310,0,0
"Grand Rapids-Kentwood, MI",741880,49852,350235,536971,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2405054,0,0,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2405054,0,0,0,0,0,0,0
"Madison, WI",861616,0,0,0,0,0,0,0
"Eugene-Springfield, OR",825156,151510,0,0,0,0,0,61087
"Syracuse, NY",337602,202481,0,893482,0,0,0,0
"Indianapolis-Carmel-Anderson, IN",1788523,266621,0,0,0,0,0,4785789
"Detroit-Warren-Dearborn, MI",1428,69988,0,278812,0,0,0,0
"Akron, OH",379492,29676,0,817632,0,0,0,0
"Albuquerque, NM",1361558,298498,0,224908,0,0,0,0
"San Diego-Chula Vista-Carlsbad, CA",1199495,180342,0,1562227,0,0,0,0
"Des Moines-West Des Moines, IA",824648,91772,0,0,0,0,0,0
"El Paso, TX",0,0,0,2289191,0,0,427974,0
"Toledo, OH",0,2133,0,0,596805,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",126276,733075,0,1119035,0,0,0,411097
"Los Angeles-Long Beach-Anaheim, CA",8293151,0,0,0,0,0,0,0
"Dayton-Kettering, OH",1032848,291146,0,0,0,0,3188890,0
"Tampa-St. Petersburg-Clearwater, FL",1105640,153295,0,1142321,0,0,738468,0
"Los Angeles-Long Beach-Anaheim, CA",0,17,0,1667101,0,159629,0,46483
"New York-Newark-Jersey City, NY-NJ-PA",564450,0,0,0,0,0,0,0
"Lansing-East Lansing, MI",634630,322866,0,0,6951,0,0,0
"New Orleans-Metairie, LA",187312,148296,0,0,1573702,0,3613000,0
"Lancaster, PA",0,467828,0,0,609951,0,0,0
"Portland-Vancouver-Hillsboro, OR-WA",916142,16343,0,0,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL",0,122960,0,0,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach, FL",722781,309630,12913,0,0,0,0,0
"San Francisco-Oakland-Berkeley, CA",0,162005,0,0,0,0,0,0
"Pittsburgh, PA",125999,95138,0,132991,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",767762,0,0,0,0,0,0,0
"Gainesville, FL",844994,119863,0,0,0,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ",443137,126382,0,475045,0,0,0,0
"Fresno, CA",0,189320,0,1656089,0,0,0,0
"San Francisco-Oakland-Berkeley, CA",971341,49352,0,0,1856186,0,0,0
"Tallahassee, FL",774404,48767,0,200860,0,0,0,147473
"Memphis, TN-MS-AR",1343674,117332,0,0,0,0,739700,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",527426,0,0,0,0,0,0,0
"San Francisco-Oakland-Berkeley, CA",610413,148958,0,0,0,0,0,227250
"San Francisco-Oakland-Berkeley, CA",3815352,91237,0,0,0,0,0,0
