MSA,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
"Muncie, IN",0,0,39356,0,145520,0,0,0
"Topeka, KS",183010,24429,0,0,0,0,0,0
"Cincinnati, OH-KY-IN",42716,98540,0,0,0,0,0,0
"Daphne-Fairhope-Foley, AL",0,78784,0,0,0,0,0,0
"Atlantic City-Hammonton, NJ",3036,73552,0,0,0,0,0,0
"Sioux Falls, SD",168437,0,0,0,0,0,0,0
"Asheville, NC",0,94520,20898,17646,0,0,0,0
"Cincinnati, OH-KY-IN",4934,69281,0,0,0,0,0,0
"Yuba City, CA",206466,32653,0,0,0,0,0,0
"Evansville, IN-KY",209550,0,0,449,0,0,0,0
"Stockton, CA",514210,0,0,0,0,0,0,0
"Milwaukee-Waukesha, WI",63591,93048,0,0,0,0,0,0
"Indianapolis-Carmel-Anderson, IN",25129,6967,0,0,0,0,0,0
"Kokomo, IN",29673,62156,0,0,0,0,0,0
"Boulder, CO",0,64833,0,439,0,0,0,19820
"Portland-South Portland, ME",182552,0,0,87742,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",0,17360,0,288956,0,0,0,0
"Altoona, PA",12164,8943,0,155442,0,0,0,0
"Pittsburgh, PA",55279,68402,0,161611,0,0,0,0
"Barnstable Town, MA",2901675,0,0,619,0,0,0,0
"Knoxville, TN",0,169448,0,0,0,0,0,0
"Pensacola-Ferry Pass-Brent, FL",81539,62570,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",0,45980,0,239446,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,277781,0,0,0,0,0,0
"Milwaukee-Waukesha, WI",10981,49911,0,0,0,0,0,0
"Huntington-Ashland, WV-KY-OH",193206,46347,0,0,0,0,0,0
"Huntsville, AL",146816,84112,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",214625,0,0,0,0,0,0,0
"Columbus, OH",1857,49047,0,0,0,0,0,0
"Pittsburgh, PA",54515,150144,0,11673,0,0,0,0
"Missoula, MT",141296,12897,0,0,0,0,0,232906
"Indianapolis-Carmel-Anderson, IN",0,38923,0,0,0,0,0,0
"Waco, TX",189872,19157,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",0,72068,0,283974,0,0,0,0
"Sioux City, IA-NE-SD",132902,26215,0,0,0,0,0,0
"Columbus, OH",0,18777,0,0,0,0,0,0
"Spartanburg, SC",0,156182,5351,0,0,0,0,0
"Kingston, NY",101813,47218,0,0,0,0,0,0
"La Crosse-Onalaska, WI-MN",144028,3838,0,0,0,0,0,0
"Flagstaff, AZ",187692,16095,0,0,0,0,0,0
"Billings, MT",128260,25286,0,0,0,0,0,0
"Sebastian-Vero Beach, FL",95196,79193,0,0,0,0,0,0
"Green Bay, WI",143543,20679,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",3151574,0,0,0,0,0,0,0
"Boston-Cambridge-Newton, MA-NH",60208,30215,0,0,70211,0,0,0
"Logan, UT-ID",208514,14125,0,0,0,0,0,0
"Pittsfield, MA",69587,103362,0,0,0,0,0,0
"El Centro, CA",129093,92948,0,0,0,0,0,0
"Iowa City, IA",178024,0,0,0,0,0,0,0
"Santa Maria-Santa Barbara, CA",179392,27934,0,0,0,0,0,0
"Jackson, MS",283990,49684,0,0,0,0,0,0
"Redding, CA",132372,50430,0,0,0,0,0,6131
"Minneapolis-St. Paul-Bloomington, MN-WI",117798,15110,0,0,0,0,0,0
"Kingston, NY",158986,0,0,0,0,0,0,0
"Lebanon, PA",57923,36353,0,40511,0,0,0,0
"Monroe, MI",97894,0,0,0,0,0,0,0
"Athens-Clarke County, GA",221075,12061,0,0,0,0,0,0
"Tallahassee, FL",810032,0,0,0,0,0,0,0
"Lynchburg, VA",216242,30000,0,0,0,0,0,0
"Columbia, MO",0,24680,0,33438,84651,0,0,44815
"Montgomery, AL",69423,182426,0,0,0,0,0,0
"Grand Rapids-Kentwood, MI",24528,73878,0,0,0,0,0,0
"Columbus, OH",14,99788,0,0,0,0,0,0
"Punta Gorda, FL",26751,34216,0,0,0,0,0,0
"Longview, WA",0,11094,15857,0,57617,0,0,0
"Brownsville-Harlingen, TX",183074,28410,0,0,0,0,0,0
"Pueblo, CO",125316,26959,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",4683877,0,0,0,0,0,0,0
"Riverside-San Bernardino-Ontario, CA",0,249,0,79649,0,0,0,0
"Great Falls, MT",76327,13780,0,0,0,0,0,0
"Tucson, AZ",0,18729,0,0,0,0,0,0
"Greenville-Anderson, SC",141071,37513,0,0,0,0,0,332760
"Norwich-New London, CT",192740,19202,0,0,0,0,0,0
"Springfield, MO",204255,17420,0,0,0,0,0,0
"Grand Forks, ND-MN",58861,32588,0,0,5825,0,0,0
"Hanford-Corcoran, CA",0,18994,0,189976,0,0,0,0
"Baltimore-Columbia-Towson, MD",112527,0,0,0,0,0,0,0
"Baltimore-Columbia-Towson, MD",112527,0,0,0,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach, FL",0,82731,0,0,0,0,0,0
"Portland-South Portland, ME",628302,0,0,0,0,0,0,0
"Cleveland-Elyria, OH",6624,36519,0,0,0,0,0,0
"Chicago-Naperville-Elgin, IL-IN-WI",162930,30031,0,0,0,0,0,0
"Pittsburgh, PA",57743,0,0,155177,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",27639,50102,0,0,0,0,0,0
"Harrisburg-Carlisle, PA",0,0,0,0,0,0,27325354,0
"Lawrence, KS",70849,0,0,0,54866,0,0,0
"Dayton-Kettering, OH",0,112124,0,0,0,0,0,0
"Portland-Vancouver-Hillsboro, OR-WA",41392,41326,0,10592,0,0,0,96360
"Boston-Cambridge-Newton, MA-NH",36604,30448,0,0,0,0,0,0
"Olympia-Lacey-Tumwater, WA",15606455,0,0,0,1528162,0,0,0
"Augusta-Richmond County, GA-SC",163110,0,0,0,0,0,0,0
"Asheville, NC",218878,0,0,0,0,0,0,428649
"South Bend-Mishawaka, IN-MI",114340,16969,0,0,0,0,0,0
"Phoenix-Mesa-Chandler, AZ",100926,0,0,90685,0,0,0,0
"Phoenix-Mesa-Chandler, AZ",7979,57119,5417,0,0,0,0,0
"Albany, GA",39176,1760,0,147318,0,0,0,0
"Dayton-Kettering, OH",0,50563,0,0,0,0,0,0
"Beaumont-Port Arthur, TX",21789,0,0,255286,0,0,0,0
"Lafayette, LA",77171,18697,0,121526,0,0,0,0
"Sherman-Denison, TX",0,62557,0,0,0,0,0,0
"Jackson, TN",100934,47422,0,0,0,0,0,0
"Kankakee, IL",78347,232917,0,0,0,0,0,0
"Manchester-Nashua, NH",0,23720,0,71820,17476,0,0,0
"Wheeling, WV-OH",114593,36495,0,0,0,0,0,0
"Carbondale-Marion, IL",1065,47847,0,0,0,0,0,0
"Jackson, MI",86913,13889,0,0,0,0,0,0
"Greenville-Anderson, SC",55200,0,0,0,0,0,0,842049
"New York-Newark-Jersey City, NY-NJ-PA",0,55451,0,0,0,0,0,0
"Portland-Vancouver-Hillsboro, OR-WA",0,0,0,0,0,0,2803087,0
"San Luis Obispo-Paso Robles, CA",91095,2514,0,0,0,0,0,0
"Santa Rosa-Petaluma, CA",52729,11438,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",0,0,0,145107,0,0,0,0
"Port St. Lucie, FL",89610,12810,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",0,0,0,132111,0,0,0,0
"Hartford-East Hartford-Middletown, CT",208754,0,0,0,0,0,0,0
"New Haven-Milford, CT",0,28436,0,0,56319,0,0,0
"Miami-Fort Lauderdale-Pompano Beach, FL",27597,10619,14616,0,0,0,0,0
"Rome, GA",28327,33703,0,0,0,0,0,0
"Santa Rosa-Petaluma, CA",286520,0,0,0,0,0,0,0
"Terre Haute, IN",27344,44515,0,0,0,0,0,0
"San Francisco-Oakland-Berkeley, CA",2649830,0,0,0,0,0,0,0
"Iowa City, IA",48972,7188,0,0,0,0,0,0
"Modesto, CA",0,26164,0,35074,0,0,0,0
"Visalia, CA",0,12241,0,69637,0,0,0,0
"Fort Collins, CO",22808,21679,0,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",94852,0,0,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",94852,0,0,0,0,0,0,0
"Minneapolis-St. Paul-Bloomington, MN-WI",92992,20036,0,0,0,0,0,0
"Detroit-Warren-Dearborn, MI",0,0,0,0,0,0,2996400,0
"New York-Newark-Jersey City, NY-NJ-PA",54012,3207,0,0,0,0,0,0
"Seattle-Tacoma-Bellevue, WA",0,0,0,0,0,0,312557,0
"Los Angeles-Long Beach-Anaheim, CA",0,6759,0,8835,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",36096,0,0,0,0,0,0,0
"New Orleans-Metairie, LA",244500,8948,0,0,0,0,0,0
"Phoenix-Mesa-Chandler, AZ",0,17368,0,0,0,0,0,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",68880,3144,0,0,0,0,0,0
"Detroit-Warren-Dearborn, MI",0,0,0,0,0,0,1768151,0
"Barnstable Town, MA",1412997,0,0,0,0,0,0,0
"Portland-South Portland, ME",211587,0,0,0,29318,0,0,0
"Missoula, MT",10918,0,0,0,0,0,0,82841
"Kansas City, MO-KS",0,0,0,0,0,0,1080674,0
"Cincinnati, OH-KY-IN",0,0,0,0,0,0,702568,0
"Milwaukee-Waukesha, WI",0,0,0,0,0,0,796799,0
"Dallas-Fort Worth-Arlington, TX",0,0,0,0,0,0,320120,0
"Seattle-Tacoma-Bellevue, WA",184209,0,0,0,0,0,0,0
"Providence-Warwick, RI-MA",121806,0,0,0,0,0,0,0
"Chicago-Naperville-Elgin, IL-IN-WI",2166,0,0,0,0,0,0,0
