msa,Node Count,Edge Count,Degree Average,Edge Length Total (km),Edge Length Average (km),Streets per Node Average,Intersection Count,Street Length Total (km),Street Segment Count,Street Length Average (km),Circuity Average,Self-loop Proportion,Node Density (/sq km),Intersection Density (/sq km),Edge Density (km/sq km),Street Density (km/sq km),Building Area (sq km),Area (sq km),Car Mode Share,Transit Mode Share,Bicycle Mode Share,Walking Mode Share,Working from Home Share,Median Household Income,Households,Employment Rate (%),Unemployment Rate (%),Population,Housing Units,No Vehicles Available,1 Vehicle Available,2 Vehicles Available,3 or More Vehicles Available,GDP ($),Transit Diesel (gal),Transit Gasoline Vehicle Fuel Use (gal),Transit Liquefied Petroleum Gas (GGE),Transit Compressed Natural Gas (GGE),Transit Bio-Diesel (gal),Transit Other Fuel (GGE),Transit Electric Propulsion Vehicle Fuel Use (kWh),Transit Electric Battery Vehicle Fuel Use (kWh),Transit Diesel Vehicle Miles,Transit Gasoline Vehicle Miles,Transit Compressed Natural Gas Vehicle Miles,Transit Other Fuel Vehicle Miles,Transit Electric Propulsion Vehicle Miles,Transit Electric Battery Vehicle Miles,Cooling Degree Days (°Df),Heating Degree Days (°Df),Palmer Z Index,Average Temperature (°F),Precipitation (in),Population Density (/sq km),Built-Up Area Proportion,Cluster
"Ann Arbor, MI",12496.0,31721.0,5.076984635083226,8388.334793999938,0.2644410577850616,2.7586427656850194,10159.0,4447.092615000017,17167.0,259.0489086619687,1.0600540481770675,0.0184656608609541,6.6750450166501984,5.42667912325139,4.480834856328646,2.37552363943164,20.446091597870257,1872.0472998803807,76.68943089430894,4.684010840108401,1.4726287262872628,7.3994579945799455,9.08509485094851,75730,143040,0.613,0.045,368385,151753,11372,50846,55729,25093,34008519.0,314911.0,161055.0,0.0,0.0,588407.0,0.0,0.0,0.0,3769297.0,425464.0,0.0,0.0,0.0,0.0,683.0,6148.0,0.66,49.9,34.88,196.7818868804965,26.196243164163764,7
"Anniston-Oxford, AL",10739.0,27487.0,5.119098612533755,6447.8815099999565,0.2345793105831832,2.646615141074588,8080.0,3334.313133000012,14184.0,235.0756579949247,1.0796032509137057,0.0071912013536379,6.769308928804128,5.093213161815565,4.064410268881064,2.1017781602240286,1.6748064439185255,1586.4248644798015,95.02840609094171,0.6103613592684112,0.0,1.2164987644934424,2.4752370694206847,50128,44572,0.517,0.073,114324,53722,2270,13840,16655,11807,5993886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.0,2456.0,0.87,63.1,68.91,72.06392345438152,16.4092034377264,5
"Appleton, WI",11584.0,30380.0,5.245165745856354,9483.610090000046,0.312166230743912,2.843232044198895,9387.0,4909.793807000009,16384.0,299.6700321655279,1.0479884715953112,0.005615234375,4.298777925134903,3.4834796601555023,3.519331293635949,1.8220056314309128,33.44992959305511,2694.719336923289,90.69695796766014,0.4123450743722006,0.2859557795454725,2.263158310491101,5.71911559090945,70261,94548,0.684,0.03,236834,98471,3616,27064,41755,22113,16058588.0,162056.0,102594.0,0.0,0.0,0.0,0.0,0.0,0.0,809472.0,48032.0,0.0,0.0,0.0,0.0,605.0,7219.0,1.24,46.7,37.985,87.88818811476172,14.81744241443241,5
"Asheville, NC",39255.0,88100.0,4.488600178321233,23134.697787000045,0.2625958886152105,2.301439307094637,24634.0,11965.018655000024,45156.0,264.9707382186204,1.1947501884902387,0.0079945079280715,7.427420555337016,4.660987847667101,4.377305563232045,2.263895694895887,10.784282521444371,5285.145725563243,86.88419528703358,0.4924132398301451,0.2180818936700923,1.9516715769672324,9.390892199307489,54992,190156,0.574,0.032,459344,230794,9351,62106,74457,44242,24166048.0,218878.0,94520.0,20898.0,17646.0,0.0,0.0,0.0,428649.0,930782.0,1452596.0,272970.0,25546.0,0.0,166963.0,609.25,4305.25,1.5175,54.825,70.89750000000001,86.91226767470962,16.206749482556944,3
"Athens-Clarke County, GA",11515.0,28029.0,4.868258792878854,9397.343400999916,0.3352721610118062,2.583673469387755,8571.0,4873.670081000014,14839.0,328.4365577869138,1.0861214025469257,0.0093672080328863,4.306523094756635,3.205489313517943,3.514535508967868,1.822715828054798,16.278567026702095,2673.8507484192937,84.65899312620849,2.063149796013404,0.7714034075378868,3.6150676749577353,7.82741620352092,49503,80156,0.585,0.053,210810,86768,5175,24908,30118,19955,12961126.0,474855.0,16591.0,0.0,0.0,0.0,0.0,0.0,31094.0,1560379.0,86813.0,0.0,0.0,0.0,11007.0,1799.25,2392.0,1.265,63.275,66.15,78.84134898876648,13.215554832750934,5
"Atlanta-Sandy Springs-Alpharetta, GA",250655.0,575914.0,4.5952723863477685,128448.50305699986,0.2230341736040448,2.477213700105723,173864.0,68248.98479499905,310903.0,219.51857909058143,1.0890812833215182,0.0084174163645895,10.945396980942135,7.592150568289178,5.608983892468226,2.980240697881744,445.2676842524541,22900.494192804013,84.11359945648572,2.784164346788626,0.1882829588387353,1.2602254148162877,9.976545756832593,71193,2152319,0.635,0.052,5947008,2330974,122657,692593,844819,492250,472266125.0,4703850.0,1827216.0,0.0,5743447.0,0.0,0.0,84261140.0,0.0,19622806.0,10404027.0,20095547.0,0.0,19751095.0,0.0,1714.2068965517242,2471.172413793104,1.09,62.83793103448276,67.41793103448276,259.6890682764706,27.1078867942294,4
"Atlantic City-Hammonton, NJ",12717.0,33807.0,5.316820004718094,6918.526678000042,0.2046477557310629,2.897538727687348,10507.0,3732.094506999977,18410.0,202.7210487235185,1.0510002610571572,0.0106463878326996,7.221586111836102,5.966596310219543,3.9288146710869447,2.119339613101426,5.7773978524866125,1760.970485300587,84.91055689756479,4.486844682379056,0.4064111771234576,3.701769275967879,4.569269439185219,63680,101103,0.581,0.087,264650,128472,12795,33728,35733,18847,16336159.0,3036.0,73552.0,0.0,0.0,0.0,0.0,0.0,0.0,17617.0,470737.0,0.0,0.0,0.0,0.0,1155.0,4086.0,0.79,56.9,55.73,150.28644841530428,24.0754843044731,5
"Auburn-Opelika, AL",9142.0,21769.0,4.7624152264274775,5782.902417000012,0.2656485101290832,2.4784511047910742,6326.0,3006.1225040000027,11301.0,266.00499991151247,1.0777767976921095,0.0125652597115299,5.712743193802098,3.9530533191853054,3.613677141012746,1.878495501472472,4.330159621106172,1600.2819818539,91.5077873254565,0.625671321160043,0.2886680988184747,2.293233082706767,4.473684210526316,52930,60731,0.569,0.047,163461,70256,2671,17909,24766,15385,8330773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,2158.0,1.23,64.3,71.43,102.1451230805168,16.086085026322685,5
"Augusta-Richmond County, GA-SC",37974.0,94149.0,4.958603254858588,30318.88045800005,0.3220308283465576,2.6260336019381683,28632.0,15798.563057000028,49810.0,317.17653196145403,1.083787966107795,0.0089540252961252,4.09306863524814,3.08613106768907,3.2679533011660027,1.702865195412566,31.32629074635549,9277.635775022338,91.41923058003532,0.7299159593910934,0.1388694438032821,1.406478808220163,4.6901546483424585,55049,217664,0.5379999999999999,0.071,605303,260764,15203,70454,79552,52455,36184254.0,163110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743806.0,0.0,0.0,0.0,0.0,0.0,2169.714285714286,1946.428571428572,0.8200000000000001,65.52857142857142,56.93571428571429,65.2432381134883,13.135191224595347,4
"Austin-Round Rock-Georgetown, TX",87049.0,214823.0,4.935679904421647,47402.74931599899,0.2206595630635406,2.704901836896461,67750.0,25931.301052000323,117895.0,219.9525090292236,1.0787937397568508,0.0038763306331905,7.855598299273483,6.113990795710215,4.277785579474192,2.340128943951595,152.28661676244275,11081.141968276386,81.96114362158447,1.7046152291850474,0.6879601315824999,1.915035747972656,12.51644998985348,80852,796315,0.675,0.046,2173804,856586,34799,266847,335968,158701,190452006.0,5144301.0,579775.0,0.0,0.0,0.0,0.0,0.0,28923.0,20617444.0,4259674.0,0.0,0.0,0.0,0.0,3060.4,1368.0,-0.522,69.53999999999999,32.79,196.17147819450997,17.398162213312748,4
