MSA,GDP
"Kahului-Wailuku-Lahaina, HI ",10008680
"Kalamazoo-Portage, MI ",17292061
"Kankakee, IL ",7022747
"Kansas City, MO-KS ",160572025
"Kennewick-Richland, WA ",18627312
"Killeen-Temple, TX ",28041731
"Kingsport-Bristol, TN-VA  *",15427121
"Kingston, NY ",9263227
"Knoxville, TN ",53498611
"Kokomo, IN ",4574436
"La Crosse-Onalaska, WI-MN ",9478267
"Lafayette, LA ",23922489
"Lafayette-West Lafayette, IN ",14088315
"Lake Charles, LA ",14719679
"Lake Havasu City-Kingman, AZ ",6923285
"Lakeland-Winter Haven, FL ",32489372
"Lancaster, PA ",32132352
"Lansing-East Lansing, MI ",33090213
"Laredo, TX ",12938879
"Las Cruces, NM ",10388459
"Las Vegas-Henderson-Paradise, NV ",137547882
"Lawrence, KS ",6790190
"Lawton, OK ",8058913
"Lebanon, PA ",6970289
"Lewiston, ID-WA ",3428552
"Lewiston-Auburn, ME ",5807880
"Lexington-Fayette, KY ",35972245
"Lima, OH ",8352629
"Lincoln, NE ",25595311
"Little Rock-North Little Rock-Conway, AR ",47478489
"Logan, UT-ID ",7758260
"Longview, TX ",15720648
"Longview, WA ",6282769
"Los Angeles-Long Beach-Anaheim, CA ",1135421878
"Louisville/Jefferson County, KY-IN ",84457315
"Lubbock, TX ",18609542
"Lynchburg, VA  *",11778767
"Macon-Bibb County, GA ",11981608
"Madera, CA ",7604149
"Madison, WI ",60778348
"Manchester-Nashua, NH ",31311246
"Manhattan, KS ",10579529
"Mankato, MN ",6562180
"Mansfield, OH ",5354476
"McAllen-Edinburg-Mission, TX ",28254927
"Medford, OR ",11247244
"Memphis, TN-MS-AR ",90066296
"Merced, CA ",11428445
"Miami-Fort Lauderdale-Pompano Beach, FL ",412900083
"Michigan City-La Porte, IN ",4698427
"Midland, MI ",6160501
"Midland, TX ",23859990
"Milwaukee-Waukesha, WI ",113594718
"Minneapolis-St. Paul-Bloomington, MN-WI ",302072844
"Missoula, MT ",7107095
"Mobile, AL ",24926602
"Modesto, CA ",27120256
"Monroe, LA ",9413766
"Monroe, MI ",6376529
"Montgomery, AL ",23747629
"Morgantown, WV ",9848493
"Morristown, TN ",6161758
"Mount Vernon-Anacortes, WA ",8085909
"Muncie, IN ",5122779
"Muskegon, MI ",6854257
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC ",22490898
"Napa, CA ",12433826
