Cluster,Cluster Name,Emissions per capita (MTCO2e),msa,Variable,Value
4,Auto Large,5.239030933228603,"Cleveland-Elyria, OH",Population Density (/sq km),199.44861542721256
3,Sparse Auto,6.620857090863089,"Coeur d'Alene, ID",Population Density (/sq km),47.40904484059794
3,Sparse Auto,5.735068116774824,"College Station-Bryan, TX",Population Density (/sq km),47.24815601661159
3,Sparse Auto,4.0650330202961555,"Colorado Springs, CO",Population Density (/sq km),105.67812735952796
3,Sparse Auto,6.9474179207980296,"Columbia, MO",Population Density (/sq km),46.269851495110935
4,Auto Large,6.189623940247864,"Columbia, SC",Population Density (/sq km),83.86727905145486
3,Sparse Auto,6.038034603580465,"Columbus, GA-AL",Population Density (/sq km),43.832585938719625
5,Auto Small,8.092349363775686,"Columbus, IN",Population Density (/sq km),78.36628460378907
4,Auto Large,5.018529835475418,"Columbus, OH",Population Density (/sq km),167.28730619533275
3,Sparse Auto,6.196104052943694,"Corpus Christi, TX",Population Density (/sq km),82.36824962573328
1,Sparse Active,3.2568044344773206,"Corvallis, OR",Population Density (/sq km),52.41165039396516
3,Sparse Auto,7.720934569786481,"Crestview-Fort Walton Beach-Destin, FL",Population Density (/sq km),46.34063653511838
5,Auto Small,4.833162484605701,"Cumberland, MD-WV",Population Density (/sq km),50.05683761438599
4,Auto Large,4.665452039086198,"Dallas-Fort Worth-Arlington, TX",Population Density (/sq km),319.54679427395257
5,Auto Small,6.713757328033229,"Dalton, GA",Population Density (/sq km),87.11289816471808
5,Auto Small,5.729877881090719,"Danville, IL",Population Density (/sq km),32.88450155594533
3,Sparse Auto,9.654314156515747,"Daphne-Fairhope-Foley, AL",Population Density (/sq km),41.59061585556429
1,Sparse Active,5.574919113799141,"Davenport-Moline-Rock Island, IA-IL",Population Density (/sq km),63.416427500269855
3,Sparse Auto,4.942568688982381,"Dayton-Kettering, OH",Population Density (/sq km),240.9442874113365
5,Auto Small,7.73070300442992,"Decatur, AL",Population Density (/sq km),44.737721441952566
5,Auto Small,5.6670187986381215,"Decatur, IL",Population Density (/sq km),68.99529049518883
3,Sparse Auto,6.111431445666809,"Deltona-Daytona Beach-Ormond Beach, FL",Population Density (/sq km),127.16881900090608
4,Auto Large,5.387551266032284,"Des Moines-West Des Moines, IA",Population Density (/sq km),73.1864666905719
4,Auto Large,3.9872664188339844,"Detroit-Warren-Dearborn, MI",Population Density (/sq km),397.0547430827836
3,Sparse Auto,6.873509854278803,"Dothan, AL",Population Density (/sq km),33.22417212163141
4,Auto Large,4.830602945612652,"Dover, DE",Population Density (/sq km),86.67029040185363
5,Auto Small,5.22075903239457,"Dubuque, IA",Population Density (/sq km),60.95213960777294
4,Auto Large,7.701986078209474,"Duluth, MN-WI",Population Density (/sq km),9.93282043847055
3,Sparse Auto,5.353667753997634,"Durham-Chapel Hill, NC",Population Density (/sq km),104.59755954253694
5,Auto Small,4.830968100529345,"East Stroudsburg, PA",Population Density (/sq km),105.60480934634695
3,Sparse Auto,7.743743487337159,"Eau Claire, WI",Population Density (/sq km),38.54363704554275
3,Sparse Auto,9.039659053730142,"El Centro, CA",Population Density (/sq km),15.55507212517112
4,Auto Large,5.349598826800237,"El Paso, TX",Population Density (/sq km),58.23718551303062
5,Auto Small,6.794204161989231,"Elizabethtown-Fort Knox, KY",Population Density (/sq km),48.37748427321521
5,Auto Small,6.952711291250893,"Elkhart-Goshen, IN",Population Density (/sq km),169.5896183747346
5,Auto Small,5.104260393181227,"Elmira, NY",Population Density (/sq km),79.02055052160007
3,Sparse Auto,5.5737281201315065,"Enid, OK",Population Density (/sq km),22.43046030084688
1,Sparse Active,4.307969648379507,"Erie, PA",Population Density (/sq km),67.59893265156164
1,Sparse Active,5.026956204611711,"Eugene-Springfield, OR",Population Density (/sq km),30.910262564391413
3,Sparse Auto,7.118906492100415,"Evansville, IN-KY",Population Density (/sq km),80.5647544585119
3,Sparse Auto,8.012731670845499,"Fargo, ND-MN",Population Density (/sq km),33.334274369773226
3,Sparse Auto,6.32440637612793,"Farmington, NM",Population Density (/sq km),8.721460614019577
3,Sparse Auto,4.329363490882602,"Fayetteville, NC",Population Density (/sq km),122.0956061700435
3,Sparse Auto,4.9190378947445055,"Fayetteville-Springdale-Rogers, AR",Population Density (/sq km),76.08379300456579
1,Sparse Active,13.056576781339958,"Flagstaff, AZ",Population Density (/sq km),2.945933628604638
7,Dense Active,4.3771015421960335,"Flint, MI",Population Density (/sq km),241.7002325675828
3,Sparse Auto,6.729650647115809,"Florence, SC",Population Density (/sq km),57.760710103465954
5,Auto Small,6.6107105895565885,"Florence-Muscle Shoals, AL",Population Density (/sq km),42.532495685324
5,Auto Small,7.478514979823569,"Fond du Lac, WI",Population Density (/sq km),51.75255242311941
1,Sparse Active,4.605955170213604,"Fort Collins, CO",Population Density (/sq km),51.40091537599224
3,Sparse Auto,7.438802066656409,"Fort Smith, AR-OK",Population Density (/sq km),38.90689036263397
5,Auto Small,6.581911696270895,"Fort Wayne, IN",Population Density (/sq km),158.4263985053856
4,Auto Large,5.298647007777657,"Fresno, CA",Population Density (/sq km),63.57081398271399
5,Auto Small,6.461529321035506,"Gadsden, AL",Population Density (/sq km),72.30924128994279
3,Sparse Auto,6.87983051948396,"Gainesville, FL",Population Density (/sq km),46.18807473538653
5,Auto Small,6.14147007866239,"Gainesville, GA",Population Density (/sq km),181.0115268617642
5,Auto Small,5.038324654644315,"Gettysburg, PA",Population Density (/sq km),75.93686288359632
1,Sparse Active,5.52198665067417,"Glens Falls, NY",Population Density (/sq km),27.27368903629888
5,Auto Small,4.606188837792648,"Goldsboro, NC",Population Density (/sq km),85.69141540893048
1,Sparse Active,9.883473253442334,"Grand Forks, ND-MN",Population Density (/sq km),11.423017642895578
3,Sparse Auto,10.690637098922567,"Grand Island, NE",Population Density (/sq km),17.9790574993952
1,Sparse Active,4.721965840989233,"Grand Junction, CO",Population Density (/sq km),17.660169444753016
3,Sparse Auto,4.612096790793935,"Grand Rapids-Kentwood, MI",Population Density (/sq km),150.2409232578639
1,Sparse Active,5.54995413979656,"Grants Pass, OR",Population Density (/sq km),20.507216904555182
1,Sparse Active,5.6130099461611715,"Great Falls, MT",Population Density (/sq km),11.617940172416644
3,Sparse Auto,5.531836783748051,"Green Bay, WI",Population Density (/sq km),65.04500374526744
3,Sparse Auto,5.332766818962245,"Greensboro-High Point, NC",Population Density (/sq km),146.7578528031462
5,Auto Small,4.123972683795411,"Greenville, NC",Population Density (/sq km),105.97800703996828
4,Auto Large,5.309442740547294,"Greenville-Anderson, SC",Population Density (/sq km),125.80890996607268
3,Sparse Auto,7.515494463286443,"Gulfport-Biloxi, MS",Population Density (/sq km),52.78021623964089
5,Auto Small,6.174254098149316,"Hagerstown-Martinsburg, MD-WV",Population Density (/sq km),108.3942530968723
1,Sparse Active,6.347121697586409,"Hanford-Corcoran, CA",Population Density (/sq km),41.87866056733508
3,Sparse Auto,5.9673538352136575,"Harrisburg-Carlisle, PA",Population Density (/sq km),133.12674179073343
3,Sparse Auto,4.563979142380444,"Hartford-East Hartford-Middletown, CT",Population Density (/sq km),297.2420529767038
3,Sparse Auto,7.471478610192212,"Hattiesburg, MS",Population Density (/sq km),31.967952188956485
3,Sparse Auto,5.499577472573777,"Hickory-Lenoir-Morganton, NC",Population Density (/sq km),85.17040420746788
3,Sparse Auto,7.198667567428218,"Hilton Head Island-Bluffton, SC",Population Density (/sq km),53.265995967939055
3,Sparse Auto,7.0264810438690395,"Hinesville, GA",Population Density (/sq km),31.214713789204207
7,Dense Active,5.091160691255167,"Homosassa Springs, FL",Population Density (/sq km),73.87684635947072
5,Auto Small,4.9175546671767725,"Hot Springs, AR",Population Density (/sq km),52.09749110873331
4,Auto Large,4.7749743707774535,"Houston-The Woodlands-Sugar Land, TX",Population Density (/sq km),269.75578483994764
3,Sparse Auto,5.066502888486467,"Huntington-Ashland, WV-KY-OH",Population Density (/sq km),54.75487416584492
3,Sparse Auto,6.69200761875749,"Huntsville, AL",Population Density (/sq km),126.5167663352283
3,Sparse Auto,6.766059974417556,"Idaho Falls, ID",Population Density (/sq km),10.974404512426512
4,Auto Large,6.627093410123633,"Indianapolis-Carmel-Anderson, IN",Population Density (/sq km),182.5482131949751
1,Sparse Active,6.319585647538596,"Iowa City, IA",Population Density (/sq km),55.90378055859368
7,Dense Active,3.2474157477929055,"Ithaca, NY",Population Density (/sq km),80.30211438114947
7,Dense Active,4.878016116062459,"Jackson, MI",Population Density (/sq km),99.2530840494888
4,Auto Large,7.494294727899515,"Jackson, MS",Population Density (/sq km),41.86159783016956
3,Sparse Auto,7.041224184684516,"Jackson, TN",Population Density (/sq km),40.23745086883781
4,Auto Large,6.390870313467058,"Jacksonville, FL",Population Density (/sq km),160.23028421004688
5,Auto Small,4.153461734572535,"Jacksonville, NC",Population Density (/sq km),84.5767838224397
5,Auto Small,6.469200722778697,"Janesville-Beloit, WI",Population Density (/sq km),86.41930064167671
3,Sparse Auto,8.44693409277478,"Jefferson City, MO",Population Density (/sq km),25.727340760057004
5,Auto Small,5.12198168669729,"Johnson City, TN",Population Density (/sq km),90.75812132056926
5,Auto Small,4.315615616611618,"Johnstown, PA",Population Density (/sq km),73.24710799954049
3,Sparse Auto,7.036088029071533,"Jonesboro, AR",Population Density (/sq km),34.71822268894788
3,Sparse Auto,7.928398184582309,"Joplin, MO",Population Density (/sq km),54.44395559033272
5,Auto Small,5.1773541212677,"Kankakee, IL",Population Density (/sq km),62.296031441731294
4,Auto Large,6.0564024793265885,"Kansas City, MO-KS",Population Density (/sq km),112.57608564989252
1,Sparse Active,5.417903540258031,"Kennewick-Richland, WA",Population Density (/sq km),87.4274073205879
3,Sparse Auto,5.575046300408085,"Killeen-Temple, TX",Population Density (/sq km),61.1478662567452
5,Auto Small,5.232441587578223,"Kingston, NY",Population Density (/sq km),59.305906446034186
4,Auto Large,7.154161862868689,"Knoxville, TN",Population Density (/sq km),99.42989862402922
5,Auto Small,5.409910377213027,"Kokomo, IN",Population Density (/sq km),108.45715281744566
5,Auto Small,5.80417549986919,"La Crosse-Onalaska, WI-MN",Population Density (/sq km),50.38236766066253
3,Sparse Auto,6.9527252652987945,"Lafayette-West Lafayette, IN",Population Density (/sq km),53.92595232228284
3,Sparse Auto,8.851246763495178,"Lake Havasu City-Kingman, AZ",Population Density (/sq km),6.043442908195583
3,Sparse Auto,5.759052890469897,"Lakeland-Winter Haven, FL",Population Density (/sq km),135.63103900680576
5,Auto Small,4.618823856636247,"Lancaster, PA",Population Density (/sq km),213.20420764665224
3,Sparse Auto,4.772400254048819,"Lansing-East Lansing, MI",Population Density (/sq km),100.59842174086536
3,Sparse Auto,5.088235082185966,"Laredo, TX",Population Density (/sq km),31.472389561709186
4,Auto Large,4.872242041270587,"Las Vegas-Henderson-Paradise, NV",Population Density (/sq km),106.92353255933848
5,Auto Small,4.859687588199185,"Lawrence, KS",Population Density (/sq km),98.63861722439545
3,Sparse Auto,5.067774285188241,"Lawton, OK",Population Density (/sq km),28.41546319776242
5,Auto Small,5.265368068147336,"Lebanon, PA",Population Density (/sq km),149.63042406698918
1,Sparse Active,5.748910398365674,"Lewiston, ID-WA",Population Density (/sq km),16.267723275628278
5,Auto Small,4.3994666308089565,"Lewiston-Auburn, ME",Population Density (/sq km),83.89271765467652
1,Sparse Active,6.179770309039858,"Lexington-Fayette, KY",Population Density (/sq km),133.82064989131553
