msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration,GDP,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Ann Arbor, MI",12496.0,31721.0,5.076984635083226,8388.334793999938,0.2644410577850616,2.7586427656850194,10159.0,4447.092615000017,17167.0,259.0489086619687,1.0600540481770675,0.0184656608609541,6.6750450166501984,5.42667912325139,4.480834856328646,2.37552363943164,20.446091597870257,1872.0472998803812,1772430.93598574,131.09946233885998,22.4233873029,76.68943089430894,4.684010840108401,1.4726287262872628,7.3994579945799455,0.6693766937669376,9.08509485094851,"75,730","143,040",0.613,0.045,"368,385","151,753","11,372","50,846","55,729","25,093",871,"5,538","23,275","2,631","15,464","5,995","3,307","7,781","23,135","71,226","18,046","7,330","4,119",34008519.0,314911.0,161055.0,0.0,0.0,588407.0,0.0,0.0,0.0,3769297.0,425464.0,0.0,0.0,0.0,0.0,0.0
"Anniston-Oxford, AL",10739.0,27487.0,5.119098612533755,6447.8815099999565,0.2345793105831832,2.646615141074588,8080.0,3334.313133000012,14184.0,235.0756579949247,1.0796032509137057,0.0071912013536379,6.769308928804128,5.093213161815565,4.064410268881064,2.1017781602240286,1.6748064439185255,1586.4248644798015,828713.50013185,77.64011208769999,14.1979113218,95.02840609094171,0.6103613592684112,0.0,1.2164987644934424,0.6694967158757312,2.4752370694206847,"50,128","44,572",0.517,0.073,"114,324","53,722","2,270","13,840","16,655","11,807",626,"2,487","8,659","1,260","6,315","2,074",599,"1,821","3,318","10,856","4,068","2,115","3,707",5993886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Appleton, WI",11584.0,30380.0,5.245165745856354,9483.610090000046,0.31216623074391203,2.843232044198895,9387.0,4909.793807000009,16384.0,299.6700321655279,1.0479884715953112,0.005615234375,4.298777925134903,3.4834796601555023,3.5193312936359495,1.8220056314309132,33.44992959305511,2694.719336923289,697640.772284768,68.42413655455,8.828146854159499,90.69695796766014,0.4123450743722006,0.2859557795454725,2.263158310491101,0.6224672770216363,5.71911559090945,"70,261","94,548",0.684,0.03,"236,834","98,471","3,616","27,064","41,755","22,113","2,131","9,223","29,710","4,504","13,543","4,929","1,542","8,455","10,242","26,145","9,149","5,455","3,421",16058588.0,162056.0,102594.0,0.0,0.0,0.0,0.0,0.0,0.0,809472.0,48032.0,0.0,0.0,0.0,0.0,0.0
"Asheville, NC",39255.0,88100.0,4.488600178321233,23134.697787000045,0.26259588861521055,2.301439307094637,24634.0,11965.018655000024,45156.0,264.9707382186204,1.1947501884902387,0.0079945079280715,7.427420555337016,4.660987847667101,4.377305563232045,2.263895694895887,10.784282521444371,5285.145725563243,714389.9452799268,74.60151526277551,14.776088303544249,86.88419528703358,0.4924132398301451,0.2180818936700923,1.9516715769672324,1.062745803191465,9.390892199307489,"54,992","190,156",0.574,0.032,"459,344","230,794","9,351","62,106","74,457","44,242","2,401","16,261","24,161","4,042","28,326","7,095","2,788","10,883","21,264","55,580","28,282","12,240","7,248",24166048.0,218878.0,94520.0,20898.0,17646.0,0.0,0.0,0.0,428649.0,930782.0,1452596.0,0.0,272970.0,25546.0,0.0,166963.0
"Athens-Clarke County, GA",11515.0,28029.0,4.868258792878854,9397.343400999916,0.33527216101180624,2.583673469387755,8571.0,4873.670081000014,14839.0,328.4365577869138,1.0861214025469257,0.0093672080328863,4.306523094756635,3.205489313517943,3.514535508967868,1.8227158280547981,16.278567026702095,2673.8507484192937,308679.42754022096,25.632491377691075,5.773133597557777,84.65899312620849,2.0631497960134038,0.7714034075378868,3.6150676749577353,1.0639697917615736,7.82741620352092,"49,503","80,156",0.585,0.053,"210,810","86,768","5,175","24,908","30,118","19,955","1,204","4,941","8,660","2,412","11,334","4,193","1,188","4,683","10,733","32,028","11,326","4,643","3,734",12961126.0,474855.0,16591.0,0.0,0.0,0.0,0.0,0.0,31094.0,1560379.0,86813.0,0.0,0.0,0.0,0.0,11007.0
"Atlanta-Sandy Springs-Alpharetta, GA",250655.0,575914.0,4.5952723863477685,128448.50305699986,0.22303417360404482,2.477213700105723,173864.0,68248.98479499905,310903.0,219.51857909058143,1.0890812833215182,0.0084174163645895,10.945396980942135,7.592150568289178,5.608983892468226,2.9802406978817433,445.2676842524541,22900.494192804013,1296593.2475849036,97.80218504219876,18.937981227408414,84.11359945648572,2.784164346788626,0.1882829588387353,1.2602254148162877,1.6771820662380414,9.976545756832593,"71,193","2,152,319",0.635,0.052,"5,947,008","2,330,974","122,657","692,593","844,819","492,250","10,314","193,951","254,540","93,138","327,823","211,081","86,319","217,361","456,585","581,083","270,451","140,715","118,817",472266125.0,4703850.0,1827216.0,0.0,5743447.0,0.0,0.0,84261140.0,0.0,19622806.0,10404027.0,0.0,20095547.0,0.0,19751095.0,0.0
"Atlantic City-Hammonton, NJ",12717.0,33807.0,5.316820004718094,6918.526678000042,0.2046477557310629,2.897538727687348,10507.0,3732.094506999977,18410.0,202.72104872351852,1.0510002610571572,0.0106463878326996,7.221586111836102,5.966596310219543,3.9288146710869447,2.119339613101426,5.7773978524866125,1760.970485300587,1303599.1996146801,121.0468342653,16.8093077123,84.91055689756479,4.486844682379056,0.4064111771234576,3.701769275967879,1.9251485277795917,4.569269439185219,"63,680","101,103",0.581,0.087,"264,650","128,472","12,795","33,728","35,733","18,847",434,"7,854","5,585","2,431","14,934","5,559","1,559","5,838","11,258","30,535","27,220","5,648","6,581",16336159.0,3036.0,73552.0,0.0,0.0,0.0,0.0,0.0,0.0,17617.0,470737.0,0.0,0.0,0.0,0.0,0.0
"Auburn-Opelika, AL",9142.0,21769.0,4.7624152264274775,5782.902417000012,0.2656485101290832,2.4784511047910742,6326.0,3006.1225040000027,11301.0,266.00499991151247,1.0777767976921095,0.0125652597115299,5.712743193802098,3.9530533191853054,3.613677141012746,1.8784955014724718,4.330159621106172,1600.2819818539,1123487.97593438,68.0120362694,15.622971954,91.5077873254565,0.625671321160043,0.2886680988184747,2.293233082706767,0.8109559613319013,4.473684210526316,"52,930","60,731",0.569,0.047,"163,461","70,256","2,671","17,909","24,766","15,385",480,"3,969","9,751","1,037","7,707","2,814",921,"5,144","7,068","23,599","6,772","3,252","2,914",8330773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Augusta-Richmond County, GA-SC",37974.0,94149.0,4.958603254858588,30318.880458000058,0.32203082834655766,2.6260336019381683,28632.0,15798.563057000027,49810.0,317.17653196145403,1.083787966107795,0.0089540252961252,4.09306863524814,3.08613106768907,3.2679533011660027,1.702865195412566,31.32629074635549,9277.635775022338,563231.1102350493,47.08811511087357,9.653883452646571,91.41923058003532,0.7299159593910934,0.1388694438032821,1.406478808220163,1.615350560207661,4.6901546483424585,"55,049","217,664",0.5379999999999999,0.071,"605,303","260,764","15,203","70,454","79,552","52,455","3,013","17,763","29,341","4,615","28,990","16,444","3,633","11,701","29,954","60,300","24,464","12,728","15,615",36184254.0,163110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743806.0,0.0,0.0,0.0,0.0,0.0,0.0
"Austin-Round Rock-Georgetown, TX",87049.0,214823.0,4.935679904421647,47402.74931599899,0.22065956306354065,2.704901836896461,67750.0,25931.301052000323,117895.0,219.9525090292236,1.0787937397568508,0.0038763306331905,7.855598299273483,6.113990795710215,4.277785579474192,2.340128943951595,152.28661676244275,11081.141968276386,2057588.8001488,132.14833251674,28.097921154939996,81.96114362158447,1.7046152291850474,0.6879601315824999,1.915035747972656,1.214795279821839,12.51644998985348,"80,852","796,315",0.675,0.046,"2,173,804","856,586","34,799","266,847","335,968","158,701","9,062","89,398","92,412","25,015","121,803","47,373","35,881","82,395","197,219","236,667","108,137","55,276","65,998",190452006.0,5144301.0,579775.0,0.0,0.0,0.0,0.0,0.0,28923.0,20617444.0,4259674.0,0.0,0.0,0.0,0.0,0.0
