msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration,GDP,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"El Paso, TX",36058.0,94407.0,5.2363969160796495,27296.01337999995,0.2891312442933252,2.901575239891286,30026.0,14781.606420000096,52297.0,282.64731093561954,1.0669891709963886,0.0018739124615178,2.495141926027811,2.077739516082729,1.8888298684856055,1.0228577822559235,15.667358756910556,14451.28215908873,2459361.0624238504,165.05547301640001,34.45297256265,90.58021412338108,1.29322855343501,0.1388242381095808,1.4260288601078832,2.150817337969935,4.410886886996523,"48,193","274,789",0.5579999999999999,0.062,"841,602","300,662","19,021","86,427","101,611","67,730","3,888","25,125","23,612","9,239","42,005","24,539","6,362","16,331","37,683","94,598","34,556","14,481","23,752",44305417.0,0.0,0.0,0.0,2289191.0,0.0,0.0,427974.0,0.0,0.0,0.0,0.0,8826928.0,0.0,60022.0,0.0
"Elizabethtown-Fort Knox, KY",9789.0,23366.0,4.77392992134028,8848.936064000007,0.37870992313618107,2.500255388701604,6822.0,4643.347918000022,12207.0,380.384035225692,1.0888678119430135,0.012124191037929,3.109947092763118,2.1673367112912443,2.811290528785732,1.4751829970652617,2.8226586483798632,3147.6419720384038,376891.85959378834,24.445343141832335,4.9220289186,92.39718147828587,0.2861662352602818,0.1639344262295081,1.7644521138912856,1.1691113028472822,4.219154443485763,"56,680","58,528",0.557,0.06,"152,275","65,903","2,679","17,586","21,779","16,484",620,"4,211","10,600","1,158","7,804","4,262","1,311","3,222","5,166","13,975","6,137","3,300","5,153",8479291.0,5240.0,176637.0,0.0,0.0,0.0,0.0,0.0,0.0,35311.0,1152757.0,0.0,0.0,0.0,0.0,0.0
"Elkhart-Goshen, IN",8987.0,23967.0,5.333704239456994,6075.715036000022,0.25350336028706233,2.766440413931234,7078.0,3150.9727869999842,12389.0,254.3363295665497,1.048368062175748,0.0074259423682298,7.427976354558543,5.850140941088835,5.02172778729765,2.604356443272873,14.399989080850016,1209.8853807584735,1558138.28965041,140.6260794575,20.2080783778,91.69887570592198,0.2891041914926688,1.1626340604113776,1.7802186415211647,1.0548676234392,4.014299777213616,"58,509","72,362",0.637,0.044,"205,184","79,389","5,967","22,063","27,883","16,449","1,088","4,779","33,913","2,692","10,717","3,866",899,"3,190","5,497","18,734","7,101","4,588","1,673",16809776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Elmira, NY",4060.0,10714.0,5.277832512315271,3643.9543709999816,0.3401114775994009,2.774137931034483,3262.0,1904.6286559999983,5590.0,340.7206898032197,1.07694694993006,0.0076923076923076,3.814104917288192,3.064436019752237,3.4232572130061163,1.789274266615171,9.168683254876523,1064.469931489624,469129.69794501,36.841843346429,5.895294292899999,90.21523725641308,1.4422547616426291,0.4293735549928438,3.217549267863041,1.0459099416492348,3.649675217439172,"54,883","34,328",0.5479999999999999,0.059,"84,115","38,983","3,429","12,878","12,227","5,794",472,"1,829","5,408",618,"4,809","1,834",575,"1,620","2,479","10,702","3,099","1,852","2,112",4458522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Enid, OK",4996.0,14594.0,5.842273819055245,7038.374335000004,0.48227863060161735,3.0384307445956766,4200.0,3620.384007999998,7525.0,481.1141538870429,1.0164512673910464,0.0030564784053156,1.820527652717586,1.530467602364664,2.5647628316743907,1.319257245800745,1.5629311900262297,2744.2593319262355,373603.0917882,40.4626731932,8.0813300844,92.40115025161754,0.3666427030913012,0.5463695183321351,1.1250898634076203,1.588785046728972,3.9719626168224296,"55,435","23,709",0.573,0.051,"61,555","26,776","1,075","7,982","9,485","5,167","2,006","1,751","2,931",680,"3,480","1,640",164,858,"1,626","5,999","2,664","1,857","1,648",3188161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Erie, PA",10375.0,28802.0,5.5521927710843375,8667.464752999946,0.3009327391500572,2.9624096385542167,9018.0,4579.331558999989,15415.0,297.0698384041511,1.0461211813043014,0.0112228349010703,2.578015946788234,2.240823885121571,2.153721672429765,1.1378881720224192,13.180903809326756,4024.4126545941153,1276314.8374467702,164.6522753818,24.9781312101,89.24749393140267,1.4903345994725763,0.3233897047556835,3.197606432309938,1.1588803135509158,4.582295018508214,"52,863","110,388",0.569,0.054,"272,046","121,613","11,699","40,802","40,289","17,598","1,116","6,383","19,948","2,748","13,434","5,462","1,287","8,206","8,641","35,137","13,168","6,328","3,740",13330354.0,305979.0,187707.0,0.0,133824.0,0.0,0.0,0.0,0.0,1304163.0,938606.0,0.0,585687.0,0.0,0.0,0.0
"Eugene-Springfield, OR",19981.0,48470.0,4.8516090285771485,18086.616894999912,0.3731507508768292,2.496671838246334,13768.0,9223.722685999996,24933.0,369.9403475714914,1.215594056734668,0.0045722536397545,1.6349956089866675,1.1266012484124135,1.4799829440342789,0.7547543211110906,22.565859745450943,12220.827927717652,2063600.6304765,252.9684871996,56.405607045,79.90935860863163,2.876253795895831,3.303579644796172,4.37448237784117,1.0392702677831969,8.497055305051992,"54,942","154,516",0.5579999999999999,0.071,"377,749","163,617","12,321","51,510","55,769","34,916","4,103","10,505","17,582","5,232","21,977","6,743","2,221","9,213","18,473","47,517","17,780","8,591","6,860",20232872.0,825156.0,151510.0,0.0,0.0,0.0,0.0,0.0,61087.0,3383204.0,1152004.0,0.0,0.0,0.0,0.0,31841.0
"Evansville, IN-KY",17940.0,46366.0,5.169007803790413,14054.670461000016,0.3031244977138424,2.692586399108138,13613.0,7387.666107,24107.0,306.4531508275605,1.0672652342216498,0.0061807773675695,4.585646871960378,3.479621564548307,3.5925170365617975,1.8883627633585425,5.695687476452109,3912.207045356416,612976.1883148872,46.280850390060294,7.683806666674999,92.52729023972604,0.8922838184931506,0.1170537243150684,2.1317155393835616,1.0501391267123288,3.2815175513698627,"55,553","129,824",0.601,0.044,"315,186","142,916","8,104","42,130","49,278","30,312","1,963","9,329","27,133","4,394","17,114","8,729","2,429","7,334","12,459","36,396","14,053","7,225","3,780",20128555.0,209550.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,1072693.0,0.0,0.0,1674.0,0.0,0.0,0.0
"Fargo, ND-MN",11470.0,32019.0,5.58308631211857,16722.478055999894,0.5222673430150815,3.062772449869224,10011.0,8791.460622999992,17517.0,501.881636296169,1.0326496250228017,0.0033681566478278,1.5672025078137894,1.3678521626611897,2.284874415538282,1.2012205000620548,20.91615428873188,7318.773383026537,1068453.076647568,82.9900063898415,11.935706947749999,89.48411114578269,0.9259729610089912,0.4564553232559996,2.5377174331100645,1.2779297682890545,5.317813368553203,"65,995","101,722",0.722,0.031,"243,966","110,404","6,507","30,400","43,741","21,074","3,032","10,399","11,320","4,465","15,874","6,021","1,660","10,793","13,040","40,397","12,375","5,758","4,232",17576032.0,217202.0,43782.0,0.0,0.0,0.0,0.0,0.0,0.0,1031585.0,281829.0,0.0,0.0,0.0,0.0,0.0
"Farmington, NM",15227.0,36902.0,4.846916661193932,19478.288104000152,0.5278382771665533,2.51796151572864,10724.0,10051.603546999955,19159.0,524.6413459470723,1.1048708104874274,0.0065765436609426,1.0572708805941986,0.7446097670908377,1.3524546408474252,0.6979226199199065,6.130189814553781,14402.174768534482,867006.199333149,72.14321051979,13.935897412,93.67045575268246,0.3420801019866142,0.0701157973016041,2.2798257728673117,0.526930840327207,3.1105917348348027,"47,643","43,582",0.498,0.0819999999999999,"125,608","51,299","2,343","13,583","16,239","11,417","5,552","3,483","1,582",900,"5,723","3,514",464,"1,558","2,868","12,509","4,716","2,302","2,822",6471476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fayetteville, NC",28238.0,67345.0,4.769813726184574,17358.309256999783,0.2577520121315582,2.516077625894185,19787.0,9147.12094599997,35489.0,257.7452434838956,1.0669379118327516,0.0083969680746146,6.586184242052586,4.615087031570739,4.048623234546622,2.133459304295423,21.41226171990703,4287.459773703448,824282.7389861406,65.24869203894566,14.246502376530401,89.85227589459917,0.4716879998284771,0.0990544799639802,3.872558478591797,1.498681417636843,4.205741729379731,"50,133","192,505",0.497,0.075,"523,480","220,640","11,867","67,007","70,227","43,404","1,912","13,555","19,094","3,362","28,207","9,359","2,964","7,733","16,976","50,106","20,604","9,469","17,466",33475049.0,257652.0,70719.0,43674.0,0.0,0.0,0.0,0.0,0.0,1138097.0,63038.0,0.0,0.0,387412.0,0.0,0.0
"Fayetteville-Springdale-Rogers, AR",33165.0,81981.0,4.943826322930801,24540.541436000705,0.29934425581538043,2.5343283582089557,23962.0,12564.657411999944,42007.0,299.1086583664614,1.1168054958859968,0.0091889446996929,4.796263445605359,3.465341917189676,3.5490095529882044,1.8170784577635983,23.323080301797315,6914.7577851228925,942097.5788136435,68.54491160988434,13.897503606899997,90.8256807633314,0.3629409772713691,0.4127407820561343,1.3991753152327642,0.535447501045796,6.464014661062528,"61,761","194,800",0.623,0.035,"526,101","211,669","7,967","58,320","81,006","47,507","3,333","19,261","34,646","6,963","43,431","13,821","2,463","11,021","24,586","54,816","21,220","11,705","6,532",33178749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Flagstaff, AZ",13528.0,33471.0,4.948403311649911,26433.157605000113,0.7897331303217744,2.56785925487877,9897.0,13537.895313000037,17351.0,780.2371801625287,1.1344376227701558,0.0087603019998847,0.2801509281128372,0.2049566628868088,0.5474034325838026,0.2803558498396946,9.565052256143382,48288.25694466837,2027572.68696005,212.185403917,27.4058204144,80.57761508872069,1.6472267030648964,1.5898374488149896,8.442424618439013,0.8515324481945651,6.891363692765852,"59,000","49,016",0.565,0.081,"142,254","66,807","2,566","15,391","18,024","13,035",876,"3,885","4,790",685,"7,701","2,634",607,"2,233","5,213","18,638","12,394","2,646","3,673",9100103.0,187692.0,16095.0,0.0,0.0,0.0,0.0,0.0,0.0,902660.0,100270.0,0.0,0.0,0.0,0.0,0.0
"Flint, MI",15691.0,41778.0,5.325090816391562,9751.182480000012,0.2334047221025423,2.800395130966796,12516.0,5125.07681100002,21930.0,233.7016329685372,1.054887953049439,0.0067487460100319,9.323495708183843,7.436930232848702,5.794092664712102,3.045289124432556,10.821735258213392,1682.952455936348,1943227.3909518002,160.5767141832,31.2838273666,92.1437463887681,1.4629584403052198,0.1036460784255326,1.11151484104623,0.6909738561702178,4.4871603952847,"50,269","170,581",0.525,0.089,"406,770","192,583","14,662","62,457","60,897","32,565","1,014","10,053","29,800","3,573","22,962","7,687","1,979","8,131","14,277","42,822","15,705","8,228","4,832",17955316.0,98898.0,63687.0,804642.0,687422.0,0.0,310.0,0.0,0.0,430072.0,728046.0,0.0,2867657.0,4360360.0,0.0,0.0
"Florence, SC",16532.0,41184.0,4.982337285264941,13118.633103000035,0.31853712856934824,2.570529881442052,12123.0,6751.4390170000215,21200.0,318.4641045754728,1.0655815308998535,0.0056603773584905,4.65589146215412,3.4141889786894746,3.694588184090871,1.9014013595756476,3.412404333596416,3550.770058619712,753429.65904996,56.997956957844494,11.767668997912,93.49563449900678,0.2448376218413637,0.1732341663971913,0.9678015429389756,0.7460618099505706,4.372430359865109,"45,037","78,997",0.537,0.059,"205,095","92,248","6,785","25,795","27,500","18,917","1,156","4,764","13,396","2,182","11,635","4,624",787,"4,312","6,517","24,108","7,687","3,058","3,429",11759206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Florence-Muscle Shoals, AL",13582.0,34548.0,5.087321454866736,10566.23833899984,0.3058422582783328,2.6568988366956265,10233.0,5457.207193999982,18026.0,302.7408850549197,1.0781526480737442,0.0120381670919782,3.9077865098937976,2.9442187715905783,3.040097455563704,1.570136994139929,16.480357988110427,3475.6248750060604,532716.2473593266,53.67862287186385,9.6901814067,94.20548739403624,0.0297716980836428,0.0955828201632742,1.007536940409596,0.6988514392265627,3.962769708080666,"48,244","60,310",0.534,0.044,"147,827","71,999","3,617","17,972","22,201","16,520",649,"4,930","10,201","1,628","8,630","3,993",872,"2,502","4,503","14,312","6,039","3,388","3,120",6377877.0,276.0,52172.0,0.0,0.0,0.0,0.0,0.0,0.0,2213.0,352742.0,0.0,0.0,0.0,0.0,0.0
"Fond du Lac, WI",5686.0,14590.0,5.131902919451284,5834.5340209999795,0.3998995216586689,2.750791417516708,4480.0,3044.2463699999994,7751.0,392.75530512191966,1.0428264972065802,0.0117404205908914,2.86657132774034,2.2585718516139157,2.941454086409444,1.534743116218714,10.04463915753906,1983.5543406771455,838799.61308592,70.1364455748,10.3113234523,91.20592986790838,0.1672526845956476,0.439038297063575,2.6912477430390576,0.8685736006842155,4.627957806709113,"64,147","41,890",0.64,0.036,"102,654","45,338","2,489","12,061","17,024","10,316","1,543","4,141","11,879","1,091","5,508","2,664","1,235","3,255","2,761","10,903","3,508","2,755","2,215",5873077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fort Collins, CO",19068.0,47497.0,4.98185441577512,11747.32097800008,0.24732764128260906,2.6660373400461506,14490.0,6134.766297000034,25440.0,241.14647393868057,1.1387130124673095,0.0135613207547169,2.796143632199371,2.1248228042043675,1.7226346102389873,0.8996060266618396,21.84953203709301,6819.392172998505,1760679.1300382998,187.16997088517002,29.5637545405,80.34269890437048,1.4037411205849195,2.6991232774755645,2.8041986362094065,1.0923459168372318,11.6578921445224,"76,366","134,185",0.638,0.051,"350,523","144,583","5,493","35,462","54,652","38,578","3,593","12,303","18,183","3,798","20,623","7,195","3,236","9,242","25,317","45,904","19,301","9,094","7,410",25214734.0,26094.0,45261.0,0.0,401877.0,4564.0,0.0,0.0,0.0,108523.0,915992.0,0.0,1373341.0,0.0,0.0,0.0
"Fort Smith, AR-OK",19351.0,49116.0,5.076326804816288,17781.111195000245,0.3620227867701003,2.604206500956023,14118.0,9191.93322200002,25115.0,365.9937575950634,1.1011775429624866,0.0057734421660362,3.008420184637297,2.194867250618023,2.764356044872045,1.4290319591185472,4.617606217463537,6432.279672506254,508754.520568408,35.25586405393338,6.0475207459249996,93.53904769090036,0.1942718107830285,0.0518686873449833,1.424974301423088,1.358959608438564,3.430877901109989,"46,424","98,199",0.545,0.051,"250,260","111,454","5,512","33,288","36,629","22,770","2,293","7,700","18,220","2,684","12,910","7,504",949,"4,821","8,730","24,243","8,971","4,633","3,683",11293969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fort Wayne, IN",18120.0,46048.0,5.082560706401766,12251.092841999924,0.26605048736101294,2.7421633554083886,14008.0,6538.892762000005,24791.0,263.7607503529509,1.0478737541015914,0.0101649792263321,7.011609966605328,5.420454327384516,4.7406117369080505,2.5302519680244306,18.500301577538007,2584.2852192722294,1471415.5005955198,133.96618705625,19.706527363057,91.88715834788611,0.7614831661454737,0.318299963448808,1.2275108638265035,0.6249238516833854,5.180623807009707,"57,693","160,865",0.632,0.05,"409,419","174,335","8,900","55,652","61,366","34,947","1,164","11,355","38,622","6,090","23,258","9,808","3,596","12,603","16,030","47,126","17,016","9,156","4,824",24760309.0,298207.0,20802.0,0.0,0.0,0.0,0.0,0.0,0.0,1772034.0,89020.0,0.0,0.0,0.0,0.0,0.0
"Fresno, CA",35959.0,95037.0,5.285853332962541,29716.78612800047,0.3126864918715918,2.9045301593481465,29919.0,15804.664874999899,52211.0,302.7075688073376,1.0616815934556532,0.0024707437130106,2.308557529564021,1.9207912546796615,1.9078091818526415,1.0146549709229131,11.421791111822245,15576.393284334124,5736494.8160248995,209.2556586042,80.28104164599999,90.2451373040942,0.942060745285918,0.4057914065924101,1.545584153228447,1.2277016236694025,5.633724767129636,"57,109","310,097",0.5529999999999999,0.089,"990,204","333,357","24,446","97,891","113,706","74,054","36,163","24,099","27,511","13,965","43,380","23,462","5,129","18,509","37,345","100,999","33,497","19,527","25,039",55168915.0,0.0,189320.0,0.0,1656089.0,0.0,0.0,0.0,0.0,0.0,1224555.0,0.0,5327914.0,0.0,0.0,0.0
"Gadsden, AL",7800.0,20157.0,5.168461538461538,6137.888248999969,0.304504055613433,2.6964102564102563,6013.0,3176.710941999987,10470.0,303.4107872015269,1.0840144122931237,0.0054441260744985,5.49071837366803,4.232780715495624,4.3206943313211825,2.236208350906616,0.7558703464167963,1420.5791426868016,724030.26622887,58.4522871436,13.0445519039,95.58924715875388,0.0545709065888438,0.0189811849004674,0.7521294516810212,0.5077466960875032,3.077324601988279,"44,934","38,765",0.517,0.057,"102,721","47,805","2,234","11,866","13,881","10,784",228,"2,970","7,502",938,"5,492","1,996",576,"1,303","2,420","10,338","4,350","2,760","2,129",3476114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gainesville, FL",22560.0,55964.0,4.961347517730497,16833.001658000037,0.3007826756128946,2.691932624113475,17239.0,8895.23161500005,30399.0,292.6159286489704,1.0657254802452036,0.0057238724958057,3.1833505923102448,2.432525747377496,2.375236959146886,1.2551702495721289,13.202703040700046,7086.872572093163,820572.8361625875,64.874685441517,9.06716831,84.95137034817196,2.7168582793003866,1.7136163025118512,2.578597504495178,1.5140576472511305,6.525499918269492,"47,848","125,651",0.5479999999999999,0.051,"327,329","147,228","8,741","51,859","43,603","21,448","2,128","8,047","6,559","2,030","16,820","5,498","2,308","6,921","13,290","55,070","16,188","7,735","7,432",21347877.0,844994.0,119863.0,0.0,0.0,0.0,0.0,0.0,0.0,3312562.0,625646.0,0.0,0.0,0.0,0.0,0.0
"Gainesville, GA",9523.0,21807.0,4.579859288039484,5672.624003999963,0.26012858274865697,2.472330148062585,6572.0,3008.765959000008,11737.0,256.34880795774114,1.1011332082025729,0.0089460679901167,8.557506529704918,5.905694939958072,5.097502567971285,2.7037209220304996,13.346600718551818,1112.8241581754744,1349137.995336,129.4656464993,23.74793351892,91.24492213947192,0.4760494245091402,0.0761679079214624,1.1605027081922816,1.6354942450914016,5.406863574813812,"63,651","65,555",0.612,0.035,"201,434","74,544","3,640","17,389","25,780","18,746",987,"8,735","18,191","3,802","11,030","5,195","1,335","4,468","9,331","17,215","7,713","5,512","2,223",13324094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gettysburg, PA",5081.0,13177.0,5.186774257036016,5183.975177000023,0.39341088085300324,2.6762448336941547,3941.0,2659.4799680000087,6749.0,394.05541087568656,1.0645903555357228,0.004296932878945,3.759587635919913,2.9160666941862576,3.835782125637674,1.9678307430957525,2.2642108076949885,1351.478005580992,563116.208411262,52.4614827198241,12.6812299803,89.48922409464318,0.3715829433386225,0.3133348062747303,3.213690320766465,0.5061562255207183,6.106011609456283,"68,411","39,628",0.606,0.039,"102,627","42,525","1,726","10,252","15,671","11,979","1,519","4,134","8,022","1,372","5,490","2,462",512,"1,631","4,528","12,311","4,116","2,669","2,385",4358843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Glens Falls, NY",9435.0,23446.0,4.970005299417064,9944.977489000039,0.42416520894822307,2.5225225225225225,6867.0,5047.17959600001,11870.0,425.2046837405232,1.085326395612382,0.0152485256950294,2.050563435286036,1.4924450567153371,2.1613998096116815,1.0969329020539869,3.710902716089719,4601.174407795826,378389.7580227231,39.8413880409383,4.56796965582535,90.07515473032714,0.5645106440862409,0.5951166428620009,3.060599877576005,0.8654696320478814,4.839148473100727,"62,284","53,088",0.573,0.048,"125,491","69,681","4,770","17,230","20,775","10,313","1,280","4,502","6,368",982,"8,074","2,390",564,"2,799","4,949","15,646","6,058","2,605","4,186",7701647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goldsboro, NC",7027.0,17508.0,4.983065319481998,5292.363476000013,0.3022825837331513,2.5918599686921877,5082.0,2778.924612000001,9060.0,306.72457086092726,1.0587110669958777,0.0059602649006622,4.86451166198291,3.5180657842887646,3.6636920234032253,1.9237386057841663,2.725438508610268,1444.5437668322086,621268.88183231,57.22602487029,12.9821917286,94.59691252144084,0.3996204518083281,0.0729900368599686,1.6878946023867742,0.2737126382248823,2.9688697492792238,"47,221","48,198",0.542,0.054,"123,785","54,507","3,670","13,991","17,192","13,345","2,220","3,289","7,348","1,458","7,042","2,310",535,"1,855","3,997","12,159","4,711","2,879","3,255",6348440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Grand Forks, ND-MN",8330.0,24585.0,5.902761104441777,18925.59348100008,0.769802460077286,3.0837935174069626,7231.0,9741.103157000001,12740.0,764.607783124019,1.023379889848359,0.0040816326530612,0.936303708318854,0.8127745636078791,2.1272633083307926,1.0949136865564941,7.550687359332644,8896.685900087514,549276.637933098,41.96028424394299,5.227270367,89.1297074240678,0.944273021301907,0.806721439458716,3.773374474887542,0.6561582214952228,4.689765418788803,"55,122","43,398",0.659,0.037,"101,627","48,287","2,488","15,214","16,098","9,598","2,467","3,450","4,057","1,452","6,723","2,500",576,"2,344","3,184","17,591","4,586","2,584","2,243",6885936.0,58861.0,32588.0,0.0,0.0,5825.0,0.0,0.0,0.0,209908.0,119623.0,0.0,0.0,0.0,0.0,0.0
"Grand Island, NE",6648.0,19555.0,5.882972322503009,10495.036793000014,0.5366932647916142,3.0934115523465704,5742.0,5364.118911000001,10204.0,525.6878587808703,1.025671836402576,0.0032340258722069,1.5811828534233687,1.365696742532639,2.4961751238175403,1.2758202234953724,5.736013751179852,4204.447313355711,294102.685573319,23.07897074703,4.4880008519666665,94.35102816566798,0.2771691787873188,0.0290367711110524,1.3937650133305175,1.0347649341393237,2.91423593696381,"57,938","29,558",0.669,0.037,"75,592","31,965","1,425","8,444","10,501","9,188","1,773","3,193","7,077","1,130","4,612","2,241",539,"2,094","2,212","8,076","2,471","1,811","1,321",4970262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Grand Junction, CO",9597.0,23405.0,4.877565906012295,7739.5675439999295,0.330680091604355,2.6064395123476087,6991.0,4084.635461000001,12518.0,326.3009634925708,1.1452348159154229,0.0065505671832561,1.1080179793758886,0.8071432420357235,0.8935688226889666,0.47159003125813515,16.351048409629524,8661.411798936408,786447.6816630999,87.7351404097,17.0291843486,85.26878484314315,0.460036974934434,1.140777046877911,3.128538056952864,1.8229502558149533,8.178912822276681,"57,157","59,750",0.5760000000000001,0.069,"152,962","64,244","3,140","18,829","21,906","15,875","3,486","7,045","3,947","1,717","8,960","3,777","1,054","3,402","6,956","17,402","6,758","3,476","3,293",7990815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Grand Rapids-Kentwood, MI",41944.0,107024.0,5.10318519931337,32135.68093799998,0.3002661173007921,2.671848178523746,31834.0,16702.068583999902,55934.0,298.6031498551847,1.048117841857874,0.0104587549612042,5.891117929886476,4.471148392618875,4.513520078270139,2.345838634879731,32.66899142685971,7119.871049807397,1346289.2149406977,122.2633782287905,20.210541819225,89.06422238872958,1.4253280226249698,0.4086315912031534,2.228131355526385,0.6736036386239481,6.200083003291963,"66,297","396,595",0.644,0.044,"1,069,696","421,432","23,997","117,336","165,859","89,403","8,483","30,738","110,900","20,501","56,196","21,314","7,632","29,147","51,238","123,913","44,502","26,111","11,913",68768469.0,766408.0,123730.0,350235.0,536971.0,0.0,0.0,0.0,0.0,3626297.0,1645529.0,0.0,2089758.0,1559504.0,0.0,0.0
"Grants Pass, OR",4109.0,9556.0,4.651253346312972,4238.863337999988,0.4435813455420666,2.392796300803115,2656.0,2178.707334999996,4907.0,443.9998644793144,1.1974960273504276,0.0050947625840635,0.9674748184302244,0.6253621605623452,0.9980514816943475,0.5129823517502359,0.6352964756462866,4247.138966021932,524743.0487916,63.547498804300005,16.308266523,86.09265354281811,0.3726013786251009,0.9159783891200398,3.089486431099795,1.450040365149351,8.079239893187605,"47,733","36,606",0.4529999999999999,0.075,"87,097","39,362","1,935","9,079","14,420","11,172","1,397","2,096","3,443",650,"3,914","1,144",476,"1,658","2,962","8,402","3,167","1,784","1,680",3457663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Great Falls, MT",5315.0,14237.0,5.357290686735654,7669.220701999953,0.5386823559738676,2.8421448730009407,4193.0,3997.783119000011,7527.0,531.1256966919107,1.103694774089626,0.0042513617643151,0.7569548888937244,0.5971612133831395,1.0922397186046708,0.5693586973967752,7.778645124130766,7021.554491533537,497859.02472416,65.27499587070001,12.3540847887,90.52822371828069,0.7845675815639565,0.5541170378042465,2.4262040393578457,0.6784049715173485,5.028482651475919,"52,049","34,440",0.5710000000000001,0.037,"81,576","39,012","2,286","11,316","12,488","8,350","1,352","2,549","1,496","1,177","5,226","2,055",650,"2,201","2,727","8,979","3,930","2,021","2,755",4810551.0,76327.0,13780.0,0.0,0.0,0.0,0.0,0.0,0.0,370674.0,186712.0,0.0,0.0,0.0,0.0,0.0
"Green Bay, WI",17131.0,43524.0,5.081314575915008,16453.309239999886,0.37802842661519814,2.7656879341544567,13376.0,8662.86999800004,23605.0,366.9930098707918,1.0527878802298478,0.0047447574666384,3.47316765471789,2.7118726606448247,3.3357714941006704,1.7563247839635616,41.59181210213494,4932.38498773002,645642.6059697465,63.593741982579665,9.609868760991176,90.48052574460388,0.5679488725431087,0.1742433377547329,1.859399493548776,0.7807789702158446,6.137103581333655,"64,951","130,563",0.66,0.027,"320,827","144,200","6,659","38,118","56,622","29,164","3,343","10,628","32,175","5,085","17,921","10,643","2,088","11,451","13,336","35,858","14,331","6,767","4,831",23358263.0,143543.0,20679.0,0.0,0.0,0.0,0.0,0.0,0.0,670607.0,0.0,0.0,0.0,0.0,0.0,0.0
