msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Income,Employment Rate,Unemployment Rate,    Total population,Total housing units
"Anniston-Oxford, AL",10739,27487,5.119098612533755,6447.8815099999565,0.2345793105831832,2.646615141074588,8080,3334.313133000012,14184,235.0756579949247,1.0796032509137057,0.0071912013536379,6.769308928804128,5.093213161815565,4.064410268881064,2.1017781602240286,1.6748064439185255,1586.4248644798015,828713.50013185,77.64011208769999,14.1979113218,95.02840609094171,0.6103613592684112,0.0,1.2164987644934424,0.6694967158757312,2.4752370694206847,"50,128",0.517,0.073,"114,324","53,722"
"Appleton, WI",11584,30380,5.245165745856354,9483.610090000046,0.31216623074391203,2.843232044198895,9387,4909.793807000009,16384,299.6700321655279,1.0479884715953112,0.005615234375,4.298777925134903,3.4834796601555023,3.5193312936359495,1.8220056314309132,33.44992959305511,2694.719336923289,697640.772284768,68.42413655455,8.828146854159499,90.69695796766014,0.4123450743722006,0.2859557795454725,2.263158310491101,0.6224672770216363,5.71911559090945,"70,261",0.684,0.03,"236,834","98,471"
"Amarillo, TX",17675,48852,5.527807637906648,20509.683939000097,0.41983304550479195,2.9626025459688825,14816,10954.097934000052,26126,419.27956571997447,1.0519434263946847,0.0021434586235933,1.3153044190833187,1.1025488131902943,1.5262505187535498,0.815161155284963,20.82193669384014,13437.953787396473,564489.1594074,32.753674043260006,6.298040501120001,93.26981977625172,0.2643711513041235,0.1990843730857271,1.637811522713351,1.1308314795112355,3.4980816971338298,"56,055",0.615,0.034,"264,345","109,725"
"Athens-Clarke County, GA",11515,28029,4.868258792878854,9397.343400999916,0.33527216101180624,2.583673469387755,8571,4873.670081000014,14839,328.4365577869138,1.0861214025469257,0.0093672080328863,4.306523094756635,3.205489313517943,3.514535508967868,1.8227158280547981,16.278567026702095,2673.8507484192937,308679.42754022096,25.632491377691075,5.773133597557777,84.65899312620849,2.0631497960134038,0.7714034075378868,3.6150676749577353,1.0639697917615736,7.82741620352092,"49,503",0.585,0.053,"210,810","86,768"
"Asheville, NC",39255,88100,4.488600178321233,23134.697787000045,0.26259588861521055,2.301439307094637,24634,11965.018655000024,45156,264.9707382186204,1.1947501884902387,0.0079945079280715,7.427420555337016,4.660987847667101,4.377305563232045,2.263895694895887,10.784282521444371,5285.145725563243,714389.9452799268,74.60151526277551,14.776088303544249,86.88419528703358,0.4924132398301451,0.2180818936700923,1.9516715769672324,1.062745803191465,9.390892199307489,"54,992",0.574,0.032,"459,344","230,794"
"Atlantic City-Hammonton, NJ",12717,33807,5.316820004718094,6918.526678000042,0.2046477557310629,2.897538727687348,10507,3732.094506999977,18410,202.72104872351852,1.0510002610571572,0.0106463878326996,7.221586111836102,5.966596310219543,3.9288146710869447,2.119339613101426,5.7773978524866125,1760.970485300587,1303599.1996146801,121.0468342653,16.8093077123,84.91055689756479,4.486844682379056,0.4064111771234576,3.701769275967879,1.9251485277795917,4.569269439185219,"63,680",0.581,0.087,"264,650","128,472"
"Auburn-Opelika, AL",9142,21769,4.7624152264274775,5782.902417000012,0.2656485101290832,2.4784511047910742,6326,3006.1225040000027,11301,266.00499991151247,1.0777767976921095,0.0125652597115299,5.712743193802098,3.9530533191853054,3.613677141012746,1.8784955014724718,4.330159621106172,1600.2819818539,1123487.97593438,68.0120362694,15.622971954,91.5077873254565,0.625671321160043,0.2886680988184747,2.293233082706767,0.8109559613319013,4.473684210526316,"52,930",0.569,0.047,"163,461","70,256"
"Augusta-Richmond County, GA-SC",37974,94149,4.958603254858588,30318.880458000058,0.32203082834655766,2.6260336019381683,28632,15798.563057000027,49810,317.17653196145403,1.083787966107795,0.0089540252961252,4.09306863524814,3.08613106768907,3.2679533011660027,1.702865195412566,31.32629074635549,9277.635775022338,563231.1102350493,47.08811511087357,9.653883452646571,91.41923058003532,0.7299159593910934,0.1388694438032821,1.406478808220163,1.615350560207661,4.6901546483424585,"55,049",0.5379999999999999,0.071,"605,303","260,764"
"Austin-Round Rock-Georgetown, TX",87049,214823,4.935679904421647,47402.74931599899,0.22065956306354065,2.704901836896461,67750,25931.301052000323,117895,219.9525090292236,1.0787937397568508,0.0038763306331905,7.855598299273483,6.113990795710215,4.277785579474192,2.340128943951595,152.28661676244275,11081.141968276386,2057588.8001488,132.14833251674,28.097921154939996,81.96114362158447,1.7046152291850474,0.6879601315824999,1.915035747972656,1.214795279821839,12.51644998985348,"80,852",0.675,0.046,"2,173,804","856,586"
"Bakersfield, CA",41727,108328,5.192225657248304,35767.63507700043,0.3301790402942954,2.744002684113404,32222,18978.06701999985,57222,331.6568281430193,1.0763729852558854,0.0028485547516689,1.9747034222298163,1.5248854140266288,1.6926803123066594,0.8981248086778468,54.93725626128381,21130.76805877121,6398810.2863844,168.0524482195,91.023109474,92.34932971691316,0.6666058700147972,0.272114046674178,1.082572639741595,1.1102253104306463,4.519152416225645,"54,851",0.524,0.091,"892,458","299,179"
"Atlanta-Sandy Springs-Alpharetta, GA",250655,575914,4.5952723863477685,128448.50305699986,0.22303417360404482,2.477213700105723,173864,68248.98479499905,310903,219.51857909058143,1.0890812833215182,0.0084174163645895,10.945396980942135,7.592150568289178,5.608983892468226,2.9802406978817433,445.2676842524541,22900.494192804013,1296593.2475849036,97.80218504219876,18.937981227408414,84.11359945648572,2.784164346788626,0.1882829588387353,1.2602254148162877,1.6771820662380414,9.976545756832593,"71,193",0.635,0.052,"5,947,008","2,330,974"
"Bangor, ME",9041,21349,4.7227076650812965,11606.909526999958,0.5436746230268377,2.4425395420860525,6178,6016.3683480000045,11001,546.8928595582224,1.09022333741624,0.0149077356603945,0.9821397226968388,0.6711269999802091,1.260878985091808,0.6535686694996973,10.063578935071568,9205.411196662008,959459.23616652,80.3198021763,11.327950942700001,88.27618743669086,0.4190544909598013,0.2650311515672915,3.484257704635964,1.2516130822706648,6.3038561338754215,"52,128",0.578,0.046,"151,696","76,088"
