# Title: January - December 2020 Contiguous U.S. County Heating Degree Days,,,,,,,
# Units: Fahrenheit Degree-Days,,,,,,,
# Missing: -99,,,,,,,
# Note: Period of Record: 129 Years,,,,,,,
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,
GA-261,Sumter County,Georgia,1646,-661,3,2307,
GA-263,Talbot County,Georgia,2071,-573,7,2644,
GA-265,Taliaferro County,Georgia,2207,-688,4,2895,
GA-267,Tattnall County,Georgia,1479,-510,3,1989,
GA-269,Taylor County,Georgia,1925,-616,3,2541,
GA-271,Telfair County,Georgia,1567,-564,3,2131,
GA-273,Terrell County,Georgia,1558,-621,3,2179,
GA-275,Thomas County,Georgia,1361,-483,4,1844,
GA-277,Tift County,Georgia,1620,-459,7,2079,
GA-279,Toombs County,Georgia,1556,-527,4,2083,
GA-281,Towns County,Georgia,3690,-619,9,4309,
GA-283,Treutlen County,Georgia,1640,-583,3,2223,
GA-285,Troup County,Georgia,2320,-590,6,2910,
GA-287,Turner County,Georgia,1618,-580,3,2198,
GA-289,Twiggs County,Georgia,1773,-658,2,2431,
GA-291,Union County,Georgia,3695,-574,11,4269,
GA-293,Upson County,Georgia,2064,-645,3,2709,
GA-295,Walker County,Georgia,2879,-735,5,3614,
GA-297,Walton County,Georgia,2402,-726,3,3128,
GA-299,Ware County,Georgia,1350,-452,6,1802,
GA-301,Warren County,Georgia,2092,-682,5,2774,
GA-303,Washington County,Georgia,1912,-576,5,2488,
GA-305,Wayne County,Georgia,1381,-485,4,1866,
GA-307,Webster County,Georgia,1729,-616,3,2345,
GA-309,Wheeler County,Georgia,1570,-581,3,2151,
GA-311,White County,Georgia,3237,-548,9,3785,
GA-313,Whitfield County,Georgia,2841,-699,7,3540,
GA-315,Wilcox County,Georgia,1597,-634,2,2231,
GA-317,Wilkes County,Georgia,2298,-695,5,2993,
GA-319,Wilkinson County,Georgia,1811,-620,4,2431,
GA-321,Worth County,Georgia,1558,-547,3,2105,
ID-001,Ada County,Idaho,5345,-470,16,5815,
ID-003,Adams County,Idaho,7717,-496,21,8213,
ID-005,Bannock County,Idaho,7174,-722,11,7896,
ID-007,Bear Lake County,Idaho,8792,-639,19,9431,
ID-009,Benewah County,Idaho,6906,-631,19,7537,
ID-011,Bingham County,Idaho,7638,-462,26,8100,
ID-013,Blaine County,Idaho,8184,-638,15,8822,
ID-015,Boise County,Idaho,7749,-542,18,8291,
ID-017,Bonner County,Idaho,7557,-701,12,8258,
ID-019,Bonneville County,Idaho,8430,-453,30,8883,
ID-021,Boundary County,Idaho,8235,-854,8,9089,
ID-023,Butte County,Idaho,8827,-220,50,9047,
ID-025,Camas County,Idaho,8287,-840,10,9127,
ID-027,Canyon County,Idaho,5242,-464,18,5706,
ID-029,Caribou County,Idaho,8377,-511,24,8888,
ID-031,Cassia County,Idaho,6877,-654,11,7531,
ID-033,Clark County,Idaho,9105,-461,27,9566,
ID-035,Clearwater County,Idaho,7623,-493,25,8116,
ID-037,Custer County,Idaho,9490,-702,17,10192,
ID-039,Elmore County,Idaho,6478,-781,8,7259,
ID-041,Franklin County,Idaho,7466,-756,13,8222,
ID-043,Fremont County,Idaho,9167,-546,22,9713,
ID-045,Gem County,Idaho,6114,-418,25,6532,
ID-047,Gooding County,Idaho,5962,-911,5,6873,
ID-049,Idaho County,Idaho,8281,-549,26,8830,
ID-051,Jefferson County,Idaho,8276,-289,43,8565,
ID-053,Jerome County,Idaho,5875,-951,7,6826,
ID-055,Kootenai County,Idaho,6903,-698,15,7601,
ID-057,Latah County,Idaho,6722,-585,18,7307,
ID-059,Lemhi County,Idaho,9179,-602,22,9781,
ID-061,Lewis County,Idaho,7071,-422,25,7493,
ID-063,Lincoln County,Idaho,6584,-981,8,7565,
ID-065,Madison County,Idaho,8165,-551,19,8716,
ID-067,Minidoka County,Idaho,6786,-769,12,7555,
ID-069,Nez Perce County,Idaho,6014,-520,21,6534,
ID-071,Oneida County,Idaho,7073,-574,19,7647,
ID-073,Owyhee County,Idaho,6418,-571,14,6989,
ID-075,Payette County,Idaho,5398,-599,12,5997,
ID-077,Power County,Idaho,7160,-511,23,7671,
ID-079,Shoshone County,Idaho,7940,-587,17,8527,
ID-081,Teton County,Idaho,8896,-763,12,9659,
ID-083,Twin Falls County,Idaho,6444,-554,15,6998,
ID-085,Valley County,Idaho,9130,-637,17,9767,
ID-087,Washington County,Idaho,6401,-514,15,6915,
IL-001,Adams County,Illinois,5316,-421,24,5737,
IL-003,Alexander County,Illinois,3838,-576,12,4414,
IL-005,Bond County,Illinois,4715,-494,17,5209,
IL-007,Boone County,Illinois,6349,-763,13,7112,
IL-009,Brown County,Illinois,5365,-415,27,5780,
IL-011,Bureau County,Illinois,6012,-638,16,6650,
IL-013,Calhoun County,Illinois,4843,-449,23,5292,
IL-015,Carroll County,Illinois,6246,-848,11,7094,
IL-017,Cass County,Illinois,5327,-412,27,5739,
IL-019,Champaign County,Illinois,5483,-571,19,6054,
IL-021,Christian County,Illinois,5159,-470,23,5629,
IL-023,Clark County,Illinois,4929,-599,15,5528,
IL-025,Clay County,Illinois,4554,-647,13,5201,
IL-027,Clinton County,Illinois,4507,-544,14,5051,
IL-029,Coles County,Illinois,5155,-528,20,5683,
IL-031,Cook County,Illinois,5813,-788,12,6601,
IL-033,Crawford County,Illinois,4684,-604,13,5288,
IL-035,Cumberland County,Illinois,4976,-533,18,5509,
IL-037,DeKalb County,Illinois,6293,-640,17,6933,
IL-039,De Witt County,Illinois,5420,-662,15,6082,
IL-041,Douglas County,Illinois,5221,-629,16,5850,
IL-043,DuPage County,Illinois,5970,-748,13,6718,
IL-045,Edgar County,Illinois,5236,-518,21,5754,
IL-047,Edwards County,Illinois,4268,-658,11,4926,
IL-049,Effingham County,Illinois,4876,-549,20,5425,
IL-051,Fayette County,Illinois,4852,-477,21,5329,
IL-053,Ford County,Illinois,5653,-628,16,6281,
IL-055,Franklin County,Illinois,4278,-545,13,4823,
IL-057,Fulton County,Illinois,5533,-470,23,6003,
IL-059,Gallatin County,Illinois,4153,-447,18,4600,
IL-061,Greene County,Illinois,4972,-393,24,5365,
IL-063,Grundy County,Illinois,5737,-789,14,6526,
IL-065,Hamilton County,Illinois,4232,-610,11,4842,
IL-067,Hancock County,Illinois,5489,-445,24,5934,
IL-069,Hardin County,Illinois,4085,-447,18,4532,
IL-071,Henderson County,Illinois,5750,-463,23,6213,
IL-073,Henry County,Illinois,5996,-610,18,6606,
IL-075,Iroquois County,Illinois,5572,-723,13,6295,
IL-077,Jackson County,Illinois,4273,-494,15,4767,
IL-079,Jasper County,Illinois,4737,-596,14,5333,
IL-081,Jefferson County,Illinois,4332,-621,11,4953,
IL-083,Jersey County,Illinois,4768,-458,21,5226,
IL-085,Jo Daviess County,Illinois,6556,-685,17,7241,
IL-087,Johnson County,Illinois,4103,-495,15,4598,
IL-089,Kane County,Illinois,6176,-698,15,6874,
IL-091,Kankakee County,Illinois,5669,-753,13,6422,
IL-093,Kendall County,Illinois,5945,-671,16,6616,
IL-095,Knox County,Illinois,5928,-471,23,6399,
IL-097,Lake County,Illinois,6096,-857,10,6953,
IL-099,LaSalle County,Illinois,5850,-733,15,6583,
IL-101,Lawrence County,Illinois,4517,-563,13,5080,
IL-103,Lee County,Illinois,6176,-712,15,6888,
IL-105,Livingston County,Illinois,5686,-731,15,6417,
IL-107,Logan County,Illinois,5291,-610,15,5901,
IL-109,McDonough County,Illinois,5610,-458,23,6068,
IL-111,McHenry County,Illinois,6290,-845,11,7135,
IL-113,McLean County,Illinois,5560,-747,14,6307,
IL-115,Macon County,Illinois,5282,-569,17,5851,
IL-117,Macoupin County,Illinois,4987,-444,24,5431,
IL-119,Madison County,Illinois,4641,-423,27,5064,
IL-121,Marion County,Illinois,4560,-590,13,5150,
IL-123,Marshall County,Illinois,5711,-692,14,6403,
IL-125,Mason County,Illinois,5327,-492,21,5819,
IL-127,Massac County,Illinois,3847,-562,13,4409,
IL-129,Menard County,Illinois,5344,-441,27,5785,
IL-131,Mercer County,Illinois,5916,-528,19,6444,
IL-133,Monroe County,Illinois,4288,-532,15,4820,
IL-135,Montgomery County,Illinois,5000,-456,22,5456,
IL-137,Morgan County,Illinois,5252,-434,26,5686,
IL-139,Moultrie County,Illinois,5222,-529,21,5751,
IL-141,Ogle County,Illinois,6228,-805,12,7033,
IL-143,Peoria County,Illinois,5603,-646,15,6249,
IL-145,Perry County,Illinois,4375,-517,17,4892,
IL-147,Piatt County,Illinois,5388,-612,17,6000,
IL-149,Pike County,Illinois,5156,-398,27,5554,
IL-151,Pope County,Illinois,4093,-452,19,4545,
IL-153,Pulaski County,Illinois,3804,-602,12,4406,
IL-155,Putnam County,Illinois,5793,-622,15,6415,
IL-157,Randolph County,Illinois,4406,-444,24,4850,
IL-159,Richland County,Illinois,4521,-590,12,5111,
IL-161,Rock Island County,Illinois,5939,-625,18,6564,
IL-163,St. Clair County,Illinois,4438,-469,22,4907,
IL-165,Saline County,Illinois,4230,-449,18,4679,
IL-167,Sangamon County,Illinois,5269,-435,28,5704,
IL-169,Schuyler County,Illinois,5387,-471,21,5858,
IL-171,Scott County,Illinois,5162,-392,26,5554,
IL-173,Shelby County,Illinois,5111,-466,25,5577,
IL-175,Stark County,Illinois,5890,-618,17,6508,
IL-177,Stephenson County,Illinois,6514,-759,15,7273,
IL-179,Tazewell County,Illinois,5408,-712,15,6120,
IL-181,Union County,Illinois,4089,-540,13,4629,
IL-183,Vermilion County,Illinois,5482,-504,21,5986,
IL-185,Wabash County,Illinois,4316,-602,12,4918,
IL-187,Warren County,Illinois,5931,-413,24,6344,
IL-189,Washington County,Illinois,4435,-547,14,4982,
IL-191,Wayne County,Illinois,4259,-733,11,4992,
IL-193,White County,Illinois,4207,-545,13,4752,
IL-195,Whiteside County,Illinois,6030,-766,14,6796,
IL-197,Will County,Illinois,5824,-672,15,6496,
IL-199,Williamson County,Illinois,4255,-489,15,4744,
IL-201,Winnebago County,Illinois,6308,-785,14,7093,
IL-203,Woodford County,Illinois,5600,-795,13,6395,
IN-001,Adams County,Indiana,5531,-822,11,6353,
IN-003,Allen County,Indiana,5716,-721,13,6437,
IN-005,Bartholomew County,Indiana,4775,-644,12,5419,
IN-007,Benton County,Indiana,5689,-641,14,6330,
IN-009,Blackford County,Indiana,5358,-767,13,6125,
IN-011,Boone County,Indiana,5428,-754,12,6182,
IN-013,Brown County,Indiana,4964,-629,13,5593,
IN-015,Carroll County,Indiana,5563,-644,15,6207,
IN-017,Cass County,Indiana,5670,-644,15,6314,
IN-019,Clark County,Indiana,4276,-718,9,4994,
IN-021,Clay County,Indiana,4873,-767,11,5640,
IN-023,Clinton County,Indiana,5518,-695,14,6213,
IN-025,Crawford County,Indiana,4504,-463,20,4967,
IN-027,Daviess County,Indiana,4473,-772,8,5245,
IN-029,Dearborn County,Indiana,4663,-737,9,5400,
IN-031,Decatur County,Indiana,4932,-615,12,5547,
IN-033,DeKalb County,Indiana,5932,-724,15,6656,
IN-035,Delaware County,Indiana,5143,-911,8,6054,
IN-037,Dubois County,Indiana,4457,-593,11,5050,
IN-039,Elkhart County,Indiana,5927,-827,12,6754,
IN-041,Fayette County,Indiana,5166,-703,12,5869,
IN-043,Floyd County,Indiana,4211,-738,9,4949,
IN-045,Fountain County,Indiana,5440,-572,16,6012,
IN-047,Franklin County,Indiana,4972,-672,12,5644,
IN-049,Fulton County,Indiana,5797,-752,13,6549,
IN-051,Gibson County,Indiana,4286,-593,12,4879,
IN-053,Grant County,Indiana,5441,-676,14,6117,
IN-055,Greene County,Indiana,4727,-794,9,5521,
IN-057,Hamilton County,Indiana,5281,-724,12,6005,
IN-059,Hancock County,Indiana,5160,-691,13,5851,
IN-061,Harrison County,Indiana,4248,-655,10,4903,
IN-063,Hendricks County,Indiana,5297,-665,14,5962,
IN-065,Henry County,Indiana,5291,-786,11,6077,
IN-067,Howard County,Indiana,5590,-610,15,6200,
IN-069,Huntington County,Indiana,5609,-676,15,6285,
IN-071,Jackson County,Indiana,4670,-625,12,5295,
IN-073,Jasper County,Indiana,5701,-746,13,6447,
IN-075,Jay County,Indiana,5411,-804,12,6215,
IN-077,Jefferson County,Indiana,4453,-740,9,5193,
IN-079,Jennings County,Indiana,4653,-647,13,5300,
IN-081,Johnson County,Indiana,5072,-640,14,5712,
IN-083,Knox County,Indiana,4452,-679,11,5131,
IN-085,Kosciusko County,Indiana,5819,-782,13,6601,
IN-087,LaGrange County,Indiana,5991,-790,13,6781,
IN-089,Lake County,Indiana,5759,-761,11,6520,
IN-091,LaPorte County,Indiana,5837,-777,13,6614,
IN-093,Lawrence County,Indiana,4774,-625,11,5399,
IN-095,Madison County,Indiana,5144,-838,9,5982,
IN-097,Marion County,Indiana,5181,-629,14,5810,
IN-099,Marshall County,Indiana,5866,-831,12,6697,
IN-101,Martin County,Indiana,4569,-757,8,5326,
IN-103,Miami County,Indiana,5638,-640,15,6278,
IN-105,Monroe County,Indiana,5010,-625,14,5635,
IN-107,Montgomery County,Indiana,5396,-737,14,6133,
IN-109,Morgan County,Indiana,5082,-631,13,5713,
IN-111,Newton County,Indiana,5620,-788,12,6408,
IN-113,Noble County,Indiana,5925,-766,12,6691,
IN-115,Ohio County,Indiana,4427,-809,9,5236,
IN-117,Orange County,Indiana,4608,-586,11,5194,
IN-119,Owen County,Indiana,4963,-706,11,5669,
IN-121,Parke County,Indiana,5285,-528,19,5813,
IN-123,Perry County,Indiana,4448,-288,31,4736,
IN-125,Pike County,Indiana,4380,-666,11,5046,
IN-127,Porter County,Indiana,5781,-798,11,6579,
IN-129,Posey County,Indiana,4180,-457,17,4637,
IN-131,Pulaski County,Indiana,5831,-676,15,6507,
IN-133,Putnam County,Indiana,5273,-610,13,5883,
IN-135,Randolph County,Indiana,5387,-825,9,6212,
IN-137,Ripley County,Indiana,4804,-681,10,5485,
IN-139,Rush County,Indiana,5126,-684,13,5810,
IN-141,St. Joseph County,Indiana,5900,-828,12,6728,
IN-143,Scott County,Indiana,4468,-696,9,5164,
IN-145,Shelby County,Indiana,4974,-654,14,5628,
IN-147,Spencer County,Indiana,4302,-367,25,4669,
IN-149,Starke County,Indiana,5822,-774,12,6596,
IN-151,Steuben County,Indiana,6102,-771,12,6873,
IN-153,Sullivan County,Indiana,4575,-838,7,5413,
IN-155,Switzerland County,Indiana,4334,-833,8,5167,
IN-157,Tippecanoe County,Indiana,5502,-661,15,6163,
IN-159,Tipton County,Indiana,5463,-696,13,6159,
IN-161,Union County,Indiana,5162,-698,12,5860,
IN-163,Vanderburgh County,Indiana,4177,-483,15,4660,
IN-165,Vermillion County,Indiana,5291,-482,22,5773,
IN-167,Vigo County,Indiana,4842,-729,11,5571,
IN-169,Wabash County,Indiana,5637,-631,17,6268,
IN-171,Warren County,Indiana,5578,-543,18,6121,
IN-173,Warrick County,Indiana,4259,-524,14,4783,
IN-175,Washington County,Indiana,4598,-656,11,5254,
IN-177,Wayne County,Indiana,5332,-741,11,6073,
IN-179,Wells County,Indiana,5523,-771,13,6294,
IN-181,White County,Indiana,5690,-643,15,6333,
IN-183,Whitley County,Indiana,5809,-692,15,6501,
IA-001,Adair County,Iowa,6381,-490,25,6871,
IA-003,Adams County,Iowa,6185,-521,27,6706,
IA-005,Allamakee County,Iowa,7173,-580,22,7753,
IA-007,Appanoose County,Iowa,5963,-364,31,6327,
IA-009,Audubon County,Iowa,6553,-579,22,7132,
IA-011,Benton County,Iowa,6908,-273,40,7181,
IA-013,Black Hawk County,Iowa,6839,-571,22,7410,
IA-015,Boone County,Iowa,6508,-582,20,7090,
IA-017,Bremer County,Iowa,7053,-626,21,7679,
IA-019,Buchanan County,Iowa,7136,-370,34,7506,
IA-021,Buena Vista County,Iowa,7069,-580,22,7649,
IA-023,Butler County,Iowa,6994,-597,22,7591,
IA-025,Calhoun County,Iowa,6773,-582,22,7355,
IA-027,Carroll County,Iowa,6573,-703,16,7276,
IA-029,Cass County,Iowa,6273,-527,22,6800,
IA-031,Cedar County,Iowa,6443,-423,26,6866,
IA-033,Cerro Gordo County,Iowa,7284,-625,20,7909,
IA-035,Cherokee County,Iowa,7057,-559,23,7616,
IA-037,Chickasaw County,Iowa,7393,-524,24,7917,
IA-039,Clarke County,Iowa,6056,-504,24,6560,
IA-041,Clay County,Iowa,7242,-642,19,7884,
IA-043,Clayton County,Iowa,7072,-495,23,7567,
IA-045,Clinton County,Iowa,6115,-715,14,6830,
IA-047,Crawford County,Iowa,6557,-700,17,7257,
IA-049,Dallas County,Iowa,6289,-497,24,6786,
IA-051,Davis County,Iowa,5936,-349,35,6285,
IA-053,Decatur County,Iowa,5902,-514,21,6416,
IA-055,Delaware County,Iowa,6992,-530,23,7522,
IA-057,Des Moines County,Iowa,5797,-465,24,6262,
IA-059,Dickinson County,Iowa,7520,-564,23,8084,
IA-061,Dubuque County,Iowa,6843,-483,26,7326,
IA-063,Emmet County,Iowa,7575,-502,26,8077,
IA-065,Fayette County,Iowa,7333,-467,27,7800,
IA-067,Floyd County,Iowa,7249,-552,25,7801,
IA-069,Franklin County,Iowa,7068,-660,20,7728,
IA-071,Fremont County,Iowa,5702,-513,25,6215,
IA-073,Greene County,Iowa,6539,-574,21,7113,
IA-075,Grundy County,Iowa,6831,-570,18,7401,
IA-077,Guthrie County,Iowa,6412,-562,19,6974,
IA-079,Hamilton County,Iowa,6934,-464,28,7398,
IA-081,Hancock County,Iowa,7331,-545,22,7876,
IA-083,Hardin County,Iowa,6879,-571,21,7450,
IA-085,Harrison County,Iowa,6307,-515,25,6822,
IA-087,Henry County,Iowa,6011,-314,36,6325,
IA-089,Howard County,Iowa,7655,-583,21,8238,
IA-091,Humboldt County,Iowa,7073,-445,27,7518,
IA-093,Ida County,Iowa,6805,-614,21,7419,
IA-095,Iowa County,Iowa,6389,-524,20,6913,
IA-097,Jackson County,Iowa,6404,-639,17,7043,
IA-099,Jasper County,Iowa,6329,-500,23,6829,
IA-101,Jefferson County,Iowa,6219,-185,43,6404,
IA-103,Johnson County,Iowa,6417,-397,30,6814,
IA-105,Jones County,Iowa,6553,-618,19,7171,
IA-107,Keokuk County,Iowa,6202,-483,25,6685,
IA-109,Kossuth County,Iowa,7331,-534,23,7865,
IA-111,Lee County,Iowa,5706,-319,35,6025,
IA-113,Linn County,Iowa,6708,-477,26,7185,
IA-115,Louisa County,Iowa,5881,-537,19,6418,
IA-117,Lucas County,Iowa,6047,-431,27,6478,
IA-119,Lyon County,Iowa,7395,-521,23,7916,
IA-121,Madison County,Iowa,6227,-442,26,6669,
IA-123,Mahaska County,Iowa,6158,-454,28,6612,
IA-125,Marion County,Iowa,6192,-292,38,6484,
IA-127,Marshall County,Iowa,6612,-536,18,7148,
IA-129,Mills County,Iowa,5876,-513,26,6389,
IA-131,Mitchell County,Iowa,7501,-583,22,8084,
IA-133,Monona County,Iowa,6492,-551,25,7043,
IA-135,Monroe County,Iowa,6016,-384,29,6400,
IA-137,Montgomery County,Iowa,5978,-573,18,6551,
IA-139,Muscatine County,Iowa,6192,-377,31,6569,
IA-141,O&#039;Brien County,Iowa,7291,-530,22,7821,
IA-143,Osceola County,Iowa,7595,-454,26,8049,
IA-145,Page County,Iowa,5759,-618,16,6377,
IA-147,Palo Alto County,Iowa,7316,-518,24,7834,
IA-149,Plymouth County,Iowa,6891,-602,22,7493,
IA-151,Pocahontas County,Iowa,7116,-418,31,7534,
IA-153,Polk County,Iowa,6263,-435,29,6698,
IA-155,Pottawattamie County,Iowa,6138,-497,28,6635,
IA-157,Poweshiek County,Iowa,6366,-606,18,6972,
IA-159,Ringgold County,Iowa,5988,-551,20,6539,
IA-161,Sac County,Iowa,6767,-686,17,7453,
IA-163,Scott County,Iowa,6005,-689,14,6694,
IA-165,Shelby County,Iowa,6450,-561,21,7011,
IA-167,Sioux County,Iowa,7222,-477,24,7699,
IA-169,Story County,Iowa,6550,-544,21,7094,
IA-171,Tama County,Iowa,6697,-506,21,7203,
IA-173,Taylor County,Iowa,5948,-599,16,6547,
IA-175,Union County,Iowa,6195,-504,24,6699,
IA-177,Van Buren County,Iowa,6025,-155,46,6180,
IA-179,Wapello County,Iowa,6034,-387,30,6421,
IA-181,Warren County,Iowa,6099,-385,31,6484,
IA-183,Washington County,Iowa,6155,-471,27,6626,
IA-185,Wayne County,Iowa,6020,-391,31,6411,
IA-187,Webster County,Iowa,6881,-480,26,7361,
IA-189,Winnebago County,Iowa,7539,-506,23,8045,
IA-191,Winneshiek County,Iowa,7234,-837,15,8071,
IA-193,Woodbury County,Iowa,6666,-585,23,7251,
IA-195,Worth County,Iowa,7540,-542,25,8082,
IA-197,Wright County,Iowa,7163,-481,25,7644,
KS-001,Allen County,Kansas,4364,-402,22,4766,
KS-003,Anderson County,Kansas,4564,-384,29,4948,
KS-005,Atchison County,Kansas,5104,-477,24,5581,
KS-007,Barber County,Kansas,4213,-483,22,4696,
KS-009,Barton County,Kansas,4963,-341,33,5304,
KS-011,Bourbon County,Kansas,4334,-393,26,4727,
KS-013,Brown County,Kansas,5299,-512,24,5811,
KS-015,Butler County,Kansas,4369,-528,16,4897,
KS-017,Chase County,Kansas,4747,-427,28,5174,
KS-019,Chautauqua County,Kansas,4021,-387,21,4408,
KS-021,Cherokee County,Kansas,3912,-420,21,4332,
KS-023,Cheyenne County,Kansas,5455,-648,14,6103,
KS-025,Clark County,Kansas,4291,-403,25,4694,
KS-027,Clay County,Kansas,4918,-601,17,5519,
KS-029,Cloud County,Kansas,4923,-713,15,5636,
KS-031,Coffey County,Kansas,4580,-439,24,5019,
KS-033,Comanche County,Kansas,4221,-506,20,4727,
KS-035,Cowley County,Kansas,4068,-503,17,4571,
KS-037,Crawford County,Kansas,4151,-395,25,4546,
KS-039,Decatur County,Kansas,5430,-609,20,6039,
KS-041,Dickinson County,Kansas,4705,-616,17,5321,
KS-043,Doniphan County,Kansas,5181,-439,26,5620,
KS-045,Douglas County,Kansas,4717,-488,22,5205,
KS-047,Edwards County,Kansas,4657,-489,20,5146,
KS-049,Elk County,Kansas,4261,-375,26,4636,
KS-051,Ellis County,Kansas,4996,-517,24,5513,
KS-053,Ellsworth County,Kansas,4732,-574,19,5306,
KS-055,Finney County,Kansas,4762,-676,13,5438,
KS-057,Ford County,Kansas,4577,-541,20,5118,
KS-059,Franklin County,Kansas,4575,-516,19,5091,
KS-061,Geary County,Kansas,4824,-566,22,5390,
KS-063,Gove County,Kansas,5075,-591,16,5666,
KS-065,Graham County,Kansas,5172,-531,23,5703,
KS-067,Grant County,Kansas,4636,-513,17,5149,
KS-069,Gray County,Kansas,4702,-546,17,5248,
KS-071,Greeley County,Kansas,5305,-504,20,5809,
KS-073,Greenwood County,Kansas,4465,-436,22,4901,
KS-075,Hamilton County,Kansas,4914,-472,19,5386,
KS-077,Harper County,Kansas,4125,-459,23,4584,
KS-079,Harvey County,Kansas,4408,-590,15,4998,
KS-081,Haskell County,Kansas,4687,-502,18,5189,
KS-083,Hodgeman County,Kansas,4604,-605,15,5209,
KS-085,Jackson County,Kansas,5171,-464,26,5635,
KS-087,Jefferson County,Kansas,4959,-461,25,5420,
KS-089,Jewell County,Kansas,5232,-722,15,5954,
KS-091,Johnson County,Kansas,4730,-509,21,5239,
KS-093,Kearny County,Kansas,4756,-668,12,5424,
KS-095,Kingman County,Kansas,4394,-417,27,4811,
KS-097,Kiowa County,Kansas,4490,-491,20,4981,
KS-099,Labette County,Kansas,3955,-383,21,4338,
KS-101,Lane County,Kansas,4907,-685,9,5592,
KS-103,Leavenworth County,Kansas,4816,-534,20,5350,
KS-105,Lincoln County,Kansas,4870,-610,18,5480,
KS-107,Linn County,Kansas,4471,-418,23,4889,
KS-109,Logan County,Kansas,5114,-626,16,5740,
KS-111,Lyon County,Kansas,4765,-452,28,5217,
KS-113,McPherson County,Kansas,4566,-638,16,5204,
KS-115,Marion County,Kansas,4614,-575,18,5189,
KS-117,Marshall County,Kansas,5333,-523,25,5856,
KS-119,Meade County,Kansas,4452,-350,27,4802,
KS-121,Miami County,Kansas,4612,-483,20,5095,
KS-123,Mitchell County,Kansas,5090,-584,20,5674,
KS-125,Montgomery County,Kansas,3943,-378,22,4321,
KS-127,Morris County,Kansas,4850,-539,24,5389,
KS-129,Morton County,Kansas,4378,-567,12,4945,
KS-131,Nemaha County,Kansas,5410,-486,26,5896,
KS-133,Neosho County,Kansas,4169,-386,19,4555,
KS-135,Ness County,Kansas,4788,-574,15,5362,
KS-137,Norton County,Kansas,5471,-508,27,5979,
KS-139,Osage County,Kansas,4562,-667,12,5229,
KS-141,Osborne County,Kansas,5114,-541,20,5655,
KS-143,Ottawa County,Kansas,4766,-691,14,5457,
KS-145,Pawnee County,Kansas,4837,-410,29,5247,
KS-147,Phillips County,Kansas,5283,-577,20,5860,
KS-149,Pottawatomie County,Kansas,5078,-514,23,5592,
KS-151,Pratt County,Kansas,4515,-464,21,4979,
KS-153,Rawlins County,Kansas,5454,-612,20,6066,
KS-155,Reno County,Kansas,4551,-425,28,4976,
KS-157,Republic County,Kansas,5268,-674,19,5942,
KS-159,Rice County,Kansas,4733,-450,24,5183,
KS-161,Riley County,Kansas,4942,-563,19,5505,
KS-163,Rooks County,Kansas,5144,-493,26,5637,
KS-165,Rush County,Kansas,4922,-453,23,5375,
KS-167,Russell County,Kansas,4888,-562,21,5450,
KS-169,Saline County,Kansas,4609,-685,14,5294,
KS-171,Scott County,Kansas,4923,-717,9,5640,
KS-173,Sedgwick County,Kansas,4220,-563,14,4783,
KS-175,Seward County,Kansas,4510,-386,27,4896,
KS-177,Shawnee County,Kansas,4785,-566,19,5351,
KS-179,Sheridan County,Kansas,5259,-634,17,5893,
KS-181,Sherman County,Kansas,5409,-727,10,6136,
KS-183,Smith County,Kansas,5247,-640,17,5887,
KS-185,Stafford County,Kansas,4802,-342,32,5144,
KS-187,Stanton County,Kansas,4616,-507,18,5123,
KS-189,Stevens County,Kansas,4475,-490,18,4965,
KS-191,Sumner County,Kansas,4028,-526,16,4554,
KS-193,Thomas County,Kansas,5369,-648,16,6017,
KS-195,Trego County,Kansas,5048,-498,22,5546,
KS-197,Wabaunsee County,Kansas,4865,-553,20,5418,
KS-199,Wallace County,Kansas,5242,-670,15,5912,
KS-201,Washington County,Kansas,5317,-550,27,5867,
KS-203,Wichita County,Kansas,5075,-631,14,5706,
KS-205,Wilson County,Kansas,4099,-436,18,4535,
KS-207,Woodson County,Kansas,4341,-451,20,4792,
KS-209,Wyandotte County,Kansas,4749,-542,18,5291,
KY-001,Adair County,Kentucky,3838,-715,9,4553,
KY-003,Allen County,Kentucky,3759,-435,21,4194,
KY-005,Anderson County,Kentucky,4193,-687,9,4880,
KY-007,Ballard County,Kentucky,3687,-628,12,4315,
KY-009,Barren County,Kentucky,3837,-460,18,4297,
KY-011,Bath County,Kentucky,4378,-502,19,4880,
KY-013,Bell County,Kentucky,4303,-357,21,4660,
KY-015,Boone County,Kentucky,4440,-792,8,5232,
KY-017,Bourbon County,Kentucky,4360,-670,9,5030,
KY-019,Boyd County,Kentucky,4252,-654,9,4906,
KY-021,Boyle County,Kentucky,4251,-554,13,4805,
KY-023,Bracken County,Kentucky,4477,-695,8,5172,
KY-025,Breathitt County,Kentucky,3931,-608,9,4539,
KY-027,Breckinridge County,Kentucky,4265,-423,23,4688,
KY-029,Bullitt County,Kentucky,4052,-642,9,4694,
KY-031,Butler County,Kentucky,3809,-537,16,4346,
KY-033,Caldwell County,Kentucky,3887,-409,20,4296,
KY-035,Calloway County,Kentucky,3784,-294,29,4078,
KY-037,Campbell County,Kentucky,4435,-726,8,5161,
KY-039,Carlisle County,Kentucky,3670,-563,12,4233,
KY-041,Carroll County,Kentucky,4189,-832,7,5021,
KY-043,Carter County,Kentucky,4450,-597,11,5047,
