# Title: January - December 2020 Contiguous U.S. County Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ID-019,Bonneville County,Idaho,178,56,105,122
ID-021,Boundary County,Idaho,96,43,109,53
ID-023,Butte County,Idaho,230,61,101,169
ID-025,Camas County,Idaho,183,79,115,104
ID-027,Canyon County,Idaho,778,63,80,715
ID-029,Caribou County,Idaho,160,49,101,111
ID-031,Cassia County,Idaho,424,105,108,319
ID-033,Clark County,Idaho,166,56,106,110
ID-035,Clearwater County,Idaho,132,6,73,126
ID-037,Custer County,Idaho,48,23,104,25
ID-039,Elmore County,Idaho,467,112,107,355
ID-041,Franklin County,Idaho,322,108,109,214
ID-043,Fremont County,Idaho,107,36,106,71
ID-045,Gem County,Idaho,564,47,79,517
ID-047,Gooding County,Idaho,727,222,120,505
ID-049,Idaho County,Idaho,67,11,82,56
ID-051,Jefferson County,Idaho,349,99,108,250
ID-053,Jerome County,Idaho,667,196,112,471
ID-055,Kootenai County,Idaho,223,47,98,176
ID-057,Latah County,Idaho,206,36,93,170
ID-059,Lemhi County,Idaho,74,30,103,44
ID-061,Lewis County,Idaho,212,36,92,176
ID-063,Lincoln County,Idaho,541,166,111,375
ID-065,Madison County,Idaho,242,85,110,157
ID-067,Minidoka County,Idaho,466,95,101,371
ID-069,Nez Perce County,Idaho,403,61,90,342
ID-071,Oneida County,Idaho,475,128,109,347
ID-073,Owyhee County,Idaho,474,95,103,379
ID-075,Payette County,Idaho,773,72,82,701
ID-077,Power County,Idaho,377,48,85,329
ID-079,Shoshone County,Idaho,119,26,93,93
ID-081,Teton County,Idaho,119,63,118,56
ID-083,Twin Falls County,Idaho,494,105,104,389
ID-085,Valley County,Idaho,47,19,103,28
ID-087,Washington County,Idaho,524,66,90,458
IL-001,Adams County,Illinois,1110,-74,46,1184
IL-003,Alexander County,Illinois,1458,5,60,1453
IL-005,Bond County,Illinois,1221,-6,61,1227
IL-007,Boone County,Illinois,813,134,104,679
IL-009,Brown County,Illinois,1038,-87,44,1125
IL-011,Bureau County,Illinois,882,48,77,834
IL-013,Calhoun County,Illinois,1216,-34,54,1250
IL-015,Carroll County,Illinois,898,204,111,694
IL-017,Cass County,Illinois,1046,-81,44,1127
IL-019,Champaign County,Illinois,971,33,74,938
IL-021,Christian County,Illinois,1074,-19,61,1093
IL-023,Clark County,Illinois,1053,-30,57,1083
IL-025,Clay County,Illinois,1191,-5,65,1196
IL-027,Clinton County,Illinois,1323,23,72,1300
IL-029,Coles County,Illinois,1022,-36,54,1058
IL-031,Cook County,Illinois,948,196,105,752
IL-033,Crawford County,Illinois,1168,-1,64,1169
IL-035,Cumberland County,Illinois,1064,-48,50,1112
IL-037,DeKalb County,Illinois,820,112,99,708
IL-039,De Witt County,Illinois,1025,74,84,951
IL-041,Douglas County,Illinois,1030,23,69,1007
IL-043,DuPage County,Illinois,915,182,105,733
IL-045,Edgar County,Illinois,938,-70,44,1008
IL-047,Edwards County,Illinois,1318,35,74,1283
IL-049,Effingham County,Illinois,1092,-43,55,1135
IL-051,Fayette County,Illinois,1137,-38,52,1175
IL-053,Ford County,Illinois,914,34,76,880
IL-055,Franklin County,Illinois,1263,-39,53,1302
IL-057,Fulton County,Illinois,1044,-4,63,1048
IL-059,Gallatin County,Illinois,1326,-84,42,1410
IL-061,Greene County,Illinois,1168,-51,50,1219
IL-063,Grundy County,Illinois,1008,183,104,825
IL-065,Hamilton County,Illinois,1291,-18,57,1309
IL-067,Hancock County,Illinois,1065,-49,51,1114
IL-069,Hardin County,Illinois,1322,-80,44,1402
IL-071,Henderson County,Illinois,1016,2,63,1014
IL-073,Henry County,Illinois,911,47,77,864
IL-075,Iroquois County,Illinois,912,44,77,868
IL-077,Jackson County,Illinois,1303,1,60,1302
IL-079,Jasper County,Illinois,1116,-47,54,1163
IL-081,Jefferson County,Illinois,1257,-32,58,1289
IL-083,Jersey County,Illinois,1244,-24,58,1268
IL-085,Jo Daviess County,Illinois,795,136,102,659
IL-087,Johnson County,Illinois,1321,-27,56,1348
IL-089,Kane County,Illinois,844,144,102,700
IL-091,Kankakee County,Illinois,947,117,95,830
IL-093,Kendall County,Illinois,929,146,103,783
IL-095,Knox County,Illinois,933,17,68,916
IL-097,Lake County,Illinois,844,193,112,651
IL-099,LaSalle County,Illinois,962,137,104,825
IL-101,Lawrence County,Illinois,1230,-11,58,1241
IL-103,Lee County,Illinois,867,110,96,757
IL-105,Livingston County,Illinois,970,113,94,857
IL-107,Logan County,Illinois,1074,32,75,1042
IL-109,McDonough County,Illinois,996,-36,56,1032
IL-111,McHenry County,Illinois,831,184,112,647
IL-113,McLean County,Illinois,974,95,87,879
IL-115,Macon County,Illinois,1063,33,76,1030
IL-117,Macoupin County,Illinois,1127,-36,51,1163
IL-119,Madison County,Illinois,1277,-47,51,1324
IL-121,Marion County,Illinois,1234,10,71,1224
IL-123,Marshall County,Illinois,988,98,90,890
IL-125,Mason County,Illinois,1099,-9,59,1108
IL-127,Massac County,Illinois,1454,-9,61,1463
IL-129,Menard County,Illinois,1055,-49,53,1104
IL-131,Mercer County,Illinois,981,46,73,935
IL-133,Monroe County,Illinois,1403,31,70,1372
IL-135,Montgomery County,Illinois,1094,-33,50,1127
IL-137,Morgan County,Illinois,1047,-65,45,1112
IL-139,Moultrie County,Illinois,1040,-9,64,1049
IL-141,Ogle County,Illinois,874,160,108,714
IL-143,Peoria County,Illinois,1030,76,80,954
IL-145,Perry County,Illinois,1265,-31,58,1296
IL-147,Piatt County,Illinois,1018,52,77,966
IL-149,Pike County,Illinois,1088,-92,44,1180
IL-151,Pope County,Illinois,1323,-64,47,1387
IL-153,Pulaski County,Illinois,1479,22,64,1457
IL-155,Putnam County,Illinois,969,67,83,902
IL-157,Randolph County,Illinois,1304,-21,57,1325
IL-159,Richland County,Illinois,1191,-32,54,1223
IL-161,Rock Island County,Illinois,985,89,88,896
IL-163,St. Clair County,Illinois,1369,3,66,1366
IL-165,Saline County,Illinois,1276,-80,44,1356
IL-167,Sangamon County,Illinois,1060,-47,50,1107
IL-169,Schuyler County,Illinois,1048,-60,50,1108
IL-171,Scott County,Illinois,1090,-84,45,1174
IL-173,Shelby County,Illinois,1056,-47,53,1103
IL-175,Stark County,Illinois,898,26,71,872
IL-177,Stephenson County,Illinois,791,145,104,646
IL-179,Tazewell County,Illinois,1089,114,90,975
IL-181,Union County,Illinois,1354,24,64,1330
IL-183,Vermilion County,Illinois,919,-22,60,941
IL-185,Wabash County,Illinois,1299,13,66,1286
IL-187,Warren County,Illinois,946,7,67,939
IL-189,Washington County,Illinois,1300,5,67,1295
IL-191,Wayne County,Illinois,1320,58,78,1262
IL-193,White County,Illinois,1332,-26,56,1358
IL-195,Whiteside County,Illinois,933,141,103,792
IL-197,Will County,Illinois,947,139,100,808
IL-199,Williamson County,Illinois,1269,-24,54,1293
IL-201,Winnebago County,Illinois,844,139,102,705
IL-203,Woodford County,Illinois,1020,148,100,872
IN-001,Adams County,Indiana,875,120,92,755
IN-003,Allen County,Indiana,818,72,86,746
IN-005,Bartholomew County,Indiana,1002,-48,55,1050
IN-007,Benton County,Indiana,844,15,72,829
IN-009,Blackford County,Indiana,902,75,79,827
IN-011,Boone County,Indiana,828,22,72,806
IN-013,Brown County,Indiana,941,-27,63,968
IN-015,Carroll County,Indiana,869,27,74,842
IN-017,Cass County,Indiana,872,68,82,804
IN-019,Clark County,Indiana,1200,53,73,1147
IN-021,Clay County,Indiana,1079,75,83,1004
IN-023,Clinton County,Indiana,835,14,73,821
IN-025,Crawford County,Indiana,1016,-120,32,1136
IN-027,Daviess County,Indiana,1188,48,77,1140
IN-029,Dearborn County,Indiana,1061,92,79,969
IN-031,Decatur County,Indiana,916,-52,55,968
IN-033,DeKalb County,Indiana,749,76,92,673
IN-035,Delaware County,Indiana,935,110,88,825
IN-037,Dubois County,Indiana,1099,-64,51,1163
IN-039,Elkhart County,Indiana,810,170,106,640
IN-041,Fayette County,Indiana,881,39,73,842
IN-043,Floyd County,Indiana,1213,64,72,1149
IN-045,Fountain County,Indiana,893,-19,61,912
IN-047,Franklin County,Indiana,954,46,75,908
IN-049,Fulton County,Indiana,845,119,93,726
IN-051,Gibson County,Indiana,1316,31,71,1285
IN-053,Grant County,Indiana,896,56,76,840
IN-055,Greene County,Indiana,1090,71,81,1019
IN-057,Hamilton County,Indiana,877,19,72,858
IN-059,Hancock County,Indiana,902,5,67,897
IN-061,Harrison County,Indiana,1162,10,65,1152
IN-063,Hendricks County,Indiana,870,-4,67,874
IN-065,Henry County,Indiana,822,33,76,789
IN-067,Howard County,Indiana,831,-4,67,835
IN-069,Huntington County,Indiana,843,47,77,796
IN-071,Jackson County,Indiana,1032,-28,58,1060
IN-073,Jasper County,Indiana,884,94,89,790
IN-075,Jay County,Indiana,857,83,83,774
IN-077,Jefferson County,Indiana,1110,47,75,1063
IN-079,Jennings County,Indiana,1028,-26,60,1054
IN-081,Johnson County,Indiana,933,-21,62,954
IN-083,Knox County,Indiana,1253,37,72,1216
IN-085,Kosciusko County,Indiana,821,125,95,696
IN-087,LaGrange County,Indiana,766,130,101,636
IN-089,Lake County,Indiana,885,128,97,757
IN-091,LaPorte County,Indiana,869,171,104,698
IN-093,Lawrence County,Indiana,980,-30,57,1010
IN-095,Madison County,Indiana,947,89,83,858
IN-097,Marion County,Indiana,947,8,67,939
IN-099,Marshall County,Indiana,823,157,100,666
IN-101,Martin County,Indiana,1089,23,71,1066
IN-103,Miami County,Indiana,871,51,78,820
IN-105,Monroe County,Indiana,945,-4,63,949
IN-107,Montgomery County,Indiana,860,16,73,844
IN-109,Morgan County,Indiana,941,-16,66,957
IN-111,Newton County,Indiana,894,76,84,818
IN-113,Noble County,Indiana,766,108,100,658
IN-115,Ohio County,Indiana,1146,128,84,1018
IN-117,Orange County,Indiana,996,-60,48,1056
IN-119,Owen County,Indiana,1007,38,74,969
IN-121,Parke County,Indiana,948,-15,63,963
IN-123,Perry County,Indiana,1041,-198,16,1239
IN-125,Pike County,Indiana,1238,26,71,1212
IN-127,Porter County,Indiana,877,166,104,711
IN-129,Posey County,Indiana,1363,-46,51,1409
IN-131,Pulaski County,Indiana,866,125,95,741
IN-133,Putnam County,Indiana,888,-17,68,905
IN-135,Randolph County,Indiana,805,66,79,739
IN-137,Ripley County,Indiana,952,13,69,939
IN-139,Rush County,Indiana,883,3,68,880
IN-141,St. Joseph County,Indiana,821,167,103,654
IN-143,Scott County,Indiana,1117,26,68,1091
IN-145,Shelby County,Indiana,946,-36,57,982
IN-147,Spencer County,Indiana,1188,-113,37,1301
IN-149,Starke County,Indiana,870,159,101,711
IN-151,Steuben County,Indiana,712,108,99,604
IN-153,Sullivan County,Indiana,1208,108,86,1100
IN-155,Switzerland County,Indiana,1174,136,87,1038
IN-157,Tippecanoe County,Indiana,875,8,69,867
IN-159,Tipton County,Indiana,838,12,69,826
IN-161,Union County,Indiana,889,56,75,833
IN-163,Vanderburgh County,Indiana,1377,4,60,1373
IN-165,Vermillion County,Indiana,952,-48,49,1000
IN-167,Vigo County,Indiana,1095,39,72,1056
IN-169,Wabash County,Indiana,867,54,80,813
IN-171,Warren County,Indiana,871,-17,60,888
IN-173,Warrick County,Indiana,1299,6,61,1293
IN-175,Washington County,Indiana,1019,-1,64,1020
IN-177,Wayne County,Indiana,810,44,75,766
IN-179,Wells County,Indiana,851,66,82,785
IN-181,White County,Indiana,861,53,78,808
IN-183,Whitley County,Indiana,781,63,86,718
IA-001,Adair County,Iowa,915,31,80,884
IA-003,Adams County,Iowa,950,22,76,928
IA-005,Allamakee County,Iowa,694,73,89,621
IA-007,Appanoose County,Iowa,1012,-6,64,1018
IA-009,Audubon County,Iowa,901,82,93,819
IA-011,Benton County,Iowa,761,-2,63,763
IA-013,Black Hawk County,Iowa,848,119,100,729
IA-015,Boone County,Iowa,957,117,96,840
IA-017,Bremer County,Iowa,798,137,109,661
IA-019,Buchanan County,Iowa,707,39,78,668
IA-021,Buena Vista County,Iowa,927,190,116,737
IA-023,Butler County,Iowa,811,109,98,702
IA-025,Calhoun County,Iowa,949,151,108,798
IA-027,Carroll County,Iowa,957,162,112,795
IA-029,Cass County,Iowa,964,54,86,910
IA-031,Cedar County,Iowa,824,-3,57,827
IA-033,Cerro Gordo County,Iowa,746,100,99,646
IA-035,Cherokee County,Iowa,939,194,117,745
IA-037,Chickasaw County,Iowa,679,80,93,599
IA-039,Clarke County,Iowa,1025,59,85,966
IA-041,Clay County,Iowa,900,212,119,688
IA-043,Clayton County,Iowa,690,26,72,664
IA-045,Clinton County,Iowa,932,126,100,806
IA-047,Crawford County,Iowa,959,158,108,801
IA-049,Dallas County,Iowa,1018,80,91,938
IA-051,Davis County,Iowa,994,-33,54,1027
IA-053,Decatur County,Iowa,1033,51,81,982
IA-055,Delaware County,Iowa,696,53,80,643
IA-057,Des Moines County,Iowa,1008,-4,59,1012
IA-059,Dickinson County,Iowa,839,199,119,640
IA-061,Dubuque County,Iowa,735,53,82,682
IA-063,Emmet County,Iowa,754,106,99,648
IA-065,Fayette County,Iowa,659,52,83,607
IA-067,Floyd County,Iowa,742,85,95,657
IA-069,Franklin County,Iowa,793,125,104,668
IA-071,Fremont County,Iowa,1137,8,69,1129
IA-073,Greene County,Iowa,939,105,96,834
IA-075,Grundy County,Iowa,830,94,96,736
IA-077,Guthrie County,Iowa,969,97,94,872
IA-079,Hamilton County,Iowa,804,47,86,757
IA-081,Hancock County,Iowa,770,101,97,669
IA-083,Hardin County,Iowa,851,126,100,725
IA-085,Harrison County,Iowa,1092,153,100,939
IA-087,Henry County,Iowa,930,-66,50,996
IA-089,Howard County,Iowa,597,76,93,521
IA-091,Humboldt County,Iowa,873,110,98,763
IA-093,Ida County,Iowa,947,164,111,783
IA-095,Iowa County,Iowa,892,61,83,831
IA-097,Jackson County,Iowa,853,112,94,741
IA-099,Jasper County,Iowa,962,67,86,895
IA-101,Jefferson County,Iowa,859,-123,34,982
IA-103,Johnson County,Iowa,827,-23,52,850
IA-105,Jones County,Iowa,788,62,79,726
IA-107,Keokuk County,Iowa,916,15,67,901
IA-109,Kossuth County,Iowa,809,125,105,684
IA-111,Lee County,Iowa,1033,-69,51,1102
IA-113,Linn County,Iowa,774,29,69,745
IA-115,Louisa County,Iowa,990,40,73,950
IA-117,Lucas County,Iowa,994,11,75,983
IA-119,Lyon County,Iowa,875,160,111,715
IA-121,Madison County,Iowa,993,25,74,968
IA-123,Mahaska County,Iowa,949,9,68,940
IA-125,Marion County,Iowa,1002,0,71,1002
IA-127,Marshall County,Iowa,875,72,86,803
IA-129,Mills County,Iowa,1127,55,82,1072
IA-131,Mitchell County,Iowa,670,82,93,588
IA-133,Monona County,Iowa,1013,130,96,883
IA-135,Monroe County,Iowa,986,-30,55,1016
IA-137,Montgomery County,Iowa,1039,42,80,997
IA-139,Muscatine County,Iowa,920,15,67,905
IA-141,O&#039;Brien County,Iowa,902,189,117,713
IA-143,Osceola County,Iowa,841,187,118,654
IA-145,Page County,Iowa,1097,53,83,1044
IA-147,Palo Alto County,Iowa,852,160,108,692
IA-149,Plymouth County,Iowa,984,194,117,790
IA-151,Pocahontas County,Iowa,888,127,106,761
IA-153,Polk County,Iowa,1015,43,80,972
IA-155,Pottawattamie County,Iowa,1085,106,91,979
IA-157,Poweshiek County,Iowa,894,72,84,822
IA-159,Ringgold County,Iowa,1004,60,84,944
IA-161,Sac County,Iowa,985,209,118,776
IA-163,Scott County,Iowa,976,120,95,856
IA-165,Shelby County,Iowa,961,110,94,851
IA-167,Sioux County,Iowa,914,154,111,760
IA-169,Story County,Iowa,926,99,90,827
IA-171,Tama County,Iowa,829,57,82,772
IA-173,Taylor County,Iowa,1023,71,88,952
IA-175,Union County,Iowa,922,5,68,917
IA-177,Van Buren County,Iowa,929,-126,35,1055
IA-179,Wapello County,Iowa,948,-52,47,1000
IA-181,Warren County,Iowa,1059,20,75,1039
IA-183,Washington County,Iowa,901,11,65,890
IA-185,Wayne County,Iowa,978,-5,60,983
IA-187,Webster County,Iowa,861,74,92,787
IA-189,Winnebago County,Iowa,709,74,94,635
IA-191,Winneshiek County,Iowa,684,135,107,549
IA-193,Woodbury County,Iowa,1001,166,106,835
IA-195,Worth County,Iowa,677,62,86,615
IA-197,Wright County,Iowa,766,57,87,709
KS-001,Allen County,Kansas,1458,-56,55,1514
KS-003,Anderson County,Kansas,1406,-37,58,1443
KS-005,Atchison County,Kansas,1225,-23,58,1248
KS-007,Barber County,Kansas,1543,-117,39,1660
KS-009,Barton County,Kansas,1277,-176,24,1453
KS-011,Bourbon County,Kansas,1465,-61,52,1526
KS-013,Brown County,Kansas,1182,-9,65,1191
KS-015,Butler County,Kansas,1516,-3,65,1519
KS-017,Chase County,Kansas,1350,-68,52,1418
KS-019,Chautauqua County,Kansas,1525,-144,36,1669
KS-021,Cherokee County,Kansas,1558,-66,54,1624
KS-023,Cheyenne County,Kansas,1165,227,114,938
KS-025,Clark County,Kansas,1600,-36,55,1636
KS-027,Clay County,Kansas,1431,34,72,1397
KS-029,Cloud County,Kansas,1439,66,78,1373
KS-031,Coffey County,Kansas,1419,-6,68,1425
KS-033,Comanche County,Kansas,1592,-52,51,1644
KS-035,Cowley County,Kansas,1535,-99,48,1634
KS-037,Crawford County,Kansas,1511,-46,59,1557
KS-039,Decatur County,Kansas,1206,116,89,1090
KS-041,Dickinson County,Kansas,1474,17,69,1457
KS-043,Doniphan County,Kansas,1216,-51,51,1267
KS-045,Douglas County,Kansas,1370,-18,65,1388
KS-047,Edwards County,Kansas,1370,-78,46,1448
KS-049,Elk County,Kansas,1448,-105,45,1553
KS-051,Ellis County,Kansas,1324,-32,58,1356
KS-053,Ellsworth County,Kansas,1428,-70,54,1498
KS-055,Finney County,Kansas,1391,134,87,1257
KS-057,Ford County,Kansas,1445,32,70,1413
KS-059,Franklin County,Kansas,1391,-19,65,1410
KS-061,Geary County,Kansas,1386,-16,65,1402
KS-063,Gove County,Kansas,1302,90,77,1212
KS-065,Graham County,Kansas,1287,32,66,1255
KS-067,Grant County,Kansas,1421,89,83,1332
KS-069,Gray County,Kansas,1404,72,75,1332
KS-071,Greeley County,Kansas,1106,79,79,1027
KS-073,Greenwood County,Kansas,1406,-59,57,1465
KS-075,Hamilton County,Kansas,1305,91,86,1214
KS-077,Harper County,Kansas,1558,-180,25,1738
KS-079,Harvey County,Kansas,1576,34,71,1542
KS-081,Haskell County,Kansas,1402,71,82,1331
KS-083,Hodgeman County,Kansas,1470,64,71,1406
KS-085,Jackson County,Kansas,1272,9,67,1263
KS-087,Jefferson County,Kansas,1316,10,67,1306
KS-089,Jewell County,Kansas,1268,13,66,1255
KS-091,Johnson County,Kansas,1317,-41,58,1358
KS-093,Kearny County,Kansas,1364,138,91,1226
KS-095,Kingman County,Kansas,1450,-170,28,1620
KS-097,Kiowa County,Kansas,1435,-70,48,1505
KS-099,Labette County,Kansas,1542,-124,39,1666
KS-101,Lane County,Kansas,1355,138,85,1217
KS-103,Leavenworth County,Kansas,1327,-3,63,1330
KS-105,Lincoln County,Kansas,1385,-60,55,1445
KS-107,Linn County,Kansas,1413,-54,53,1467
KS-109,Logan County,Kansas,1276,150,96,1126
KS-111,Lyon County,Kansas,1336,-47,55,1383
KS-113,McPherson County,Kansas,1505,9,66,1496
KS-115,Marion County,Kansas,1449,0,66,1449
KS-117,Marshall County,Kansas,1304,34,76,1270
KS-119,Meade County,Kansas,1529,5,68,1524
KS-121,Miami County,Kansas,1344,-49,58,1393
KS-123,Mitchell County,Kansas,1299,-79,51,1378
KS-125,Montgomery County,Kansas,1576,-148,34,1724
KS-127,Morris County,Kansas,1310,-36,58,1346
KS-129,Morton County,Kansas,1449,112,92,1337
KS-131,Nemaha County,Kansas,1192,-1,69,1193
KS-133,Neosho County,Kansas,1505,-85,49,1590
KS-135,Ness County,Kansas,1397,34,66,1363
KS-137,Norton County,Kansas,1226,78,79,1148
KS-139,Osage County,Kansas,1420,50,77,1370
KS-141,Osborne County,Kansas,1322,-44,56,1366
KS-143,Ottawa County,Kansas,1470,32,69,1438
KS-145,Pawnee County,Kansas,1298,-133,29,1431
KS-147,Phillips County,Kansas,1314,75,79,1239
KS-149,Pottawatomie County,Kansas,1320,-16,65,1336
KS-151,Pratt County,Kansas,1397,-121,39,1518
KS-153,Rawlins County,Kansas,1161,144,99,1017
KS-155,Reno County,Kansas,1459,-110,40,1569
KS-157,Republic County,Kansas,1308,50,78,1258
KS-159,Rice County,Kansas,1409,-105,47,1514
KS-161,Riley County,Kansas,1389,6,67,1383
KS-163,Rooks County,Kansas,1316,-16,61,1332
KS-165,Rush County,Kansas,1308,-86,44,1394
KS-167,Russell County,Kansas,1387,-50,56,1437
KS-169,Saline County,Kansas,1524,14,66,1510
KS-171,Scott County,Kansas,1308,146,89,1162
KS-173,Sedgwick County,Kansas,1618,-17,61,1635
KS-175,Seward County,Kansas,1510,68,81,1442
KS-177,Shawnee County,Kansas,1394,29,70,1365
KS-179,Sheridan County,Kansas,1234,92,82,1142
KS-181,Sherman County,Kansas,1141,237,115,904
KS-183,Smith County,Kansas,1286,31,71,1255
KS-185,Stafford County,Kansas,1320,-156,28,1476
KS-187,Stanton County,Kansas,1403,106,89,1297
KS-189,Stevens County,Kansas,1482,104,91,1378
KS-191,Sumner County,Kansas,1646,-88,45,1734
KS-193,Thomas County,Kansas,1191,164,102,1027
KS-195,Trego County,Kansas,1306,15,65,1291
KS-197,Wabaunsee County,Kansas,1324,-20,60,1344
KS-199,Wallace County,Kansas,1170,177,101,993
KS-201,Washington County,Kansas,1330,57,80,1273
KS-203,Wichita County,Kansas,1215,102,84,1113
KS-205,Wilson County,Kansas,1552,-72,54,1624
KS-207,Woodson County,Kansas,1465,-41,55,1506
KS-209,Wyandotte County,Kansas,1333,-30,55,1363
KY-001,Adair County,Kentucky,1329,161,98,1168
KY-003,Allen County,Kentucky,1377,-9,58,1386
KY-005,Anderson County,Kentucky,1202,84,82,1118
KY-007,Ballard County,Kentucky,1531,36,71,1495
KY-009,Barren County,Kentucky,1345,-3,62,1348
KY-011,Bath County,Kentucky,1044,-10,62,1054
KY-013,Bell County,Kentucky,848,-62,44,910
KY-015,Boone County,Kentucky,1159,133,88,1026
KY-017,Bourbon County,Kentucky,1118,90,83,1028
KY-019,Boyd County,Kentucky,1154,186,110,968
KY-021,Boyle County,Kentucky,1118,38,69,1080
KY-023,Bracken County,Kentucky,1087,93,86,994
KY-025,Breathitt County,Kentucky,1209,70,80,1139
KY-027,Breckinridge County,Kentucky,1118,-94,37,1212
KY-029,Bullitt County,Kentucky,1245,3,64,1242
KY-031,Butler County,Kentucky,1361,-6,61,1367
KY-033,Caldwell County,Kentucky,1319,-141,26,1460
KY-035,Calloway County,Kentucky,1491,-25,57,1516
KY-037,Campbell County,Kentucky,1155,97,80,1058
KY-039,Carlisle County,Kentucky,1522,3,66,1519
KY-041,Carroll County,Kentucky,1244,138,86,1106
KY-043,Carter County,Kentucky,1029,107,90,922
KY-045,Casey County,Kentucky,1148,96,85,1052
KY-047,Christian County,Kentucky,1408,-35,55,1443
KY-049,Clark County,Kentucky,1138,74,82,1064
KY-051,Clay County,Kentucky,1132,80,81,1052
KY-053,Clinton County,Kentucky,1301,167,102,1134
KY-055,Crittenden County,Kentucky,1342,-103,41,1445
KY-057,Cumberland County,Kentucky,1384,118,94,1266
KY-059,Daviess County,Kentucky,1280,-69,45,1349
KY-061,Edmonson County,Kentucky,1349,27,66,1322
KY-063,Elliott County,Kentucky,1005,39,74,966
KY-065,Estill County,Kentucky,1179,38,73,1141
KY-067,Fayette County,Kentucky,1153,110,89,1043
KY-069,Fleming County,Kentucky,1007,12,65,995
KY-071,Floyd County,Kentucky,1182,66,82,1116
KY-073,Franklin County,Kentucky,1269,151,91,1118
KY-075,Fulton County,Kentucky,1496,-125,29,1621
KY-077,Gallatin County,Kentucky,1240,151,91,1089
KY-079,Garrard County,Kentucky,1174,67,81,1107
KY-081,Grant County,Kentucky,1174,127,86,1047
KY-083,Graves County,Kentucky,1486,-27,58,1513
KY-085,Grayson County,Kentucky,1224,5,61,1219
KY-087,Green County,Kentucky,1317,62,78,1255
KY-089,Greenup County,Kentucky,1100,181,110,919
KY-091,Hancock County,Kentucky,1112,-184,20,1296
KY-093,Hardin County,Kentucky,1157,-17,56,1174
KY-095,Harlan County,Kentucky,727,-39,53,766
KY-097,Harrison County,Kentucky,1150,106,82,1044
KY-099,Hart County,Kentucky,1280,17,68,1263
KY-101,Henderson County,Kentucky,1381,-46,52,1427
KY-103,Henry County,Kentucky,1208,124,85,1084
KY-105,Hickman County,Kentucky,1487,-68,46,1555
KY-107,Hopkins County,Kentucky,1410,-40,56,1450
KY-109,Jackson County,Kentucky,1076,72,82,1004
KY-111,Jefferson County,Kentucky,1302,50,72,1252
KY-113,Jessamine County,Kentucky,1194,104,82,1090
KY-115,Johnson County,Kentucky,1128,82,85,1046
KY-117,Kenton County,Kentucky,1141,117,83,1024
KY-119,Knott County,Kentucky,1064,50,78,1014
KY-121,Knox County,Kentucky,1059,33,72,1026
KY-123,Larue County,Kentucky,1165,-15,56,1180
KY-125,Laurel County,Kentucky,1119,94,83,1025
KY-127,Lawrence County,Kentucky,1129,138,98,991
KY-129,Lee County,Kentucky,1183,25,72,1158
KY-131,Leslie County,Kentucky,1018,25,70,993
KY-133,Letcher County,Kentucky,875,0,64,875
KY-135,Lewis County,Kentucky,1009,76,82,933
KY-137,Lincoln County,Kentucky,1097,61,81,1036
KY-139,Livingston County,Kentucky,1424,-63,48,1487
KY-141,Logan County,Kentucky,1341,-82,41,1423
KY-143,Lyon County,Kentucky,1388,-118,34,1506
KY-145,McCracken County,Kentucky,1538,35,69,1503
KY-147,McCreary County,Kentucky,1088,78,82,1010
KY-149,McLean County,Kentucky,1388,-11,56,1399
KY-151,Madison County,Kentucky,1185,65,79,1120
KY-153,Magoffin County,Kentucky,1124,65,81,1059
KY-155,Marion County,Kentucky,1175,19,68,1156
KY-157,Marshall County,Kentucky,1513,-30,57,1543
KY-159,Martin County,Kentucky,1189,107,93,1082
KY-161,Mason County,Kentucky,1032,76,80,956
KY-163,Meade County,Kentucky,1118,-73,45,1191
KY-165,Menifee County,Kentucky,1018,-20,61,1038
KY-167,Mercer County,Kentucky,1176,67,75,1109
KY-169,Metcalfe County,Kentucky,1277,50,76,1227
KY-171,Monroe County,Kentucky,1279,-9,63,1288
KY-173,Montgomery County,Kentucky,1078,42,75,1036
KY-175,Morgan County,Kentucky,1049,2,63,1047
KY-177,Muhlenberg County,Kentucky,1378,-33,56,1411
KY-179,Nelson County,Kentucky,1198,-4,62,1202
KY-181,Nicholas County,Kentucky,1075,64,77,1011
KY-183,Ohio County,Kentucky,1284,-32,51,1316
KY-185,Oldham County,Kentucky,1193,59,75,1134
KY-187,Owen County,Kentucky,1216,142,90,1074
KY-189,Owsley County,Kentucky,1204,71,83,1133
KY-191,Pendleton County,Kentucky,1157,103,81,1054
KY-193,Perry County,Kentucky,1097,38,74,1059
KY-195,Pike County,Kentucky,1122,53,77,1069
KY-197,Powell County,Kentucky,1121,13,68,1108
KY-199,Pulaski County,Kentucky,1175,111,89,1064
KY-201,Robertson County,Kentucky,1091,88,83,1003
KY-203,Rockcastle County,Kentucky,1102,78,82,1024
KY-205,Rowan County,Kentucky,943,-50,49,993
KY-207,Russell County,Kentucky,1318,191,103,1127
KY-209,Scott County,Kentucky,1186,134,91,1052
KY-211,Shelby County,Kentucky,1182,79,81,1103
KY-213,Simpson County,Kentucky,1396,-9,59,1405
KY-215,Spencer County,Kentucky,1211,35,70,1176
