Parent,ParentFIPS,Child,ChildFIPS
"Topeka, KS (Metropolitan Statistical Area)","45820","Shawnee, KS","20177"
"Topeka, KS (Metropolitan Statistical Area)","45820","Wabaunsee, KS","20197"
"Trenton-Princeton, NJ (Metropolitan Statistical Area)","45940","Mercer, NJ","34021"
"Tucson, AZ (Metropolitan Statistical Area)","46060","Pima, AZ","04019"
"Tulsa, OK (Metropolitan Statistical Area)","46140","Creek, OK","40037"
"Tulsa, OK (Metropolitan Statistical Area)","46140","Okmulgee, OK","40111"
"Tulsa, OK (Metropolitan Statistical Area)","46140","Osage, OK","40113"
"Tulsa, OK (Metropolitan Statistical Area)","46140","Pawnee, OK","40117"
"Tulsa, OK (Metropolitan Statistical Area)","46140","Rogers, OK","40131"
"Tulsa, OK (Metropolitan Statistical Area)","46140","Tulsa, OK","40143"
"Tulsa, OK (Metropolitan Statistical Area)","46140","Wagoner, OK","40145"
"Tuscaloosa, AL (Metropolitan Statistical Area)","46220","Greene, AL","01063"
"Tuscaloosa, AL (Metropolitan Statistical Area)","46220","Hale, AL","01065"
"Tuscaloosa, AL (Metropolitan Statistical Area)","46220","Pickens, AL","01107"
"Tuscaloosa, AL (Metropolitan Statistical Area)","46220","Tuscaloosa, AL","01125"
"Twin Falls, ID (Metropolitan Statistical Area)","46300","Jerome, ID","16053"
"Twin Falls, ID (Metropolitan Statistical Area)","46300","Twin Falls, ID","16083"
"Tyler, TX (Metropolitan Statistical Area)","46340","Smith, TX","48423"
"Urban Honolulu, HI (Metropolitan Statistical Area)","46520","Honolulu, HI","15003"
"Utica-Rome, NY (Metropolitan Statistical Area)","46540","Herkimer, NY","36043"
"Utica-Rome, NY (Metropolitan Statistical Area)","46540","Oneida, NY","36065"
"Valdosta, GA (Metropolitan Statistical Area)","46660","Brooks, GA","13027"
"Valdosta, GA (Metropolitan Statistical Area)","46660","Echols, GA","13101"
"Valdosta, GA (Metropolitan Statistical Area)","46660","Lanier, GA","13173"
"Valdosta, GA (Metropolitan Statistical Area)","46660","Lowndes, GA","13185"
"Vallejo, CA (Metropolitan Statistical Area)","46700","Solano, CA","06095"
"Victoria, TX (Metropolitan Statistical Area)","47020","Goliad, TX","48175"
"Victoria, TX (Metropolitan Statistical Area)","47020","Victoria, TX","48469"
"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)","47220","Cumberland, NJ","34011"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Camden, NC","37029"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Currituck, NC","37053"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Gates, NC","37073"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Gloucester, VA","51073"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Isle of Wight, VA","51093"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Mathews, VA","51115"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Chesapeake (Independent City), VA","51550"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Hampton (Independent City), VA","51650"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Newport News (Independent City), VA","51700"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Norfolk (Independent City), VA","51710"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Portsmouth (Independent City), VA","51740"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Suffolk (Independent City), VA","51800"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Virginia Beach (Independent City), VA","51810"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","James City + Williamsburg, VA","51931"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","Southampton + Franklin, VA","51949"
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","47260","York + Poquoson, VA","51958"
"Visalia, CA (Metropolitan Statistical Area)","47300","Tulare, CA","06107"
"Waco, TX (Metropolitan Statistical Area)","47380","Falls, TX","48145"
"Waco, TX (Metropolitan Statistical Area)","47380","McLennan, TX","48309"
"Walla Walla, WA (Metropolitan Statistical Area)","47460","Walla Walla, WA","53071"
"Warner Robins, GA (Metropolitan Statistical Area)","47580","Houston, GA","13153"
"Warner Robins, GA (Metropolitan Statistical Area)","47580","Peach, GA","13225"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","District of Columbia, DC","11001"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Calvert, MD","24009"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Charles, MD","24017"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Frederick, MD","24021"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Montgomery, MD","24031"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Prince George's, MD","24033"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Arlington, VA","51013"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Clarke, VA","51043"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Culpeper, VA","51047"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Fauquier, VA","51061"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Loudoun, VA","51107"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Madison, VA","51113"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Rappahannock, VA","51157"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Stafford, VA","51179"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Warren, VA","51187"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Alexandria (Independent City), VA","51510"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Fairfax, Fairfax City + Falls Church, VA","51919"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Prince William, Manassas + Manassas Park, VA","51942"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Spotsylvania + Fredericksburg, VA","51951"
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","47900","Jefferson, WV","54037"
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)","47940","Black Hawk, IA","19013"
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)","47940","Bremer, IA","19017"
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)","47940","Grundy, IA","19075"
"Watertown-Fort Drum, NY (Metropolitan Statistical Area)","48060","Jefferson, NY","36045"
"Wausau-Weston, WI (Metropolitan Statistical Area)","48140","Lincoln, WI","55069"
"Wausau-Weston, WI (Metropolitan Statistical Area)","48140","Marathon, WI","55073"
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)","48260","Jefferson, OH","39081"
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)","48260","Brooke, WV","54009"
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)","48260","Hancock, WV","54029"
"Wenatchee, WA (Metropolitan Statistical Area)","48300","Chelan, WA","53007"
"Wenatchee, WA (Metropolitan Statistical Area)","48300","Douglas, WA","53017"
"Wheeling, WV-OH (Metropolitan Statistical Area)","48540","Belmont, OH","39013"
"Wheeling, WV-OH (Metropolitan Statistical Area)","48540","Marshall, WV","54051"
"Wheeling, WV-OH (Metropolitan Statistical Area)","48540","Ohio, WV","54069"
"Wichita, KS (Metropolitan Statistical Area)","48620","Butler, KS","20015"
"Wichita, KS (Metropolitan Statistical Area)","48620","Harvey, KS","20079"
"Wichita, KS (Metropolitan Statistical Area)","48620","Sedgwick, KS","20173"
"Wichita, KS (Metropolitan Statistical Area)","48620","Sumner, KS","20191"
"Wichita Falls, TX (Metropolitan Statistical Area)","48660","Archer, TX","48009"
"Wichita Falls, TX (Metropolitan Statistical Area)","48660","Clay, TX","48077"
"Wichita Falls, TX (Metropolitan Statistical Area)","48660","Wichita, TX","48485"
"Williamsport, PA (Metropolitan Statistical Area)","48700","Lycoming, PA","42081"
"Wilmington, NC (Metropolitan Statistical Area)","48900","New Hanover, NC","37129"
"Wilmington, NC (Metropolitan Statistical Area)","48900","Pender, NC","37141"
"Winchester, VA-WV (Metropolitan Statistical Area)","49020","Frederick + Winchester, VA","51921"
"Winchester, VA-WV (Metropolitan Statistical Area)","49020","Hampshire, WV","54027"
"Winston-Salem, NC (Metropolitan Statistical Area)","49180","Davidson, NC","37057"
"Winston-Salem, NC (Metropolitan Statistical Area)","49180","Davie, NC","37059"
"Winston-Salem, NC (Metropolitan Statistical Area)","49180","Forsyth, NC","37067"
"Winston-Salem, NC (Metropolitan Statistical Area)","49180","Stokes, NC","37169"
"Winston-Salem, NC (Metropolitan Statistical Area)","49180","Yadkin, NC","37197"
"Worcester, MA-CT (Metropolitan Statistical Area)","49340","Windham, CT","09015"
"Worcester, MA-CT (Metropolitan Statistical Area)","49340","Worcester, MA","25027"
"Yakima, WA (Metropolitan Statistical Area)","49420","Yakima, WA","53077"
"York-Hanover, PA (Metropolitan Statistical Area)","49620","York, PA","42133"
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)","49660","Mahoning, OH","39099"
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)","49660","Trumbull, OH","39155"
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)","49660","Mercer, PA","42085"
"Yuba City, CA (Metropolitan Statistical Area)","49700","Sutter, CA","06101"
"Yuba City, CA (Metropolitan Statistical Area)","49700","Yuba, CA","06115"
"Yuma, AZ (Metropolitan Statistical Area)","49740","Yuma, AZ","04027"
